date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2016-08-29,sh.600406,15.2700,15.4900,15.1000,15.1700,15.2300,16616530,254034351.0000,0.753327,1,-0.394000,23.698859,4.796185,3.458582,146.149897,0
2016-08-30,sh.600406,15.2000,15.3200,15.1100,15.1700,15.1700,8965050,136253874.0000,0.406439,1,0.000000,23.698859,4.796185,3.458582,146.149897,0
2016-08-31,sh.600406,15.2000,15.3500,15.0200,15.1800,15.1700,10719939,162122090.0000,0.485999,1,0.065900,23.714482,4.799347,3.460862,146.246239,0
2016-09-01,sh.600406,15.1000,15.6800,15.0700,15.4100,15.1800,27036184,416942208.0000,1.225712,1,1.515100,24.073792,4.872064,3.513299,148.462091,0
2016-09-02,sh.600406,15.3600,16.1800,15.3600,15.9300,15.4100,41643191,661455264.0000,1.887935,1,3.374400,24.886146,5.036469,3.631853,153.471843,0
2016-09-05,sh.600406,15.9300,16.0300,15.6600,15.7600,15.9300,16543419,260970862.0000,0.750012,1,-1.067169,24.620569,4.982721,3.593095,151.834040,0
2016-09-06,sh.600406,15.7600,16.1300,15.7100,15.9700,15.7600,31796007,508099984.0000,1.441503,1,1.332488,24.948635,5.049115,3.640972,153.857209,0
2016-09-07,sh.600406,16.0000,16.1300,15.9000,15.9600,15.9700,20859554,333490096.0000,0.945688,1,-0.062619,24.933012,5.045954,3.638692,153.760868,0
2016-09-08,sh.600406,15.9600,16.3700,15.9600,16.1000,15.9600,26474504,428433792.0000,1.200248,1,0.877195,25.151723,5.090217,3.670611,155.109647,0
2016-09-09,sh.600406,16.1000,16.1500,15.6600,15.6800,16.1000,21487482,339555920.0000,0.974156,1,-2.608696,24.495591,4.957428,3.574856,151.063309,0
2016-09-12,sh.600406,15.3800,15.6700,15.2800,15.6300,15.6800,30544252,473306416.0000,1.384754,1,-0.318879,24.417480,4.941620,3.563456,150.581602,0
2016-09-13,sh.600406,15.5900,15.7400,15.4900,15.6900,15.6300,13135434,205086655.0000,0.595508,1,0.383874,24.511213,4.960590,3.577136,151.159650,0
2016-09-14,sh.600406,15.6400,15.7300,15.4500,15.6100,15.6900,11976736,186463652.0000,0.542977,1,-0.509879,24.386236,4.935297,3.558896,150.388919,0
2016-09-19,sh.600406,15.5800,15.9600,15.5800,15.9000,15.6100,15920793,251368375.0000,0.721785,1,1.857783,24.839279,5.026984,3.625013,153.182819,0
2016-09-20,sh.600406,15.9000,15.9300,15.7500,15.8800,15.9000,11829112,187546764.0000,0.536284,1,-0.125783,24.808035,5.020661,3.620453,152.990137,0
2016-09-21,sh.600406,15.9000,16.3900,15.9000,16.3000,15.8800,26885751,436436816.0000,1.218892,1,2.644831,25.464167,5.153449,3.716208,157.036475,0
2016-09-22,sh.600406,16.3200,16.4300,16.1500,16.3600,16.3000,19029722,310373568.0000,0.862731,1,0.368107,25.557900,5.172419,3.729888,157.614524,0
2016-09-23,sh.600406,16.4000,16.4000,16.2400,16.2900,16.3600,10691243,174449315.0000,0.484698,1,-0.427871,25.448545,5.150287,3.713928,156.940134,0
2016-09-26,sh.600406,16.2800,16.4500,15.9600,15.9700,16.2900,16854612,271836176.0000,0.764120,1,-1.964399,24.948635,5.049115,3.640972,153.857209,0
2016-09-27,sh.600406,15.9100,16.0900,15.8000,16.0200,15.9700,9815101,156536536.0000,0.444977,1,0.313088,25.026745,5.064924,3.652372,154.338916,0
2016-09-28,sh.600406,16.0600,16.1200,15.8500,15.8700,16.0200,7749118,123904106.0000,0.351314,1,-0.936333,24.792413,5.017499,3.618173,152.893795,0
2016-09-29,sh.600406,15.9000,15.9800,15.8300,15.8700,15.8700,7415453,117927721.0000,0.336187,1,0.000000,24.792413,5.017499,3.618173,152.893795,0
2016-09-30,sh.600406,15.8200,16.3700,15.8200,16.3200,15.8700,12667269,203821197.0000,0.574283,1,2.835537,25.495411,5.159772,3.720768,157.229158,0
2016-10-10,sh.600406,16.2800,16.5500,16.1800,16.4700,16.3200,15391701,251798439.0000,0.697798,1,0.919115,25.729744,5.207197,3.754966,158.674279,0
2016-10-11,sh.600406,16.4000,16.8500,16.3700,16.7100,16.4700,19572758,326434224.0000,0.887350,1,1.457194,26.104676,5.283076,3.809684,160.986472,0
2016-10-12,sh.600406,16.7700,17.0800,16.6100,16.6500,16.7100,22614383,381456768.0000,1.025245,1,-0.359063,26.010943,5.264106,3.796004,160.408424,0
2016-10-13,sh.600406,16.7100,16.8000,16.5500,16.6400,16.6500,10661346,177597129.0000,0.483343,1,-0.060061,25.995321,5.260944,3.793724,160.312083,0
2016-10-14,sh.600406,16.7500,16.7500,16.4800,16.6500,16.6400,9147362,151795001.0000,0.414705,1,0.060098,26.010943,5.264106,3.796004,160.408424,0
2016-10-17,sh.600406,16.6900,16.6900,16.3500,16.4800,16.6500,11561556,191023682.0000,0.524154,1,-1.021021,25.745366,5.210358,3.757246,158.770620,0
2016-10-18,sh.600406,16.5000,16.8600,16.4700,16.8500,16.4800,18279194,305032304.0000,0.828705,1,2.245151,26.323387,5.327338,3.841602,162.335252,0
2016-10-19,sh.600406,16.8600,16.9800,16.6700,16.8300,16.8500,11967560,200941775.0000,0.542561,1,-0.118697,26.292143,5.321015,3.837042,162.142569,0
2016-10-20,sh.600406,16.8000,16.8900,16.6300,16.7200,16.8300,9469579,158139223.0000,0.429313,1,-0.653598,26.120299,5.286237,3.811963,161.082814,0
2016-10-21,sh.600406,16.7000,16.7000,16.3700,16.4000,16.7200,13845299,228111764.0000,0.627690,1,-1.913874,25.620389,5.185065,3.739007,157.999889,0
2016-10-24,sh.600406,16.5100,16.6900,16.4000,16.5000,16.4000,13944276,230921560.0000,0.632177,1,0.609758,25.776610,5.216682,3.761806,158.963303,0
2016-10-25,sh.600406,16.6700,16.7900,16.5200,16.7800,16.5000,14887506,248124863.0000,0.674940,1,1.696974,22.998546,4.988826,3.473624,-249.219407,0
2016-10-26,sh.600406,16.7800,16.7900,16.5000,16.6200,16.7800,10970583,181860998.0000,0.497362,1,-0.953515,22.779251,4.941256,3.440502,-246.843059,0
2016-10-27,sh.600406,16.6100,16.6100,16.3800,16.5000,16.6200,12529955,206444828.0000,0.568058,1,-0.722027,22.614780,4.905579,3.415661,-245.060799,0
2016-10-28,sh.600406,16.5000,16.6200,16.4500,16.4800,16.5000,10373083,171354179.0000,0.470274,1,-0.121215,22.587368,4.899633,3.411521,-244.763756,0
2016-10-31,sh.600406,16.4800,16.5000,15.0400,15.3000,16.4800,54590505,851925040.0000,2.474914,1,-7.160191,20.970069,4.548810,3.167249,-227.238196,0
2016-11-01,sh.600406,15.3000,15.6500,15.2300,15.5700,15.3000,20211365,312691072.0000,0.916302,1,1.764703,21.340129,4.629083,3.223142,-231.248281,0
2016-11-02,sh.600406,15.5100,15.6600,15.4000,15.5200,15.5700,12177430,189321490.0000,0.552076,1,-0.321126,21.271599,4.614218,3.212791,-230.505673,0
2016-11-03,sh.600406,15.5300,15.5400,15.1200,15.3300,15.5200,16094414,247011396.0000,0.729656,1,-1.224230,21.011186,4.557729,3.173460,-227.683761,0
2016-11-04,sh.600406,15.3000,15.5100,15.0800,15.1100,15.3300,16175121,246049124.0000,0.733315,1,-1.435096,20.709656,4.492322,3.127917,-224.416283,0
2016-11-07,sh.600406,15.1300,15.3000,15.0200,15.2000,15.1100,12607191,190920389.0000,0.571559,1,0.595633,20.833009,4.519079,3.146548,-225.752979,0
2016-11-08,sh.600406,15.2600,15.3500,15.1600,15.2500,15.2000,7543399,115021923.0000,0.341987,1,0.328949,20.901539,4.533945,3.156899,-226.495587,0
2016-11-09,sh.600406,15.2400,15.2400,14.8500,14.9600,15.2500,16315931,245225273.0000,0.739699,1,-1.901639,20.504067,4.447725,3.096866,-222.188458,0
2016-11-10,sh.600406,15.1300,15.1800,15.0900,15.1800,14.9600,10072976,152534453.0000,0.456668,1,1.470590,20.805597,4.513133,3.142408,-225.455935,0
2016-11-11,sh.600406,15.1800,15.4100,15.1500,15.3300,15.1800,14741659,225946748.0000,0.668328,1,0.988140,21.011186,4.557729,3.173460,-227.683761,0
2016-11-14,sh.600406,15.2900,15.5700,15.2300,15.3800,15.3300,16161130,248527819.0000,0.732681,1,0.326159,21.079716,4.572595,3.183810,-228.426369,0
2016-11-15,sh.600406,15.4700,16.4800,15.2100,16.1900,15.3800,39904061,626244624.0000,1.809090,1,5.266582,22.189896,4.813414,3.351488,-240.456627,0
2016-11-16,sh.600406,16.0300,16.1400,15.8500,15.9200,16.1900,17136674,273997856.0000,0.776908,1,-1.667699,21.819836,4.733141,3.295595,-236.446541,0
2016-11-17,sh.600406,15.8300,16.5500,15.7400,16.1700,15.9200,29217510,474280624.0000,1.324604,1,1.570352,22.162484,4.807468,3.347348,-240.159583,0
2016-11-18,sh.600406,16.1200,16.3000,16.0600,16.1700,16.1700,11875800,192260962.0000,0.538401,1,0.000000,22.162484,4.807468,3.347348,-240.159583,0
2016-11-21,sh.600406,16.2400,16.2400,15.7700,15.8900,16.1700,16623020,265309547.0000,0.753621,1,-1.731600,21.778718,4.724222,3.289385,-236.000976,0
2016-11-22,sh.600406,15.8500,16.0100,15.7600,15.8000,15.8900,17167757,272499808.0000,0.778317,1,-0.566395,21.655365,4.697464,3.270754,-234.664280,0
2016-11-23,sh.600406,15.9400,15.9500,15.6500,15.7600,15.8000,15822000,249127989.0000,0.717306,1,-0.253164,21.600541,4.685572,3.262474,-234.070194,0
2016-11-24,sh.600406,15.6900,15.7400,15.2600,15.3900,15.7600,25119808,387186336.0000,1.138831,1,-2.347715,21.093422,4.575568,3.185880,-228.574891,0
2016-11-25,sh.600406,15.4600,15.4600,15.2300,15.3900,15.3900,16312040,250338793.0000,0.739522,1,0.000000,21.093422,4.575568,3.185880,-228.574891,0
2016-11-28,sh.600406,15.5000,15.7400,15.4800,15.5800,15.3900,23990495,374688128.0000,1.087633,1,1.234565,21.353835,4.632056,3.225212,-231.396803,0
2016-11-29,sh.600406,15.5600,15.8200,15.4800,15.5200,15.5800,15081546,236056993.0000,0.683737,1,-0.385106,21.271599,4.614218,3.212791,-230.505673,0
2016-11-30,sh.600406,15.5200,15.5900,15.3800,15.4600,15.5200,9460157,146382703.0000,0.428885,1,-0.386601,21.189363,4.596379,3.200371,-229.614543,0
2016-12-01,sh.600406,15.4600,15.6500,15.4100,15.4800,15.4600,10116836,156943434.0000,0.458657,1,0.129363,21.216775,4.602325,3.204511,-229.911586,0
2016-12-02,sh.600406,15.4900,15.7400,15.4500,15.6000,15.4800,17200859,267989357.0000,0.779818,1,0.775199,21.381246,4.638002,3.229352,-231.693846,0
2016-12-05,sh.600406,15.4600,15.8600,15.3100,15.8300,15.6000,21334981,334751648.0000,0.967242,1,1.474356,21.696483,4.706383,3.276964,-235.109845,0
2016-12-06,sh.600406,15.8900,16.2800,15.7500,16.0800,15.8300,31570846,507775824.0000,1.431295,1,1.579280,22.039131,4.780710,3.328717,-238.822888,0
2016-12-07,sh.600406,16.1600,16.2000,15.9700,16.1500,16.0800,18415652,296725664.0000,0.834892,1,0.435321,22.135072,4.801522,3.343208,-239.862540,0
2016-12-08,sh.600406,16.2400,16.2400,15.8300,15.8800,16.1500,17883613,287330224.0000,0.810771,1,-1.671824,21.765012,4.721249,3.287315,-235.852454,0
2016-12-09,sh.600406,15.7800,15.9600,15.6700,15.8200,15.8800,17989297,284780304.0000,0.815562,1,-0.377836,21.682777,4.703410,3.274894,-234.961324,0
2016-12-12,sh.600406,15.8400,15.9200,15.4300,15.7600,15.8200,28532961,446908304.0000,1.293570,1,-0.379263,21.600541,4.685572,3.262474,-234.070194,0
2016-12-13,sh.600406,15.6800,15.7500,15.2900,15.3500,15.7600,21439277,331646528.0000,0.971971,1,-2.601522,21.038598,4.563675,3.177600,-227.980804,0
2016-12-14,sh.600406,15.4400,16.8900,15.3800,16.3600,15.3500,80001230,1319845728.0000,3.626934,1,6.579806,22.422897,4.863956,3.386680,-242.981495,0
2016-12-15,sh.600406,16.3100,16.5700,16.0300,16.4800,16.3600,43645054,712366736.0000,1.978691,1,0.733490,22.587368,4.899633,3.411521,-244.763756,0
2016-12-16,sh.600406,16.5200,16.6100,16.2000,16.2700,16.4800,28620266,468998016.0000,1.297528,1,-1.274266,22.299544,4.837199,3.368049,-241.644800,0
2016-12-19,sh.600406,16.3000,16.6300,16.2300,16.3400,16.2700,23147725,379592640.0000,1.049425,1,0.430238,22.395485,4.858010,3.382539,-242.684452,0
2016-12-20,sh.600406,16.3800,16.3900,15.6800,15.9100,16.3400,27446852,437467952.0000,1.244330,1,-2.631581,21.806130,4.730168,3.293525,-236.298019,0
2016-12-21,sh.600406,15.9500,16.2700,15.9100,16.1200,15.9100,26067907,419652192.0000,1.181814,1,1.319931,22.093955,4.792602,3.336997,-239.416975,0
2016-12-22,sh.600406,16.4800,16.8800,16.3100,16.6700,16.1200,48742462,812722960.0000,2.209787,1,3.411906,22.847781,4.956122,3.450853,-247.585668,0
2016-12-23,sh.600406,16.5500,16.8800,16.4500,16.8500,16.6700,37640935,628746624.0000,1.706489,1,1.079786,23.094487,5.009637,3.488114,-250.259059,0
2016-12-26,sh.600406,16.7600,16.7700,16.3100,16.7300,16.8500,35019618,580703600.0000,1.587649,1,-0.712171,22.930016,4.973960,3.463273,-248.476798,0
2016-12-27,sh.600406,16.7000,17.1500,16.5700,16.7800,16.7300,43786989,741061456.0000,1.985126,1,0.298871,22.998546,4.988826,3.473624,-249.219407,0
2016-12-28,sh.600406,16.7000,16.8700,16.5300,16.6300,16.7800,16777725,279833648.0000,0.760635,1,-0.893930,22.792957,4.944229,3.442572,-246.991581,0
