date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2016-08-29,sh.603011,29.4460100000,29.4460100000,28.2359000000,29.1031455000,28.9216290000,11393142,161758124.0000,5.381739,1,0.627600,152.526295,5.725297,9.905769,-3479.368419,0
2016-08-30,sh.603011,28.5787645000,30.2325815000,28.5787645000,30.0107280000,29.1031455000,17758038,261138165.0000,8.388303,1,3.118500,157.282833,5.903841,10.214681,-3587.872631,0
2016-08-31,sh.603011,29.7485375000,30.8174680000,29.4258415000,29.9703910000,30.0107280000,14036136,207329624.0000,6.630201,1,-0.134400,157.071431,5.895905,10.200951,-3583.050222,0
2016-09-01,sh.603011,29.8090430000,29.8292115000,28.3569110000,28.4577535000,29.9703910000,14863318,213002368.0000,7.020934,1,-5.047100,149.143869,5.598333,9.686099,-3402.209868,0
2016-09-02,sh.603011,28.1350575000,28.2964055000,25.9971965000,26.4812405000,28.4577535000,17460142,233087281.0000,8.247587,1,-6.945400,138.785188,5.209504,9.013358,-3165.911805,0
2016-09-05,sh.603011,26.2997240000,26.7434310000,25.8560170000,26.4409035000,26.4812405000,10353108,135168371.0000,4.890462,1,-0.152326,138.573786,5.201569,8.999628,-3161.089395,0
2016-09-06,sh.603011,26.3198925000,27.6913505000,26.2997240000,27.5905080000,26.4409035000,9669176,130207215.0000,4.567395,1,4.347831,144.598733,5.427724,9.390916,-3298.528064,0
2016-09-07,sh.603011,27.5300025000,29.2443250000,27.5300025000,29.0224715000,27.5905080000,16385952,232699831.0000,7.740176,1,5.190059,152.103492,5.709426,9.878310,-3469.723600,0
2016-09-08,sh.603011,28.5989330000,29.8493800000,28.2762370000,28.8409550000,29.0224715000,15526648,221773661.0000,7.334269,1,-0.625435,151.152185,5.673718,9.816528,-3448.022757,0
2016-09-09,sh.603011,28.8207865000,29.2241565000,28.1552260000,28.3367425000,28.8409550000,12437400,176136570.0000,5.875012,1,-1.748252,148.509664,5.574527,9.644910,-3387.742639,0
2016-09-12,sh.603011,27.6308450000,29.0426400000,26.9652845000,27.9737095000,28.3367425000,11047136,153799554.0000,5.218298,1,-1.281141,146.607049,5.503109,9.521346,-3344.340954,0
2016-09-13,sh.603011,27.9737095000,28.3569110000,26.5417460000,27.3283175000,27.9737095000,7738207,104665764.0000,3.655270,1,-2.307136,143.224622,5.376145,9.301675,-3267.182403,0
2016-09-14,sh.603011,26.6224200000,27.6913505000,26.6224200000,27.1266325000,27.3283175000,4096480,55387660.0000,1.935040,1,-0.738010,142.167614,5.336469,9.233028,-3243.070356,0
2016-09-19,sh.603011,27.0056215000,27.3686545000,26.6425885000,27.0862955000,27.1266325000,4010300,53640559.0000,1.894332,1,-0.148695,141.956213,5.328534,9.219299,-3238.247946,0
2016-09-20,sh.603011,27.1064640000,27.1871380000,26.6627570000,27.0257900000,27.0862955000,3236394,43155484.0000,1.528764,1,-0.223386,141.639110,5.316631,9.198705,-3231.014332,0
2016-09-21,sh.603011,27.0661270000,27.4089915000,26.8644420000,27.1669695000,27.0257900000,3055865,41092886.0000,1.443488,1,0.522393,142.379016,5.344404,9.246758,-3247.892765,0
2016-09-22,sh.603011,27.3081490000,27.5300025000,27.0056215000,27.2073065000,27.1669695000,4533080,61242655.0000,2.141275,1,0.148474,160.463234,6.023222,10.421231,-3660.422669,0
2016-09-23,sh.603011,27.3888230000,27.4493285000,26.7030940000,26.7837680000,27.2073065000,3471965,46411481.0000,1.640040,1,-1.556709,157.965289,5.929458,10.259003,-3603.440552,0
2016-09-26,sh.603011,26.6425885000,27.0257900000,26.1182075000,26.5820830000,26.7837680000,4744545,62540266.0000,2.241164,1,-0.753008,156.775791,5.884808,10.181751,-3576.306210,0
2016-09-27,sh.603011,26.5820830000,27.0661270000,26.5215775000,27.0459585000,26.5820830000,2277974,30294349.0000,1.076039,1,1.745065,159.511636,5.987502,10.359430,-3638.715196,0
2016-09-28,sh.603011,27.0257900000,27.0862955000,26.8241050000,26.8241050000,27.0459585000,1647443,21999028.0000,0.778197,1,-0.820281,158.203189,5.938387,10.274453,-3608.867420,0
2016-09-29,sh.603011,26.8241050000,27.3283175000,26.8241050000,27.1064640000,26.8241050000,2593945,34894480.0000,1.225293,1,1.052627,159.868485,6.000897,10.382605,-3646.855498,0
2016-09-30,sh.603011,27.2274750000,27.3484860000,26.9249475000,27.2274750000,27.1064640000,1911701,25775719.0000,0.903024,1,0.446432,160.582184,6.027687,10.428956,-3663.136103,0
2016-10-10,sh.603011,27.2274750000,27.7720245000,27.2274750000,27.6308450000,27.2274750000,4304898,58898350.0000,2.033490,1,1.481480,162.961179,6.116986,10.583459,-3717.404786,0
