date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2017-04-06,sz.300632,8.8700000000,10.6400000000,8.8700000000,10.6400000000,7.3900000000,5700,60031.0000,0.019689,1,43.978360,28.635859,4.320548,3.843702,59.162347,0
2017-04-07,sz.300632,11.7000000000,11.7000000000,11.7000000000,11.7000000000,10.6400000000,1000,11700.0000,0.003454,1,9.962400,31.488680,4.750979,4.226627,65.056340,0
2017-04-10,sz.300632,12.8700000000,12.8700000000,12.8700000000,12.8700000000,11.7000000000,1548,19922.0000,0.005347,1,10.000000,34.637548,5.226076,4.649290,71.561974,0
2017-04-11,sz.300632,14.1600000000,14.1600000000,14.1600000000,14.1600000000,12.8700000000,1545,21877.0000,0.005337,1,10.023310,38.109376,5.749902,5.115303,78.734853,0
2017-04-12,sz.300632,15.5800000000,15.5800000000,15.5800000000,15.5800000000,14.1600000000,1100,17138.0000,0.003800,1,10.028250,41.931079,6.326517,5.628278,86.630579,0
2017-04-13,sz.300632,17.1400000000,17.1400000000,17.1400000000,17.1400000000,15.5800000000,3300,56562.0000,0.011399,1,10.012830,46.129570,6.959981,6.191828,95.304758,0
2017-04-14,sz.300632,18.8500000000,18.8500000000,18.8500000000,18.8500000000,17.1400000000,20521,386820.0000,0.070884,1,9.976668,50.731762,7.654354,6.809566,104.812992,0
2017-04-17,sz.300632,20.7400000000,20.7400000000,20.7400000000,20.7400000000,18.8500000000,40572,841463.0000,0.140145,1,10.026520,55.818394,8.421820,7.492329,115.322093,0
2017-04-18,sz.300632,22.8100000000,22.8100000000,22.8100000000,22.8100000000,20.7400000000,31335,714751.0000,0.108238,1,9.980712,61.389468,9.262378,8.240117,126.832061,0
2017-04-19,sz.300632,25.0900000000,25.0900000000,25.0900000000,25.0900000000,22.8100000000,45480,1141093.0000,0.157098,1,9.995619,67.525724,10.188210,9.063767,139.509707,0
