date,close,bond_value,convert_value,bond_premium,convert_premium
2021-01-04,98.849000,96.223632,68.629672,2.728403,44.032454
2021-01-05,98.110000,96.236843,66.251416,1.946404,48.087402
2021-01-06,97.903000,96.284394,66.138165,1.681068,48.027995
2021-01-07,96.600000,96.312243,63.306908,0.298775,52.589982
2021-01-08,96.700000,96.354437,63.646659,0.358638,51.932562
2021-01-11,96.700000,96.354852,61.381653,0.358205,57.538930
2021-01-12,96.592000,96.421998,61.721404,0.176310,56.496763
2021-01-13,96.492000,96.461970,60.928652,0.031132,58.368840
2021-01-14,97.100000,96.517425,61.721404,0.603596,57.319817
2021-01-15,97.790000,96.531787,62.514156,1.303418,56.428569
2021-01-18,97.492000,96.563589,62.514156,0.961451,55.951877
2021-01-19,96.505000,96.551546,64.892412,-0.048209,48.715384
2021-01-20,96.405000,96.586184,65.458664,-0.187588,47.276151
2021-01-21,96.511000,96.577205,64.439411,-0.068552,49.770146
2021-01-22,96.190000,96.594653,63.080408,-0.418918,52.487917
2021-01-25,95.950000,96.612774,61.834655,-0.686011,55.171886
2021-01-26,96.200000,96.591603,62.061155,-0.405421,55.008394
2021-01-27,95.904000,96.581222,59.456399,-0.701195,61.301394
2021-01-28,96.097000,96.586207,59.003398,-0.506498,62.866893
2021-01-29,95.661000,96.460823,58.097395,-0.829168,64.656263
2021-02-01,95.008000,96.490971,58.210646,-1.536902,63.214132
2021-02-02,94.720000,96.515284,57.984145,-1.860103,63.355000
2021-02-03,94.585000,96.494101,56.738392,-1.978464,66.703703
2021-02-04,94.529000,96.425070,54.586636,-1.966366,73.172421
2021-02-05,92.700000,96.431406,54.246886,-3.869493,70.885386
2021-02-08,93.100000,96.505563,54.813137,-3.528877,69.849793
2021-02-09,94.605000,96.465829,55.266138,-1.929003,71.180768
2021-02-10,95.169000,96.497438,54.813137,-1.376657,73.624436
2021-02-18,95.378000,96.528076,56.625142,-1.191442,68.437548
2021-02-19,96.292000,96.486378,59.909400,-0.201456,60.729369
2021-02-22,96.895000,96.522392,61.041903,0.386033,58.735223
2021-02-23,97.000000,96.518191,60.928652,0.499190,59.202602
2021-02-24,96.383000,96.543457,60.588901,-0.166202,59.076989
2021-02-25,96.301000,96.594388,59.682899,-0.303732,61.354427
2021-02-26,96.300000,96.653779,63.080408,-0.366028,52.662298
2021-03-01,96.300000,96.727636,67.383918,-0.442104,42.912437
2021-03-02,98.920000,96.838861,74.178935,2.149074,33.353221
2021-03-03,100.990000,96.843471,81.653454,4.281682,23.681234
2021-03-04,104.700000,96.880066,89.807475,8.071768,16.582724
2021-03-05,102.600000,96.968334,92.978482,5.807738,10.348112
2021-03-08,103.210000,97.029235,88.561721,6.370003,16.540192
2021-03-09,100.000000,97.123672,79.728199,2.961511,25.426136
2021-03-10,101.000000,97.178702,77.689694,3.932238,30.004373
2021-03-11,104.118000,97.227852,81.313703,7.086599,28.044838
2021-03-12,105.550000,97.245016,86.183465,8.540267,22.471288
2021-03-15,104.000000,97.200031,82.332956,6.995851,26.316369
2021-03-16,106.006000,97.224327,90.600227,9.032383,17.004123
2021-03-17,104.208000,97.236275,85.503964,7.169881,21.875052
2021-03-18,103.490000,97.158857,83.352208,6.516280,24.159878
2021-03-19,103.300000,97.133930,81.200453,6.348008,27.216039
2021-03-22,105.570000,97.170210,87.995470,8.644408,19.972085
2021-03-23,106.520000,97.190817,92.072480,9.598831,15.691464
2021-03-24,106.800000,97.234441,96.149490,9.837625,11.077032
2021-03-25,114.500000,97.233215,105.775764,17.758114,8.247859
2021-03-26,133.000000,97.262586,116.308041,36.743229,14.351509
2021-03-29,132.000000,97.282623,127.972820,35.687131,3.146903
2021-03-30,139.300000,97.288860,140.770102,43.181860,-1.044328
2021-03-31,154.780000,97.309160,154.813137,59.060051,-0.021405
2021-04-01,135.010000,97.344282,139.297848,38.693303,-3.078187
2021-04-02,127.900000,97.339412,125.368063,31.395904,2.019603
2021-04-06,130.400000,97.391391,127.180068,33.892738,2.531790
2021-04-07,132.500000,97.411314,129.445074,36.021161,2.360017
2021-04-08,124.980000,97.395263,116.534541,28.322463,7.247172
2021-04-09,124.900000,97.379447,118.573046,28.261152,5.335912
2021-04-12,124.796000,97.459789,119.705549,28.048708,4.252477
2021-04-13,123.300000,97.507354,118.233296,26.452001,4.285345
2021-04-14,120.182000,97.567595,112.231031,23.178192,7.084466
2021-04-15,119.160000,97.625615,105.889015,22.058130,12.532920
2021-04-16,117.890000,97.647754,106.002265,20.729864,11.214605
2021-04-19,117.030000,97.748235,107.134768,19.725947,9.236247
