债券代码,债券简称,申购日期,正股代码,正股简称,正股价,转股价,转股价值,发行规模
123284,强达转债,2026-08-19,301628,强达电路,92.57,84.04,110.1499,5.5
123283,丰茂转债,2026-08-18,301459,丰茂股份,31.7,35.59,89.07,6.075298
123282,震裕转02,2026-08-17,300953,震裕科技,94.5,104.85,90.1288,18.8
123281,中仑转债,2026-08-06,301565,中仑新材,20.41,20.28,100.641,10.68
111026,派克转债,2026-08-06,605123,派克新材,76.68,81.8,93.7408,15.8
118076,先锋转债,2026-08-06,688605,先锋精科,72.65,86.4,84.0856,7.5
123280,三鑫转债,2026-08-04,300453,三鑫医疗,9.71,9.72,99.8971,5.3
123279,天脉转债,2026-08-03,301626,苏州天脉,266.67,267.33,99.7531,7.86
113709,振26转债,2026-07-30,603067,振华股份,35.67,40.33,88.4453,8.78
123278,合金转债,2026-07-30,300697,电工合金,15.67,13.98,112.0887,5.45
118075,奥普转债,2026-07-29,688686,奥普特,137.05,150.03,91.3484,12.7
123277,玉禾转债,2026-07-29,300815,玉禾田,16.02,16.35,97.9817,15.0
118074,特宝转债,2026-07-28,688278,特宝生物,59.05,58.56,100.8367,15.33266
127115,炬申转债,2026-07-24,001202,炬申股份,13.83,13.76,100.5087,3.8
110103,申能转债,2026-07-24,600642,申能股份,8.42,8.74,96.3387,20.0
123276,久吾转02,2026-07-20,300631,久吾高科,21.8,23.78,91.6737,3.0
118073,赛斯转债,2026-07-17,688480,赛恩斯,75.2,88.16,85.2995,5.519
113708,曙26转债,2026-07-15,603019,中科曙光,86.54,108.89,79.4747,80.0
110102,江农转债,2026-07-14,600389,江山股份,18.81,20.64,91.1337,11.85
123275,肇民转债,2026-07-09,301000,肇民科技,24.4,33.8,72.1893,5.9
113707,科博转债,2026-07-03,603786,科博达,39.89,45.56,87.5549,14.9074
123274,维科转债,2026-06-26,301499,维科精密,25.08,35.62,70.4099,6.3
127114,宜化转债,2026-06-26,000422,湖北宜化,12.57,14.08,89.2756,33.0
