code,ex_date,cash_ps
sh.600000,2015-06-23,0.757
sh.600000,2016-06-23,0.515
sh.600000,2017-05-25,0.2
sh.600000,2018-07-13,0.1
sh.600000,2019-06-11,0.35
sh.600000,2020-07-23,0.6
sh.600000,2021-07-21,0.48
sh.600000,2022-07-21,0.41
sh.600000,2023-07-21,0.32
sh.600000,2024-07-18,0.321
sh.600000,2025-07-16,0.41
sh.600000,2026-07-16,0.42
sh.600004,2015-06-12,0.29
sh.600004,2016-08-05,0.32
sh.600004,2017-07-14,0.37
sh.600004,2018-07-13,0.24
sh.600004,2019-08-09,0.17
sh.600004,2020-08-04,0.145
sh.600004,2021-08-13,0.0423
sh.600004,2024-08-09,0.0747
sh.600004,2025-06-27,0.157
sh.600004,2026-07-24,0.285
sh.600006,2015-07-24,0.0212
sh.600006,2016-06-30,0.052
sh.600006,2017-07-14,0.033
sh.600006,2018-06-19,0.0303
sh.600006,2019-06-20,0.0833
sh.600006,2020-07-17,0.0664
sh.600006,2021-07-14,0.0831
sh.600006,2022-07-15,0.0558
sh.600006,2023-07-13,0.0428
sh.600006,2024-07-15,0.0301
sh.600006,2025-07-17,0.005
sh.600007,2015-06-19,0.2
sh.600007,2016-06-08,0.2
sh.600007,2017-06-19,0.3
sh.600007,2018-05-11,0.32
sh.600007,2019-06-21,0.32
sh.600007,2020-07-10,0.38
sh.600007,2021-06-04,0.4
sh.600007,2022-06-16,0.6
sh.600007,2023-06-15,0.7
sh.600007,2024-06-24,0.8
sh.600007,2025-06-26,1.1
sh.600007,2026-06-26,1.07
sh.600008,2015-06-01,0.15
sh.600008,2016-05-23,0.15
sh.600008,2017-05-31,0.08
sh.600008,2018-05-10,0.08
sh.600008,2019-05-23,0.08
sh.600008,2020-05-21,0.08
sh.600008,2021-05-28,0.07
sh.600008,2022-05-27,0.1
sh.600008,2023-06-15,0.13
sh.600008,2024-06-07,0.1
sh.600008,2025-06-13,0.17
sh.600008,2026-01-09,0.04
sh.600008,2026-06-18,0.08
sh.600009,2015-08-20,0.35
sh.600009,2016-08-18,0.43
sh.600009,2017-08-24,0.44
sh.600009,2018-08-23,0.58
sh.600009,2019-08-22,0.66
sh.600009,2020-08-20,0.79
sh.600009,2024-07-19,0.12
sh.600009,2024-09-09,0.10034
sh.600009,2025-08-08,0.3
sh.600009,2025-10-16,0.21
sh.600009,2026-07-01,0.26
sh.600010,2018-07-12,0.005
sh.600010,2019-07-12,0.007
sh.600010,2022-06-29,0.019
sh.600010,2025-06-27,0.002
sh.600011,2015-07-13,0.38
sh.600011,2016-07-08,0.47
sh.600011,2017-06-30,0.29
sh.600011,2018-05-17,0.1
sh.600011,2019-06-28,0.1
sh.600011,2020-07-06,0.135
sh.600011,2021-07-07,0.18
sh.600011,2024-07-11,0.2
sh.600011,2025-07-10,0.27
sh.600011,2026-07-03,0.4
sh.600012,2015-07-20,0.23
sh.600012,2016-07-19,0.23
sh.600012,2017-07-18,0.23
sh.600012,2018-07-17,0.23
sh.600012,2019-07-16,0.25
sh.600012,2020-07-22,0.23
sh.600012,2021-07-21,0.23
sh.600012,2022-07-20,0.55
sh.600012,2023-07-19,0.55
sh.600012,2024-07-12,0.601
sh.600012,2025-07-30,0.604
sh.600012,2026-07-31,0.66
sh.600015,2015-07-08,0.435
sh.600015,2016-07-08,0.363
sh.600015,2017-06-29,0.181
sh.600015,2018-06-29,0.151
sh.600015,2019-07-11,0.174
sh.600015,2020-06-19,0.249
sh.600015,2021-07-09,0.301
sh.600015,2022-06-08,0.338
sh.600015,2023-06-21,0.383
sh.600015,2024-06-21,0.384
sh.600015,2025-01-22,0.1
sh.600015,2025-06-26,0.305
sh.600015,2026-01-23,0.1
sh.600015,2026-07-30,0.32
sh.600016,2015-01-09,0.075
sh.600016,2015-07-07,0.11
sh.600016,2016-02-26,0.075
sh.600016,2016-06-24,0.16
sh.600016,2016-09-26,0.115
sh.600016,2017-07-06,0.165
sh.600016,2017-09-26,0.12
sh.600016,2018-07-05,0.09
sh.600016,2019-07-05,0.345
sh.600016,2020-07-13,0.37
sh.600016,2021-06-24,0.213
sh.600016,2022-06-24,0.213
sh.600016,2023-06-26,0.214
sh.600016,2024-07-12,0.216
sh.600016,2024-11-13,0.13
sh.600016,2025-07-14,0.062
sh.600016,2025-09-16,0.136
sh.600016,2026-07-02,0.053
sh.600017,2015-06-03,0.04
sh.600017,2017-06-14,0.01
sh.600017,2018-06-08,0.02
sh.600017,2019-06-05,0.02
sh.600017,2020-06-05,0.025
sh.600017,2021-06-04,0.035
sh.600017,2022-05-31,0.04
sh.600017,2023-05-31,0.04
sh.600017,2024-06-14,0.065
sh.600017,2025-06-13,0.086
sh.600017,2025-10-31,0.033
sh.600017,2026-06-12,0.0395
sh.600018,2015-05-15,0.154
sh.600018,2016-07-19,0.154
sh.600018,2017-07-18,0.156
sh.600018,2018-06-08,0.172
sh.600018,2019-06-28,0.154
sh.600018,2020-07-31,0.145
sh.600018,2021-07-02,0.128
sh.600018,2022-08-19,0.18996
sh.600018,2023-08-11,0.14
sh.600018,2024-05-15,0.172
sh.600018,2024-12-26,0.05
sh.600018,2025-07-17,0.145
sh.600018,2026-01-13,0.05
sh.600018,2026-07-23,0.145
sh.600019,2015-05-14,0.18
sh.600019,2016-06-08,0.06
sh.600019,2017-06-14,0.21
sh.600019,2018-06-08,0.45
sh.600019,2019-05-31,0.5
sh.600019,2020-06-03,0.28
sh.600019,2021-06-18,0.3
sh.600019,2021-10-15,0.35
sh.600019,2022-06-30,0.25
