date,nav
2016-08-29,1000000.0
2016-08-30,1000000.0
2016-08-31,1000000.0
2016-09-01,1000000.0
2016-09-02,1000000.0
2016-09-05,1000000.0
2016-09-06,1000000.0
2016-09-07,1000000.0
2016-09-08,1000000.0
2016-09-09,1000000.0
2016-09-12,1000000.0
2016-09-13,1000000.0
2016-09-14,1000000.0
2016-09-19,1000000.0
2016-09-20,1000000.0
2016-09-21,1000000.0
2016-09-22,1000000.0
2016-09-23,1000000.0
2016-09-26,1000000.0
2016-09-27,1000000.0
2016-09-28,1000000.0
2016-09-29,1000000.0
2016-09-30,1000000.0
2016-10-10,1000000.0
2016-10-11,1000000.0
2016-10-12,1000000.0
2016-10-13,1000000.0
2016-10-14,1000000.0
2016-10-17,1000000.0
2016-10-18,1000000.0
2016-10-19,1000000.0
2016-10-20,1000000.0
2016-10-21,1000000.0
2016-10-24,1000000.0
2016-10-25,1000000.0
2016-10-26,1000000.0
2016-10-27,1000000.0
2016-10-28,1000000.0
2016-10-31,1000000.0
2016-11-01,1000000.0
2016-11-02,1000000.0
2016-11-03,1000000.0
2016-11-04,1000000.0
2016-11-07,1000000.0
2016-11-08,1000000.0
2016-11-09,1000000.0
2016-11-10,1000000.0
2016-11-11,1000000.0
2016-11-14,1000000.0
2016-11-15,1000000.0
2016-11-16,1000000.0
2016-11-17,1000000.0
2016-11-18,1000000.0
2016-11-21,1000000.0
2016-11-22,1000000.0
2016-11-23,1000000.0
2016-11-24,1000000.0
2016-11-25,1000000.0
2016-11-28,1000000.0
2016-11-29,1000000.0
2016-11-30,1000000.0
2016-12-01,1000000.0
2016-12-02,1000000.0
2016-12-05,1000000.0
2016-12-06,1000000.0
2016-12-07,1000000.0
2016-12-08,1000000.0
2016-12-09,1000000.0
2016-12-12,1000000.0
2016-12-13,1000000.0
2016-12-14,998117.50294
2016-12-15,1001151.1246399999
2016-12-16,1004711.40874
2016-12-19,1003233.989
2016-12-20,1003732.5944599999
2016-12-21,1008792.8084399999
2016-12-22,1009310.0235125
2016-12-23,1004782.6010625
2016-12-26,1003947.19569
2016-12-27,1003841.7547899999
2016-12-28,1002350.2090899999
2016-12-29,1001394.7582899999
2016-12-30,1001236.3151899999
2017-01-03,1003426.3151899999
2017-01-04,1004363.9902899999
2017-01-05,1003479.6664899999
2017-01-06,1000169.8799199999
2017-01-09,999957.1774199998
2017-01-10,999807.1774199998
2017-01-11,998666.4470199998
2017-01-12,998452.9038199999
2017-01-13,998452.9038199999
2017-01-16,998452.9038199999
2017-01-17,998452.9038199999
2017-01-18,998452.9038199999
2017-01-19,998452.9038199999
2017-01-20,998452.9038199999
2017-01-23,998452.9038199999
2017-01-24,998452.9038199999
2017-01-25,998452.9038199999
2017-01-26,998452.9038199999
2017-02-03,998452.9038199999
2017-02-06,998452.9038199999
2017-02-07,998452.9038199999
2017-02-08,998452.9038199999
2017-02-09,998452.9038199999
2017-02-10,998452.9038199999
2017-02-13,998452.9038199999
2017-02-14,998452.9038199999
2017-02-15,998452.9038199999
2017-02-16,998452.9038199999
2017-02-17,998452.9038199999
2017-02-20,998452.9038199999
2017-02-21,998452.9038199999
2017-02-22,998452.9038199999
2017-02-23,998452.9038199999
2017-02-24,998452.9038199999
2017-02-27,998452.9038199999
2017-02-28,998452.9038199999
2017-03-01,998452.9038199999
2017-03-02,998452.9038199999
2017-03-03,998452.9038199999
2017-03-06,998452.9038199999
2017-03-07,998452.9038199999
2017-03-08,998452.9038199999
2017-03-09,998452.9038199999
2017-03-10,998452.9038199999
2017-03-13,998452.9038199999
2017-03-14,998452.9038199999
2017-03-15,998452.9038199999
2017-03-16,998452.9038199999
2017-03-17,998452.9038199999
2017-03-20,998452.9038199999
2017-03-21,998452.9038199999
2017-03-22,998452.9038199999
2017-03-23,998452.9038199999
2017-03-24,998452.9038199999
2017-03-27,998452.9038199999
2017-03-28,998452.9038199999
2017-03-29,998452.9038199999
2017-03-30,998452.9038199999
2017-03-31,998452.9038199999
2017-04-05,998452.9038199999
2017-04-06,998452.9038199999
2017-04-07,998452.9038199999
2017-04-10,998452.9038199999
2017-04-11,998452.9038199999
2017-04-12,998452.9038199999
2017-04-13,998452.9038199999
2017-04-14,998452.9038199999
2017-04-17,998452.9038199999
2017-04-18,998452.9038199999
2017-04-19,998452.9038199999
2017-04-20,998203.8188649999
2017-04-21,995077.1151949998
2017-04-24,990529.5835989998
2017-04-25,992960.3202819999
2017-04-26,995820.8552879998
2017-04-27,1006018.7304129999
2017-04-28,1008236.5510579997
2017-05-02,1007094.0188769996
2017-05-03,1011664.2882899997
2017-05-04,1008972.3400329998
2017-05-05,1004117.3225109997
2017-05-08,994924.4938909998
2017-05-09,997313.8295149999
2017-05-10,994983.1328854999
2017-05-11,992458.1927374998
2017-05-12,993538.4825694999
2017-05-15,993495.5241414999
2017-05-16,993973.3469334999
2017-05-17,994055.7301734999
2017-05-18,993890.9636934998
2017-05-19,993923.9169894998
2017-05-22,993890.7845374999
2017-05-23,993890.7845374999
2017-05-24,993890.7845374999
2017-05-25,1000848.6851604999
2017-05-26,1000607.3652474999
2017-05-31,1000199.3741264998
2017-06-01,983532.2807735
2017-06-02,991498.3122874999
2017-06-05,995628.0139535
2017-06-06,998111.3926695
2017-06-07,1004528.2579895
2017-06-08,1003032.1044784999
2017-06-09,1004847.7986634999
2017-06-12,1000645.5231605
2017-06-13,1003443.2978345
2017-06-14,1004342.6517365
2017-06-15,1006163.4704225
2017-06-16,1005707.93628
2017-06-19,1005827.93628
2017-06-20,1005757.93628
2017-06-21,1005647.93628
2017-06-22,1005232.93628
2017-06-23,1005217.93628
2017-06-26,1005387.93628
2017-06-27,1005412.93628
2017-06-28,1005147.93628
2017-06-29,1005397.93628
2017-06-30,1006062.93628
2017-07-03,1006025.8087800001
2017-07-04,1006025.8087800001
2017-07-05,1006025.8087800001
2017-07-06,1006025.8087800001
2017-07-07,1006025.8087800001
2017-07-10,1006025.8087800001
2017-07-11,1006025.8087800001
2017-07-12,1006025.8087800001
2017-07-13,1006025.8087800001
2017-07-14,1006025.8087800001
2017-07-17,1006025.8087800001
2017-07-18,1006025.8087800001
2017-07-19,1006025.8087800001
2017-07-20,1006025.8087800001
2017-07-21,1006025.8087800001
2017-07-24,1006025.8087800001
2017-07-25,1006025.8087800001
2017-07-26,1006025.8087800001
2017-07-27,1006025.8087800001
2017-07-28,1006025.8087800001
2017-07-31,1006025.8087800001
2017-08-01,1006025.8087800001
2017-08-02,1006025.8087800001
2017-08-03,1006025.8087800001
2017-08-04,1006025.8087800001
2017-08-07,1006025.8087800001
2017-08-08,1006025.8087800001
2017-08-09,1006025.8087800001
2017-08-10,1006025.8087800001
2017-08-11,1006025.8087800001
2017-08-14,1006025.8087800001
2017-08-15,1006025.8087800001
2017-08-16,1006025.8087800001
2017-08-17,1006025.8087800001
2017-08-18,1006025.8087800001
2017-08-21,1006025.8087800001
2017-08-22,1006025.8087800001
2017-08-23,1006025.8087800001
2017-08-24,1006025.8087800001
2017-08-25,1006025.8087800001
2017-08-28,1006025.8087800001
2017-08-29,1006025.8087800001
2017-08-30,1006025.8087800001
2017-08-31,1006025.8087800001
