top_n,interval,total_ret,cagr,mdd,sharpe,avg_open,final_nav
10,5,3.7686257292000027,0.3189390034660975,0.49483020677214895,0.715306380724088,10.0,238431.28646000015
10,10,13.244471846000005,0.6012124980022502,0.5204606302541526,0.9024450606699691,10.0,712223.5923000003
10,20,13.747334591699998,0.6110876713796036,0.5361868049669128,0.9246012331192055,10.0,737366.7295849998
15,5,2.9265918243000004,0.2742990272382353,0.39127695117204464,0.6620820478634054,15.0,196329.59121500002
15,10,7.756818183499998,0.46893447991147696,0.4030447104148607,0.8209997714433392,15.0,437840.9091749999
15,20,6.423098501900005,0.42654322618489804,0.5929541486049673,0.7607853711906231,15.0,371154.92509500025
20,5,1.8754969747999963,0.2058492270161456,0.27347876410163374,0.6030337404946486,20.0,143774.8487399998
20,10,4.867055767799999,0.3682935323507457,0.30362441811796526,0.7761983382609793,20.0,293352.78838999994
20,20,4.378665293899999,0.3473796677568688,0.4792743179425499,0.7101448483547532,20.0,268933.26469499996
30,5,0.8588191247000023,0.11612837621953287,0.21330854916865494,0.5040349325950682,30.0,92940.95623500012
30,10,2.303262929500004,0.23585351790051923,0.21594682400902224,0.7283117070028543,30.0,165163.14647500022
30,20,2.1641959621,0.22646899238195783,0.2620724692414862,0.6376759410581767,30.0,158209.798105
