lb,ov,tr,n,pf,avg_ret,win_rate,avg_cost,sum_ret
25,0.3,0.03,7194,0.8224209981570663,-0.004838814036019951,0.39922157353350013,0.0035966079477941434,-34.81042817512753
25,0.4,0.03,6515,0.8218278753454511,-0.004854563502665578,0.3995395241749808,0.0035957164381198534,-31.62748121986624
25,0.5,0.03,5822,0.8215555569501714,-0.004887477533462735,0.40192373754723465,0.0035963662719685715,-28.454894199820046
25,0.6000000000000001,0.03,5088,0.8100481708409445,-0.005255796800760358,0.40113993710691825,0.0035960531167376964,-26.741494122268705
30,0.5,0.03,6293,0.8084748412672866,-0.0052089326622616885,0.39853805815986015,0.0035963808147570463,-32.77981324361281
30,0.4,0.03,7024,0.8057095845781426,-0.005264564105492761,0.3966400911161731,0.0035956942797805936,-36.97829827698115
30,0.3,0.03,7742,0.8044138340021741,-0.005301646507625844,0.39640919659002843,0.0035964571998578017,-41.045347262039286
20,0.3,0.03,6571,0.8035351285894307,-0.005435005042289426,0.3993303911124639,0.0035965569088118846,-35.71341813288382
20,0.5,0.03,5294,0.8027071866352434,-0.005465775247519791,0.4021533811862486,0.0035959228018278373,-28.935814160369773
20,0.4,0.03,5937,0.8026245685457116,-0.005450476532849531,0.39902307562742123,0.003595392530373307,-32.35947917552767
30,0.6000000000000001,0.03,5519,0.7979039340668925,-0.005546149692786952,0.3980793622032977,0.0035960016816229266,-30.60920015449119
15,0.3,0.03,5760,0.7943764578697642,-0.005817682817425091,0.39895833333333336,0.0035952995378105853,-33.509853028368525
20,0.6000000000000001,0.03,4595,0.7915316347312488,-0.005834002628593358,0.40108813928182807,0.0035956479086473756,-26.80724207838648
15,0.4,0.03,5169,0.7883350434996216,-0.006004842151918992,0.3979493132133875,0.0035940668110241844,-31.03902908326927
15,0.5,0.03,4610,0.783072964809331,-0.006183105871907465,0.3997830802603037,0.0035945330171237196,-28.504118069493416
15,0.6000000000000001,0.03,3989,0.7738466545743633,-0.006499355229036404,0.3990975181749812,0.003594361009248365,-25.925928008626215
10,0.3,0.03,4721,0.7633350917558995,-0.007034731201733119,0.3918661300571913,0.003592399333936663,-33.210966003382055
10,0.4,0.03,4214,0.7630941931356248,-0.007042135527119476,0.3920265780730897,0.003591065099047305,-29.675559111281473
10,0.5,0.03,3722,0.7601935864099195,-0.007195426942724705,0.3938742611499194,0.003591873243930745,-26.781379080821353
10,0.6000000000000001,0.03,3201,0.7547199364139179,-0.007393955028606682,0.39550140581068416,0.0035910447159764433,-23.668050046569988
25,0.4,0.05,6503,0.7083050892331995,-0.008576276201722565,0.3624481008765185,0.0035901598290280622,-55.77152413980184
