panic_threshold,min_mc,max_mc,trades,panic_days,win_rate,pf,avg_ret,total_ret,cagr,mdd,sharpe,fund_rate,max_open,final_nav
50,50,300,3758,64,0.7562533262373603,4.326629774535113,0.0641269119212347,1.3206837148100017,0.08794438759196832,0.16805140230485976,1.1049433775379478,0.4986695050558808,112,2320683.7148100017
50,80,500,2438,64,0.7547169811320755,4.1562768111946715,0.061195522149302704,1.2958305349200034,0.08677216525805109,0.1046931125685851,1.2795740851122575,0.6103363412633306,115,2295830.5349200033
50,80,800,2600,64,0.7480769230769231,3.993151656277992,0.05939657461538462,1.292317378125003,0.08660554384611907,0.10982210200947136,1.2543080641807776,0.5926923076923077,113,2292317.378125003
50,50,500,4009,64,0.7550511349463707,4.287902882909596,0.06368280618608131,1.289643794010003,0.08647858749500159,0.18058017611618826,1.0614041828801584,0.4799201795959092,117,2289643.794010003
50,80,300,2187,64,0.7567443987197073,4.206680050097523,0.06167318152720622,1.288432175272502,0.08642100929947327,0.09379947286506929,1.3153825315339263,0.6465477823502515,115,2288432.175272502
50,50,800,4171,64,0.7508990649724286,4.178287137949423,0.06246482402301607,1.2850186362500038,0.0862586444435105,0.18545470383961607,1.0437994634736083,0.4715895468712539,122,2285018.6362500037
60,50,500,3577,46,0.7808219178082192,4.959347764388074,0.06913999245177523,1.2322862529000034,0.08372229643820361,0.18179210974441182,1.0654919399920157,0.46966731898238745,117,2232286.2529000035
60,50,300,3355,46,0.7815201192250373,4.980069373936251,0.06939783606557377,1.2215248283800042,0.08319807212915942,0.1714577282397801,1.080429329662542,0.4858420268256334,112,2221524.828380004
50,100,500,1858,64,0.7615715823466093,4.240030129712062,0.06129901937567277,1.2200034711050036,0.08312377754198752,0.085023277348273,1.2767581132352073,0.686221743810549,115,2220003.4711050037
60,80,500,2163,46,0.7776236708275543,4.735378841313822,0.06591762598243181,1.2144897186225014,0.08285413220546922,0.1073107951884494,1.2503966026294078,0.6144244105409153,109,2214489.7186225015
60,80,800,2308,46,0.7712305025996534,4.542056115508319,0.06407155632582322,1.2109850243975013,0.08268242391251812,0.11257878048422905,1.2237318325706368,0.5961871750433275,109,2210985.0243975013
60,50,800,3722,46,0.776732939279957,4.825000545485354,0.06786971520687803,1.208370188100004,0.08255415352846995,0.18741532574734351,1.0329182172915183,0.4599677592692101,119,2208370.188100004
40,80,300,2474,86,0.719482619240097,3.3784303206235418,0.05328482336297495,1.2068460848800031,0.08247932582311868,0.10447972163242834,1.2012997271051593,0.6693613581244947,112,2206846.0848800032
50,100,300,1607,64,0.7654013690105788,4.325393371684158,0.06196524144368388,1.1953593434575027,0.08191386949279345,0.07398099583366766,1.2991510177072019,0.7423771001866832,112,2195359.343457503
60,80,300,1941,46,0.7784647089129315,4.744859770734586,0.06599475115919629,1.1919956315225004,0.0817477805010054,0.09673846094225527,1.266996478375691,0.6506955177743431,109,2191995.6315225004
60,100,500,1650,46,0.7830303030303031,4.777585096255927,0.06565475636363637,1.1889590281625013,0.08159764595213215,0.0854977288667942,1.2827623833542692,0.7006060606060606,112,2188959.0281625013
50,100,800,2020,64,0.7524752475247525,4.017658687749734,0.058975242079207915,1.1884182525525029,0.081570889478767,0.09149316458787209,1.2314269775646975,0.6534653465346535,112,2188418.252552503
40,80,500,2772,86,0.7171717171717171,3.322773613325042,0.05248860858585859,1.1830997787625042,0.08130742477416408,0.11734657628178267,1.1386042610875706,0.6349206349206349,109,2183099.778762504
60,100,800,1795,46,0.7743732590529248,4.5226844688381895,0.06330232590529249,1.1691044579125016,0.08061135969870592,0.09160204830699015,1.247435250003095,0.6685236768802229,110,2169104.4579125014
