ma_s,win,ma_f,tp,sl,td,n,pf,avg_ret,win_rate,avg_cost,sum_ret
50,6,5,4.0,2.0,10,1088,0.9501902802115688,-0.0014990597288053614,0.4430147058823529,0.003598704906065884,-1.6309769849402345
50,5,5,4.0,2.0,10,941,0.9378870554972509,-0.0018909744677769321,0.44208289054197664,0.0035993431795409763,-1.7794069741780938
50,3,5,4.0,2.0,10,663,0.9228548015929988,-0.0023423860692310394,0.4343891402714932,0.003597889763518947,-1.5530019639001795
50,4,5,4.0,2.0,10,801,0.921672296039566,-0.0023992284189756066,0.4369538077403246,0.0035993157579313866,-1.9217819635994622
50,7,5,4.0,2.0,10,1212,0.9076616015078506,-0.002853134459294262,0.4405940594059406,0.003593722680669458,-3.4579989646646467
50,8,5,4.0,2.0,10,1315,0.9064249493434025,-0.002891949036151018,0.44258555133079847,0.0035948143858655908,-3.80291298253859
50,10,5,4.0,2.0,10,1553,0.9017434170866855,-0.0030369246494039966,0.43979394719896975,0.0035934120441744456,-4.716343980524405
50,9,5,4.0,2.0,10,1447,0.8923221891511699,-0.0033317705420286173,0.4395300621976503,0.0035939653689163525,-4.821071974315409
70,4,5,4.0,2.0,10,644,0.8874088822285439,-0.0033958603568169446,0.4363354037267081,0.0035874969996324666,-2.1869340697901127
40,10,5,4.0,2.0,10,1778,0.8673175973497399,-0.004089605146787993,0.44263217097862767,0.003600497729530418,-7.271317950989061
70,5,5,4.0,2.0,10,764,0.861586728767739,-0.004310706864505498,0.4306282722513089,0.0035874882408787837,-3.2933800444822015
30,10,5,4.0,2.0,10,2163,0.8573669278560961,-0.0044608645664396705,0.44521497919556174,0.0035947628324427714,-9.648850057209003
70,6,5,4.0,2.0,10,877,0.8544301447683457,-0.0045892976660895125,0.42873432155074115,0.0035895062962033293,-4.0248140531605054
30,9,5,4.0,2.0,10,2026,0.8531218393429892,-0.004605812469758095,0.44471865745310957,0.0035942393931710057,-9.331376063729898
40,7,5,4.0,2.0,10,1396,0.8529555969274499,-0.004503184812677956,0.43982808022922637,0.003596858140412504,-6.2864459984984284
40,8,5,4.0,2.0,10,1532,0.8524763781438441,-0.004544103778527334,0.4406005221932115,0.003597779352992868,-6.961566988703876
90,10,5,4.0,2.0,10,1094,0.8499672685624885,-0.004823963465607923,0.4369287020109689,0.0035826609334568575,-5.277416031375064
80,7,5,4.0,2.0,10,952,0.8488502987898829,-0.004930621857608052,0.4180672268907563,0.003588059883156241,-4.693952008442863
40,9,5,4.0,2.0,10,1672,0.8482268827515187,-0.004716641728254787,0.43720095693779903,0.0035996925715200386,-7.886224969642015
20,5,5,4.0,2.0,10,1828,0.8476322675653043,-0.004948255468959407,0.43982494529540483,0.0035940399135542954,-9.045410997257802
80,8,5,4.0,2.0,10,1030,0.8461709804607672,-0.004982329137048409,0.4203883495145631,0.0035884912832755537,-5.131799011159859
70,7,5,4.0,2.0,10,985,0.8458892800105193,-0.0048659097069551635,0.42538071065989846,0.003587745208939175,-4.792921061350835
40,6,5,4.0,2.0,10,1243,0.8447392616942693,-0.004736613040654994,0.4360418342719228,0.0035971576616185864,-5.887610009534158
80,5,5,4.0,2.0,10,751,0.8416602069515745,-0.005106404773715296,0.41011984021304926,0.003587628484554527,-3.834909985060185
20,6,5,4.0,2.0,10,2128,0.8413099283525635,-0.005144348671126599,0.43890977443609025,0.0035968829706140657,-10.947173972157382
80,6,5,4.0,2.0,10,865,0.8391888632123314,-0.005295202313881477,0.4115606936416185,0.0035869780319260957,-4.580350001507475
30,8,5,4.0,2.0,10,1853,0.8386361083687486,-0.005123767973505408,0.4452239611440907,0.003593875350059358,-9.494342054905516
20,4,5,4.0,2.0,10,1519,0.8343328536173458,-0.005450998031003373,0.4298880842659645,0.0035910697886719347,-8.280066009094122
