code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret
sh.600004,2018-07-02,27.5666,2018-07-13,30.781,MA,10,0.116604,0.11272
sh.600004,2019-11-04,39.064,2019-11-22,35.9389,STOP,15,-0.08,-0.08366
sh.600006,2019-05-09,14.0067,2019-05-23,12.8862,STOP,11,-0.08,-0.0834
sh.600006,2020-02-05,10.0342,2020-02-21,11.3631,MA,13,0.132432,0.128626
sh.600006,2022-04-28,12.1206,2022-05-13,13.486,MA,9,0.112644,0.108943
sh.600006,2024-04-15,20.3647,2024-04-30,21.8355,MA,12,0.072222,0.068386
sh.600007,2021-10-08,21.7557,2021-10-22,20.0152,STOP,11,-0.08,-0.083529
sh.600007,2022-04-27,19.2273,2022-05-10,22.3731,MA,7,0.163609,0.159823
sh.600009,2021-02-04,147.7885,2021-03-08,157.2764,MA,18,0.064199,0.060926
sh.600010,2021-03-26,11.2061,2021-04-21,11.4216,MA,18,0.019231,0.015586
sh.600011,2021-11-18,22.4483,2021-11-30,23.9064,MA,9,0.064957,0.061246
sh.600011,2022-01-18,28.895,2022-01-25,32.1183,MA,6,0.111554,0.107733
sh.600011,2022-11-04,26.4774,2022-11-17,27.6286,MA,10,0.043478,0.039654
sh.600011,2026-06-24,31.6963,2026-06-29,29.1606,STOP,4,-0.08,-0.083432
sh.600012,2017-01-16,21.8107,2017-02-10,22.8524,MA,15,0.047757,0.044039
sh.600012,2017-04-21,21.7003,2017-05-09,19.9642,STOP,12,-0.08,-0.083532
sh.600012,2018-06-21,10.1244,2018-06-27,9.3145,STOP,5,-0.08,-0.083477
sh.600012,2018-06-29,9.3209,2018-07-16,9.8834,MA,12,0.060345,0.056681
sh.600018,2019-08-19,78.9325,2019-09-04,79.8868,MA,13,0.01209,0.008305
sh.600018,2020-02-05,61.4829,2020-03-04,64.6184,MA,21,0.050998,0.046795
sh.600018,2021-11-11,66.6712,2021-11-24,70.8652,MA,10,0.062907,0.058812
sh.600019,2021-10-14,17.8227,2021-10-28,16.3969,STOP,11,-0.08,-0.083502
sh.600021,2021-10-27,16.8219,2021-10-29,18.7193,MA,3,0.11279,0.108931
sh.600021,2021-11-22,15.0262,2021-11-26,16.0935,MA,5,0.071026,0.06731
sh.600021,2022-01-18,21.4975,2022-01-20,23.5134,MA,3,0.093775,0.089971
sh.600021,2025-12-08,35.5447,2025-12-29,39.355,MA,16,0.107197,0.103129
sh.600021,2026-06-23,29.9635,2026-06-26,27.5664,STOP,4,-0.08,-0.083492
sh.600026,2022-12-12,18.7536,2022-12-22,17.2533,STOP,9,-0.08,-0.083446
sh.600026,2026-06-15,28.2903,2026-06-16,26.0271,STOP,2,-0.08,-0.083558
sh.600026,2026-07-15,22.4559,2026-07-24,24.3087,MA,8,0.082508,0.078771
sh.600027,2021-11-18,5.2603,2021-11-30,5.4839,MA,9,0.042493,0.038929
sh.600027,2022-11-04,8.086,2022-11-17,8.7638,MA,10,0.083821,0.080164
sh.600028,2026-03-26,20.9369,2026-04-23,19.2619,STOP,20,-0.08,-0.083574
sh.600029,2018-07-02,14.0682,2018-07-03,12.9427,STOP,2,-0.08,-0.083395
sh.600029,2018-07-06,12.8652,2018-07-19,11.836,STOP,10,-0.08,-0.08349
sh.600029,2026-03-13,10.6889,2026-03-20,9.8338,STOP,6,-0.08,-0.083419
sh.600030,2018-02-22,70.1303,2018-03-12,74.2625,MA,13,0.058922,0.054907
sh.600032,2021-07-30,9.16,2021-08-12,11.15,MA,10,0.217249,0.213331
sh.600032,2026-04-17,10.0313,2026-04-22,11.3343,MA,4,0.129897,0.126094
sh.600032,2026-06-30,7.1805,2026-07-09,6.6061,STOP,8,-0.08,-0.083451
sh.600036,2022-05-12,164.6194,2022-05-23,178.8,MA,8,0.086141,0.082905
sh.600037,2023-05-31,35.7553,2023-06-08,38.3153,MA,7,0.071599,0.067593
sh.600038,2022-01-27,144.9738,2022-02-24,145.4604,MA,16,0.003356,0.000161
sh.600039,2026-05-18,93.6723,2026-05-27,101.2322,MA,8,0.080706,0.077018
sh.600048,2018-07-10,222.425,2018-07-20,204.631,STOP,9,-0.08,-0.08286
sh.600048,2022-11-03,327.1614,2022-11-14,396.025,MA,8,0.210488,0.20712
sh.600051,2018-05-08,25.3522,2018-06-01,23.324,STOP,19,-0.08,-0.083695
sh.600051,2018-06-28,20.1703,2018-07-17,20.4791,MA,14,0.015313,0.01155
sh.600051,2021-05-07,23.7262,2021-05-27,24.3589,MA,15,0.026667,0.023073
sh.600051,2022-05-10,22.8957,2022-05-24,25.3191,MA,11,0.105845,0.102095
sh.600051,2024-02-07,18.8149,2024-02-28,22.66,MA,10,0.204365,0.200496
sh.600052,2019-05-08,10.258,2019-06-13,10.1918,MA,26,-0.006452,-0.010025
sh.600052,2020-05-20,11.3169,2020-05-22,10.4115,STOP,3,-0.08,-0.083485
sh.600052,2020-05-26,10.8071,2020-06-03,11.4528,MA,7,0.059748,0.056131
sh.600052,2022-04-28,11.0743,2022-05-16,13.1638,MA,10,0.188679,0.184893
sh.600052,2024-02-07,10.5171,2024-02-08,9.6465,STOP,2,-0.082781,-0.086214
sh.600052,2024-02-20,10.9699,2024-02-27,13.0594,MA,6,0.190476,0.186678
sh.600052,2025-01-08,14.77,2025-02-05,15.5103,MA,15,0.050119,0.046416
sh.600053,2018-06-21,37.6897,2018-07-11,34.6745,STOP,15,-0.08,-0.083707
sh.600053,2018-08-21,30.8828,2018-09-10,30.5763,MA,15,-0.009922,-0.013487
sh.600053,2018-12-11,41.5418,2018-12-19,44.9343,MA,7,0.081665,0.077839
sh.600053,2020-02-06,54.4982,2020-02-17,64.2243,MA,8,0.178468,0.173865
sh.600053,2021-10-14,32.1347,2021-11-05,32.6086,MA,17,0.014747,0.011188
sh.600053,2022-04-25,30.2392,2022-05-09,32.4732,MA,8,0.073881,0.070167
sh.600053,2024-02-28,37.8765,2024-03-01,43.6334,MA,3,0.15199,0.147942
sh.600053,2026-03-05,39.7955,2026-03-20,36.6118,STOP,12,-0.08,-0.083636
sh.600055,2018-08-22,86.7417,2018-09-27,85.4876,TIME,26,-0.014458,-0.018089
sh.600055,2018-10-22,65.8401,2018-11-01,79.7396,MA,9,0.211111,0.206776
sh.600055,2021-08-11,233.3547,2021-08-17,249.1392,MA,5,0.067642,0.064523
sh.600055,2022-03-17,290.7335,2022-03-24,316.7566,MA,6,0.089508,0.086352
sh.600055,2022-04-28,203.5988,2022-05-23,224.1826,MA,15,0.1011,0.097923
sh.600055,2024-02-02,145.0498,2024-02-05,133.4458,STOP,2,-0.08,-0.083069
sh.600056,2023-01-10,170.4883,2023-01-19,156.8492,STOP,8,-0.08,-0.082967
sh.600057,2024-07-31,46.1459,2024-09-02,47.5193,MA,24,0.029762,0.026134
sh.600058,2021-10-22,34.1077,2021-10-28,31.3791,STOP,5,-0.08,-0.083846
sh.600058,2022-07-04,37.3682,2022-07-19,37.295,MA,12,-0.001961,-0.005796
sh.600058,2026-07-23,30.2708,2026-07-30,35.267,MA,6,0.165049,0.1612
sh.600060,2017-05-15,61.1982,2017-06-06,61.989,MA,15,0.012922,0.008768
sh.600060,2020-03-26,47.2979,2020-03-30,43.5141,STOP,3,-0.08,-0.083437
sh.600060,2020-04-03,45.1607,2020-04-22,44.7426,MA,13,-0.009259,-0.012853
sh.600061,2018-06-21,39.1813,2018-07-23,38.2589,MA,23,-0.023542,-0.027283
sh.600061,2019-05-09,50.7853,2019-05-29,53.0783,MA,15,0.045151,0.040614
sh.600062,2018-12-26,70.3341,2019-01-21,68.7926,MA,17,-0.021916,-0.025804
sh.600062,2022-08-09,129.6524,2022-08-22,119.2802,STOP,10,-0.08,-0.083151
sh.600062,2022-12-30,116.7783,2023-02-03,119.8967,MA,20,0.026703,0.023307
sh.600063,2021-10-15,62.844,2021-10-26,79.1522,MA,8,0.259504,0.255024
sh.600063,2021-11-18,64.7137,2021-11-25,69.0764,MA,6,0.067416,0.063269
sh.600063,2022-09-07,89.3402,2022-09-15,82.193,STOP,6,-0.08,-0.083499
sh.600063,2026-07-24,62.334,2026-08-04,65.8474,MA,8,0.056364,0.052175
sh.600066,2018-07-05,613.0041,2018-07-26,633.2514,MA,16,0.03303,0.029972
sh.600066,2018-11-01,383.9826,2018-11-13,416.3105,MA,9,0.084191,0.081043
sh.600067,2022-04-20,71.6385,2022-04-22,65.9074,STOP,3,-0.08,-0.083776
sh.600067,2022-04-27,62.2231,2022-05-16,72.2525,MA,11,0.161184,0.156835
sh.600067,2024-02-07,34.3865,2024-03-11,39.2988,MA,18,0.142857,0.138689
sh.600067,2024-06-11,37.866,2024-06-24,34.8368,STOP,10,-0.08,-0.0837
sh.600067,2025-01-08,51.375,2025-02-10,51.9891,MA,18,0.011952,0.007488
sh.600067,2025-04-09,42.5737,2025-04-22,47.6907,MA,10,0.120192,0.116338
sh.600067,2026-05-19,72.3076,2026-05-27,66.523,STOP,7,-0.08,-0.083763
sh.600071,2017-01-04,106.1052,2017-01-16,97.6168,STOP,9,-0.08,-0.083322
sh.600071,2017-01-18,94.3012,2017-02-13,98.7332,MA,14,0.046999,0.043368
sh.600071,2018-06-21,51.3412,2018-06-26,47.2339,STOP,4,-0.08,-0.084328
sh.600071,2018-06-28,49.937,2018-07-24,50.7708,MA,19,0.016696,0.01317
sh.600071,2018-10-22,34.7541,2018-10-23,31.9738,STOP,2,-0.08,-0.083819
sh.600071,2018-10-26,30.9803,2018-11-05,34.5347,MA,7,0.114731,0.110983
sh.600071,2019-05-13,44.7152,2019-05-24,41.1379,STOP,10,-0.08,-0.083498
sh.600071,2020-02-05,40.3709,2020-02-20,46.7337,MA,12,0.157609,0.153634
sh.600071,2022-04-28,114.0917,2022-05-12,133.4434,MA,8,0.169615,0.165984
sh.600071,2024-01-25,75.0372,2024-01-30,86.0076,MA,4,0.146199,0.142147
sh.600072,2017-05-10,54.9857,2017-05-23,50.5869,STOP,10,-0.08,-0.084199
sh.600072,2018-02-23,34.3979,2018-03-01,39.4574,MA,5,0.147086,0.142912
sh.600072,2019-05-06,41.3666,2019-05-30,42.3212,MA,19,0.023077,0.019334
sh.600072,2020-02-07,37.4132,2020-02-19,40.9825,MA,9,0.0954,0.091421
sh.600072,2021-02-03,36.9787,2021-02-04,34.0204,STOP,2,-0.08,-0.083732
sh.600072,2024-01-24,49.3439,2024-01-26,55.5887,MA,3,0.126557,0.122854
sh.600072,2026-06-15,31.8009,2026-06-24,29.2568,STOP,7,-0.08,-0.083428
sh.600073,2020-09-24,24.8371,2020-10-26,22.8501,STOP,17,-0.08,-0.083387
