code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret
sh.600026,2022-12-12,18.7536,2022-12-22,17.2533,STOP,9,-0.08,-0.083446
sh.600026,2026-06-15,28.2903,2026-06-16,26.0271,STOP,2,-0.08,-0.083558
sh.600026,2026-07-15,22.4559,2026-07-24,24.3087,MA,8,0.082508,0.078771
sh.600027,2021-11-18,5.2603,2021-11-30,5.4839,MA,9,0.042493,0.038929
sh.600027,2022-11-04,8.086,2022-11-17,8.7638,MA,10,0.083821,0.080164
sh.600028,2026-03-26,20.9369,2026-04-23,19.2619,STOP,20,-0.08,-0.083574
sh.600029,2018-07-02,14.0682,2018-07-03,12.9427,STOP,2,-0.08,-0.083395
sh.600029,2018-07-06,12.8652,2018-07-19,11.836,STOP,10,-0.08,-0.08349
sh.600029,2026-03-13,10.6889,2026-03-20,9.8338,STOP,6,-0.08,-0.083419
sh.600030,2018-02-22,70.1303,2018-03-12,74.2625,MA,13,0.058922,0.054907
sh.600032,2021-07-30,9.16,2021-08-12,11.15,MA,10,0.217249,0.213331
sh.600032,2026-04-17,10.0313,2026-04-22,11.3343,MA,4,0.129897,0.126094
sh.600032,2026-06-30,7.1805,2026-07-09,6.6061,STOP,8,-0.08,-0.083451
sh.600036,2022-05-12,164.6194,2022-05-23,178.8,MA,8,0.086141,0.082905
sh.600037,2023-05-31,35.7553,2023-06-08,38.3153,MA,7,0.071599,0.067593
sh.600038,2022-01-27,144.9738,2022-02-24,145.4604,MA,16,0.003356,0.000161
sh.600039,2026-05-18,93.6723,2026-05-27,101.2322,MA,8,0.080706,0.077018
sh.600048,2018-07-10,222.425,2018-07-20,204.631,STOP,9,-0.08,-0.08286
sh.600048,2022-11-03,327.1614,2022-11-14,396.025,MA,8,0.210488,0.20712
sh.600051,2018-05-08,25.3522,2018-06-01,23.324,STOP,19,-0.08,-0.083695
sh.600051,2018-06-28,20.1703,2018-07-17,20.4791,MA,14,0.015313,0.01155
sh.600051,2021-05-07,23.7262,2021-05-27,24.3589,MA,15,0.026667,0.023073
sh.600051,2022-05-10,22.8957,2022-05-24,25.3191,MA,11,0.105845,0.102095
sh.600051,2024-02-07,18.8149,2024-02-28,22.66,MA,10,0.204365,0.200496
sh.600052,2019-05-08,10.258,2019-06-13,10.1918,MA,26,-0.006452,-0.010025
sh.600052,2020-05-20,11.3169,2020-05-22,10.4115,STOP,3,-0.08,-0.083485
sh.600052,2020-05-26,10.8071,2020-06-03,11.4528,MA,7,0.059748,0.056131
sh.600052,2022-04-28,11.0743,2022-05-16,13.1638,MA,10,0.188679,0.184893
sh.600052,2024-02-07,10.5171,2024-02-08,9.6465,STOP,2,-0.082781,-0.086214
sh.600052,2024-02-20,10.9699,2024-02-27,13.0594,MA,6,0.190476,0.186678
sh.600052,2025-01-08,14.77,2025-02-05,15.5103,MA,15,0.050119,0.046416
sh.600053,2018-06-21,37.6897,2018-07-11,34.6745,STOP,15,-0.08,-0.083707
sh.600053,2018-08-21,30.8828,2018-09-10,30.5763,MA,15,-0.009922,-0.013487
sh.600053,2018-12-11,41.5418,2018-12-19,44.9343,MA,7,0.081665,0.077839
sh.600053,2020-02-06,54.4982,2020-02-17,64.2243,MA,8,0.178468,0.173865
sh.600053,2021-10-14,32.1347,2021-11-05,32.6086,MA,17,0.014747,0.011188
sh.600053,2022-04-25,30.2392,2022-05-09,32.4732,MA,8,0.073881,0.070167
sh.600053,2024-02-28,37.8765,2024-03-01,43.6334,MA,3,0.15199,0.147942
sh.600053,2026-03-05,39.7955,2026-03-20,36.6118,STOP,12,-0.08,-0.083636
sh.600055,2018-08-22,86.7417,2018-09-27,85.4876,TIME,26,-0.014458,-0.018089
sh.600055,2018-10-22,65.8401,2018-11-01,79.7396,MA,9,0.211111,0.206776
sh.600055,2021-08-11,233.3547,2021-08-17,249.1392,MA,5,0.067642,0.064523
sh.600055,2022-03-17,290.7335,2022-03-24,316.7566,MA,6,0.089508,0.086352
sh.600055,2022-04-28,203.5988,2022-05-23,224.1826,MA,15,0.1011,0.097923
sh.600055,2024-02-02,145.0498,2024-02-05,133.4458,STOP,2,-0.08,-0.083069
sh.600056,2023-01-10,170.4883,2023-01-19,156.8492,STOP,8,-0.08,-0.082967
sh.600057,2024-07-31,46.1459,2024-09-02,47.5193,MA,24,0.029762,0.026134
sh.600058,2021-10-22,34.1077,2021-10-28,31.3791,STOP,5,-0.08,-0.083846
sh.600058,2022-07-04,37.3682,2022-07-19,37.295,MA,12,-0.001961,-0.005796
sh.600058,2026-07-23,30.2708,2026-07-30,35.267,MA,6,0.165049,0.1612
sh.600060,2017-05-15,61.1982,2017-06-06,61.989,MA,15,0.012922,0.008768
sh.600060,2020-03-26,47.2979,2020-03-30,43.5141,STOP,3,-0.08,-0.083437
sh.600060,2020-04-03,45.1607,2020-04-22,44.7426,MA,13,-0.009259,-0.012853
sh.600061,2018-06-21,39.1813,2018-07-23,38.2589,MA,23,-0.023542,-0.027283
sh.600061,2019-05-09,50.7853,2019-05-29,53.0783,MA,15,0.045151,0.040614
sh.600062,2018-12-26,70.3341,2019-01-21,68.7926,MA,17,-0.021916,-0.025804
sh.600062,2022-08-09,129.6524,2022-08-22,119.2802,STOP,10,-0.08,-0.083151
sh.600062,2022-12-30,116.7783,2023-02-03,119.8967,MA,20,0.026703,0.023307
sh.600063,2021-10-15,62.844,2021-10-26,79.1522,MA,8,0.259504,0.255024
sh.600063,2021-11-18,64.7137,2021-11-25,69.0764,MA,6,0.067416,0.063269
sh.600063,2022-09-07,89.3402,2022-09-15,82.193,STOP,6,-0.08,-0.083499
sh.600063,2026-07-24,62.334,2026-08-04,65.8474,MA,8,0.056364,0.052175
sh.600111,2020-02-05,133.2249,2020-02-19,151.6623,MA,11,0.138393,0.134935
sh.600111,2026-03-24,703.5186,2026-04-08,777.0822,MA,11,0.104565,0.101382
sh.600111,2026-07-15,619.5826,2026-07-20,570.016,STOP,4,-0.08,-0.08286
sh.600113,2016-12-02,55.816,2016-12-08,62.752,MA,5,0.124267,0.119789
sh.600113,2017-04-21,44.8016,2017-04-24,41.2175,STOP,2,-0.08,-0.083496
sh.600113,2018-02-09,23.6807,2018-03-06,27.1658,MA,13,0.14717,0.143393
sh.600113,2018-04-20,30.9078,2018-05-11,32.2294,MA,14,0.04276,0.039117
sh.600113,2018-10-18,18.4726,2018-10-19,16.9948,STOP,2,-0.08,-0.083463
sh.600113,2018-10-23,19.1934,2018-11-01,19.8242,MA,8,0.032864,0.029273
sh.600113,2022-04-28,23.4047,2022-05-17,25.3721,MA,11,0.084058,0.080364
sh.600113,2024-02-07,20.1239,2024-02-08,18.0973,STOP,2,-0.100707,-0.104298
sh.600113,2024-02-20,21.3683,2024-02-27,23.6793,MA,6,0.108153,0.104321
sh.600113,2026-05-28,137.7321,2026-06-10,126.7135,STOP,10,-0.08,-0.083106
sh.600113,2026-06-24,112.4291,2026-06-25,103.4348,STOP,2,-0.08,-0.083269
sh.600114,2019-05-16,31.181,2019-05-28,32.0626,MA,9,0.028274,0.024662
sh.600114,2022-03-29,42.1166,2022-04-11,38.7473,STOP,8,-0.08,-0.083567
sh.600114,2022-04-28,31.1653,2022-05-19,33.4681,MA,13,0.073892,0.070211
sh.600114,2024-01-24,62.503,2024-01-29,57.5028,STOP,4,-0.08,-0.08398
sh.600114,2025-03-27,104.1292,2025-04-08,95.7989,STOP,8,-0.08,-0.08334
sh.600114,2025-04-10,98.0383,2025-04-24,101.7988,MA,11,0.038358,0.03478
sh.600114,2026-07-10,185.8599,2026-07-13,170.9911,STOP,2,-0.08,-0.082918
sh.600114,2026-07-15,173.2886,2026-07-16,159.4255,STOP,2,-0.08,-0.082957
sh.600115,2018-07-05,6.3268,2018-07-19,5.8206,STOP,11,-0.08,-0.083434
sh.600115,2019-05-15,6.3385,2019-06-04,6.3073,MA,15,-0.004918,-0.008462
sh.600115,2026-03-13,4.8963,2026-03-23,4.455,STOP,7,-0.090129,-0.093515
sh.600115,2026-03-25,4.5496,2026-04-09,4.7597,MA,11,0.046189,0.042573
sh.600117,2017-08-25,14.5734,2017-08-31,15.5464,MA,5,0.066763,0.06302
sh.600117,2021-01-13,7.0646,2021-02-03,6.4995,STOP,16,-0.08,-0.083391
sh.600117,2025-01-07,4.5899,2025-02-10,4.738,MA,19,0.032258,0.028672
sh.600117,2025-08-26,7.5511,2025-09-04,6.947,STOP,8,-0.08,-0.083399
sh.600118,2018-02-13,290.8567,2018-03-02,314.9318,MA,9,0.082773,0.079628
sh.600118,2020-04-02,447.3302,2020-04-08,484.7344,MA,4,0.083617,0.08047
sh.600118,2020-09-10,554.1948,2020-09-11,509.8592,STOP,2,-0.08,-0.08286
sh.600118,2026-02-04,1449.1057,2026-02-13,1333.1773,STOP,8,-0.08,-0.08286
sh.600118,2026-05-29,1262.8009,2026-06-02,1161.7769,STOP,3,-0.08,-0.08286
sh.600118,2026-06-04,1233.8065,2026-06-22,1135.102,STOP,12,-0.08,-0.08286
sh.600118,2026-08-05,954.5056,2026-08-07,1015.7433,MA,3,0.064156,0.061044
sh.600119,2017-04-27,37.3139,2017-05-05,34.3288,STOP,6,-0.08,-0.08372
sh.600119,2017-05-09,33.0958,2017-05-11,30.4481,STOP,3,-0.08,-0.083387
sh.600119,2017-05-25,28.6614,2017-06-07,31.3653,MA,8,0.09434,0.090535
sh.600119,2017-11-22,31.1407,2017-12-14,30.8568,MA,17,-0.009116,-0.012673
sh.600119,2018-02-09,20.7678,2018-03-02,24.3273,MA,11,0.171399,0.167438
sh.600119,2018-06-21,18.2127,2018-06-22,16.3565,STOP,2,-0.101918,-0.105364
sh.600119,2018-06-26,17.1427,2018-07-17,17.6886,MA,16,0.031847,0.028133
sh.600119,2018-10-22,14.2383,2018-11-02,17.2519,MA,10,0.211656,0.207836
sh.600119,2018-12-12,17.3174,2019-01-03,15.932,STOP,15,-0.08,-0.083535
sh.600119,2019-02-12,11.989,2019-02-26,15.8761,MA,11,0.324226,0.320197
sh.600119,2022-05-05,13.7142,2022-05-20,14.7187,MA,12,0.073248,0.069597
sh.600119,2025-01-10,17.5576,2025-01-27,18.0817,MA,12,0.029851,0.026167
sh.600120,2018-02-12,265.4346,2018-03-06,301.7787,MA,12,0.136923,0.133683
sh.600120,2022-04-28,210.9029,2022-05-20,224.7227,MA,14,0.065527,0.062412
sh.600120,2025-03-06,446.9522,2025-03-24,447.5861,MA,13,0.001418,-0.001584
sh.600120,2025-04-09,339.1765,2025-04-30,372.1431,MA,16,0.097196,0.094026
sh.600121,2018-05-02,12.6489,2018-05-23,12.443,MA,16,-0.016279,-0.019884
sh.600121,2020-02-06,7.168,2020-02-21,7.7773,MA,12,0.085,0.081299
sh.600121,2021-11-02,17.7767,2021-11-24,17.5258,MA,17,-0.014113,-0.017717
sh.600121,2022-07-12,19.6046,2022-08-03,18.0362,STOP,17,-0.08,-0.0834
sh.600121,2025-11-28,15.8414,2026-01-07,15.6263,MA,27,-0.013575,-0.017106
sh.600121,2026-04-17,14.9095,2026-04-30,15.4113,MA,10,0.033654,0.029986
sh.600121,2026-06-30,12.9025,2026-07-21,14.0852,MA,16,0.091667,0.087922
sh.600123,2021-11-18,56.2447,2021-12-02,58.9112,MA,11,0.047409,0.04306
sh.600123,2026-07-02,55.5248,2026-07-15,60.6455,MA,10,0.092224,0.087785
sh.600125,2017-05-10,104.4892,2017-05-18,109.6507,MA,7,0.049398,0.045866
sh.600125,2019-05-09,91.6541,2019-06-06,84.3218,STOP,21,-0.08,-0.083471
sh.600126,2020-07-21,31.8269,2020-08-06,32.7174,MA,13,0.027981,0.024391
sh.600126,2026-06-10,30.5923,2026-06-24,28.145,STOP,10,-0.08,-0.08347
sh.600128,2018-06-21,14.1727,2018-07-10,14.8109,MA,14,0.045031,0.041456
sh.600128,2018-10-22,11.1357,2018-11-01,12.104,MA,9,0.086957,0.083204
sh.600128,2018-12-11,18.8602,2018-12-27,19.5424,MA,13,0.036173,0.032558
sh.600128,2019-01-31,14.8989,2019-02-19,16.3294,MA,9,0.096012,0.092249
sh.600128,2019-05-15,16.8135,2019-05-24,17.4737,MA,8,0.039267,0.035519
sh.600128,2022-04-28,15.0881,2022-05-17,16.7471,MA,11,0.109955,0.106186
sh.600128,2024-02-20,14.8566,2024-02-28,17.8325,MA,7,0.200311,0.196388
sh.600128,2025-02-18,22.4403,2025-02-24,22.6279,MA,5,0.008359,0.004733
sh.600129,2018-07-10,28.3265,2018-07-17,32.4384,MA,6,0.145161,0.141267
sh.600129,2021-09-01,34.2374,2021-10-08,34.3066,MA,21,0.00202,-0.001943
sh.600129,2022-05-05,36.8888,2022-05-11,43.229,MA,5,0.171875,0.167762
sh.600129,2024-01-24,85.7664,2024-01-25,78.9051,STOP,2,-0.08,-0.083546
sh.600129,2024-01-29,82.9537,2024-02-01,76.3174,STOP,4,-0.08,-0.083585
sh.600129,2024-02-06,72.8553,2024-02-08,85.7895,MA,3,0.177532,0.173393
sh.600129,2024-07-02,68.9545,2024-07-09,63.4381,STOP,6,-0.08,-0.08383
sh.600004,2018-07-02,27.5666,2018-07-13,30.781,MA,10,0.116604,0.11272
sh.600004,2019-11-04,39.064,2019-11-22,35.9389,STOP,15,-0.08,-0.08366
sh.600006,2019-05-09,14.0067,2019-05-23,12.8862,STOP,11,-0.08,-0.0834
sh.600006,2020-02-05,10.0342,2020-02-21,11.3631,MA,13,0.132432,0.128626
sh.600006,2022-04-28,12.1206,2022-05-13,13.486,MA,9,0.112644,0.108943
sh.600006,2024-04-15,20.3647,2024-04-30,21.8355,MA,12,0.072222,0.068386
sh.600007,2021-10-08,21.7557,2021-10-22,20.0152,STOP,11,-0.08,-0.083529
sh.600007,2022-04-27,19.2273,2022-05-10,22.3731,MA,7,0.163609,0.159823
sh.600009,2021-02-04,147.7885,2021-03-08,157.2764,MA,18,0.064199,0.060926
