date,nav,n_open
2016-08-29,1000000.0,0.0
2016-08-30,1000000.0,0.0
2016-08-31,1000000.0,0.0
2016-09-01,1000000.0,0.0
2016-09-02,1000000.0,0.0
2016-09-05,1000000.0,0.0
2016-09-06,1000000.0,0.0
2016-09-07,1000000.0,0.0
2016-09-08,1000000.0,0.0
2016-09-09,1000000.0,0.0
2016-09-12,1000000.0,0.0
2016-09-13,1000000.0,0.0
2016-09-14,1000000.0,0.0
2016-09-19,1000000.0,0.0
2016-09-20,1000000.0,0.0
2016-09-21,1000000.0,0.0
2016-09-22,999520.7,2.0
2016-09-23,997909.68024,3.0
2016-09-26,995899.166005,1.0
2016-09-27,996411.816829,2.0
2016-09-28,993831.150368,15.0
2016-09-29,997352.985769,15.0
2016-09-30,995540.1811390001,17.0
2016-10-10,1008855.387352,18.0
2016-10-11,1010252.7347450001,18.0
2016-10-12,1013426.5906890002,19.0
2016-10-13,1013914.1370710002,20.0
2016-10-14,1014849.0700050001,18.0
2016-10-17,1012949.0135685,16.0
2016-10-18,1018235.4391395,15.0
2016-10-19,1022895.1662425001,16.0
2016-10-20,1024372.2372355,11.0
2016-10-21,1023261.2498875001,10.0
2016-10-24,1026068.0119455,8.0
2016-10-25,1029462.8187775,6.0
2016-10-26,1029546.7132114999,4.0
2016-10-27,1028990.9074254999,3.0
2016-10-28,1030208.6472014999,3.0
2016-10-31,1029929.7829734999,1.0
2016-11-01,1030039.1699394998,1.0
2016-11-02,1029838.6680834999,2.0
2016-11-03,1029465.5464994998,3.0
2016-11-04,1029050.9560514999,3.0
2016-11-07,1029193.7148914998,3.0
2016-11-08,1028721.6382034998,3.0
2016-11-09,1028361.1236254999,3.0
2016-11-10,1028701.3743074998,3.0
2016-11-11,1029381.1582994999,3.0
2016-11-14,1028808.8744254999,1.0
2016-11-15,1028321.1882694999,1.0
2016-11-16,1028153.0206294999,1.0
2016-11-17,1028001.6697534999,1.0
2016-11-18,1027945.5859335,2.0
2016-11-21,1028622.4026975,2.0
2016-11-22,1029258.2720895,2.0
2016-11-23,1028569.7445675,1.0
2016-11-24,1028047.7445675,1.0
2016-11-25,1028542.6332955,2.0
2016-11-28,1027624.8818595,5.0
2016-11-29,1026353.3576224999,5.0
2016-11-30,1025979.0740744999,5.0
2016-12-01,1027297.7396654999,8.0
2016-12-02,1023725.4698884999,13.0
2016-12-05,1024058.9876425001,10.0
2016-12-06,1031206.4215165,18.0
2016-12-07,1034000.2384285,19.0
2016-12-08,1031155.4742334997,19.0
2016-12-09,1028472.7177644998,19.0
2016-12-12,1009554.0166114998,11.0
2016-12-13,1005278.2712774999,2.0
2016-12-14,994008.1009785001,60.0
2016-12-15,1012302.2494995,60.0
2016-12-16,1030599.0660584999,60.0
2016-12-19,1019467.2367964999,60.0
2016-12-20,1024579.0465969999,60.0
2016-12-21,1042625.0888589998,60.0
2016-12-22,1048866.4205199997,60.0
2016-12-23,1016602.9840420001,57.0
2016-12-26,1022116.6793569999,51.0
2016-12-27,1021174.6090739997,59.0
2016-12-28,1013197.582625,59.0
2016-12-29,1007773.3432889999,60.0
2016-12-30,1002543.6823219999,59.0
2017-01-03,1019015.7571639997,59.0
2017-01-04,1033465.659883,56.0
2017-01-05,1025291.761769,44.0
2017-01-06,1001871.5573289999,28.0
2017-01-09,1000614.7321509998,22.0
2017-01-10,1001517.1980369997,25.0
2017-01-11,991844.6822869997,19.0
2017-01-12,982006.2273789997,16.0
2017-01-13,973999.4841579996,17.0
2017-01-16,964291.4544959997,6.0
2017-01-17,963454.0128469997,4.0
2017-01-18,948501.4371329994,54.0
2017-01-19,949290.6666049993,53.0
2017-01-20,975036.4961699996,53.0
2017-01-23,989169.4172639995,53.0
2017-01-24,980809.7466329995,53.0
2017-01-25,995047.2322174998,52.0
2017-01-26,998162.3810354997,54.0
2017-02-03,997626.2445004993,55.0
2017-02-06,1026806.1367274994,55.0
2017-02-07,1026381.3682384993,52.0
2017-02-08,1038420.4581034995,49.0
2017-02-09,1047670.5599589996,37.0
2017-02-10,1043309.3126619996,18.0
2017-02-13,1046510.0217094996,15.0
2017-02-14,1045470.8881794995,13.0
2017-02-15,1043027.7368964995,11.0
2017-02-16,1042684.5079484995,10.0
2017-02-17,1040545.6586164994,7.0
2017-02-20,1039994.0478544994,7.0
2017-02-21,1041661.9944104993,8.0
2017-02-22,1042146.6948534993,11.0
2017-02-23,1043224.7701604994,10.0
2017-02-24,1044996.4519634993,8.0
2017-02-27,1044973.4259004993,6.0
2017-02-28,1045445.7209924994,6.0
2017-03-01,1044900.8081444994,6.0
2017-03-02,1042778.6777194995,8.0
2017-03-03,1041681.6210094994,7.0
2017-03-06,1042769.5671984993,8.0
2017-03-07,1044197.8085184994,9.0
2017-03-08,1044884.5180014994,8.0
2017-03-09,1042366.0598484994,8.0
2017-03-10,1042639.9929934994,8.0
2017-03-13,1041865.2531304993,6.0
2017-03-14,1042361.7907814994,6.0
2017-03-15,1039897.1917434994,8.0
2017-03-16,1041640.7658964993,9.0
2017-03-17,1047383.7685114993,10.0
2017-03-20,1047703.4974204992,9.0
2017-03-21,1050152.1440304993,9.0
2017-03-22,1050386.5882884993,8.0
2017-03-23,1049244.0393594992,9.0
2017-03-24,1048649.133176499,9.0
2017-03-27,1050713.8885714991,9.0
2017-03-28,1049549.0423584993,8.0
2017-03-29,1046603.1690614992,9.0
2017-03-30,1041273.673997499,7.0
2017-03-31,1040234.0810654991,4.0
2017-04-05,1043553.1251244991,12.0
2017-04-06,1046862.2666234992,17.0
2017-04-07,1046068.2880869993,18.0
2017-04-10,1037350.1722374992,11.0
2017-04-11,1033663.3804114991,6.0
2017-04-12,1015791.225669499,42.0
2017-04-13,1020059.5541504989,45.0
2017-04-14,1012182.7854614989,58.0
2017-04-17,952850.299838499,24.0
2017-04-18,946617.0939174991,36.0
2017-04-19,964594.7686744991,53.0
2017-04-20,957976.2885264991,53.0
2017-04-21,945576.5434904993,53.0
2017-04-24,912786.2334304987,52.0
2017-04-25,917218.5739154991,52.0
2017-04-26,926146.018284499,52.0
2017-04-27,943648.8511194992,51.0
2017-04-28,947229.3255694987,51.0
2017-05-02,943133.8369954992,52.0
2017-05-03,944355.8605264991,51.0
2017-05-04,936359.0549914992,52.0
2017-05-05,919716.7107564991,51.0
2017-05-08,885873.178458499,41.0
2017-05-09,893563.7809924989,40.0
2017-05-10,875356.9217444992,50.0
2017-05-11,867103.567243499,35.0
2017-05-12,864055.332816499,47.0
2017-05-15,867367.0101034989,49.0
2017-05-16,887977.5652744991,49.0
2017-05-17,897256.4161914986,50.0
2017-05-18,886985.8204234991,49.0
2017-05-19,886780.9559314994,49.0
2017-05-22,863047.2974664993,43.0
2017-05-23,837768.3742284991,26.0
2017-05-24,836742.4254569991,17.0
2017-05-25,848087.4267669991,46.0
2017-05-26,854110.1892309992,46.0
2017-05-31,850127.2777924992,46.0
2017-06-01,817720.5321884992,42.0
2017-06-02,832637.443411499,36.0
2017-06-05,845432.0106284989,45.0
2017-06-06,847584.6443134991,45.0
2017-06-07,875369.6183004993,45.0
2017-06-08,873999.9748944992,44.0
2017-06-09,873728.7922589987,45.0
2017-06-12,837030.8146509989,45.0
2017-06-13,859483.133201999,45.0
2017-06-14,863843.5221229992,45.0
2017-06-15,887763.903111999,42.0
2017-06-16,886757.076740499,29.0
2017-06-19,889472.678097499,23.0
2017-06-20,892144.202436499,20.0
2017-06-21,893658.480495499,20.0
2017-06-22,881110.2095924991,21.0
2017-06-23,875333.9582594989,18.0
2017-06-26,879780.6193914991,18.0
2017-06-27,879084.641366499,18.0
2017-06-28,871981.119390499,19.0
2017-06-29,870898.2543624989,16.0
2017-06-30,871807.4804854989,21.0
2017-07-03,873624.837206499,23.0
2017-07-04,873810.9094834989,24.0
2017-07-05,881559.6087194989,24.0
2017-07-06,879502.099925499,22.0
2017-07-07,880457.3909214989,19.0
2017-07-10,869261.1973434989,14.0
2017-07-11,862368.979332499,10.0
2017-07-12,860178.539723499,6.0
2017-07-13,856590.8162714989,9.0
2017-07-14,854207.4544744989,10.0
2017-07-17,842105.7819104989,6.0
2017-07-18,840943.3654164987,3.0
2017-07-19,848832.0834794991,48.0
2017-07-20,850711.2186314992,48.0
2017-07-21,838908.548682499,48.0
2017-07-24,847948.9085294991,47.0
2017-07-25,848675.6287204988,47.0
2017-07-26,844642.1233614987,47.0
2017-07-27,867345.5497444994,47.0
2017-07-28,859146.4335354991,47.0
2017-07-31,857100.8232164992,47.0
2017-08-01,866211.839376499,47.0
2017-08-02,855501.2635804991,47.0
2017-08-03,867093.235947499,43.0
2017-08-04,859122.580650499,45.0
2017-08-07,864569.7167744993,44.0
2017-08-08,868696.5232044992,43.0
2017-08-09,870781.6701279989,38.0
2017-08-10,860969.7788339992,32.0
2017-08-11,855267.437314999,27.0
2017-08-14,868318.6504869992,29.0
2017-08-15,875782.244677999,24.0
2017-08-16,884210.1387589991,18.0
2017-08-17,883452.5313109988,10.0
2017-08-18,881769.7720729989,9.0
2017-08-21,883024.6277309989,9.0
2017-08-22,881496.3001129988,8.0
2017-08-23,880484.8279949989,8.0
2017-08-24,879749.5431819989,8.0
2017-08-25,881469.4880959988,9.0
2017-08-28,883630.3573119988,11.0
2017-08-29,884121.7206019987,9.0
2017-08-30,886961.4724429988,8.0
2017-08-31,887905.2375049988,8.0
2017-09-01,888657.9052309988,7.0
2017-09-04,891283.9218949988,6.0
2017-09-05,889770.3139739987,3.0
2017-09-06,889260.4840859987,4.0
2017-09-07,888640.8728909987,4.0
2017-09-08,889728.5917339987,4.0
2017-09-11,890242.9214259987,3.0
2017-09-12,890359.4267259988,3.0
2017-09-13,890454.9328299988,3.0
2017-09-14,891177.0711859987,4.0
2017-09-15,890497.4148279987,3.0
2017-09-18,891387.8555039987,3.0
2017-09-19,891083.2150159987,2.0
2017-09-20,891003.3816519987,2.0
2017-09-21,890692.7340419987,3.0
2017-09-22,891064.1874319987,3.0
2017-09-25,889872.0657299988,4.0
2017-09-26,881945.0759439988,4.0
2017-09-27,880285.4195319988,5.0
2017-09-28,878019.1863359988,4.0
2017-09-29,877703.4583079988,3.0
2017-10-09,880353.1593929989,7.0
2017-10-10,883667.2033339989,9.0
2017-10-11,882245.2216159989,10.0
2017-10-12,881547.3060419989,9.0
2017-10-13,882412.776387499,11.0
2017-10-16,878786.3496604989,14.0
2017-10-17,877520.326506499,13.0
2017-10-18,873628.465113499,17.0
2017-10-19,870473.8214964989,16.0
2017-10-20,877800.980566499,22.0
2017-10-23,880662.199413499,34.0
2017-10-24,878315.964499499,37.0
2017-10-25,885911.594828499,35.0
2017-10-26,892549.9027934992,36.0
2017-10-27,882588.232261499,32.0
2017-10-30,855532.7928424991,16.0
2017-10-31,860088.4238184991,18.0
2017-11-01,867052.2273484991,48.0
2017-11-02,860325.002862499,46.0
2017-11-03,853159.8515789991,40.0
2017-11-06,867813.7195889993,46.0
2017-11-07,870179.2143044991,46.0
2017-11-08,879440.881528499,44.0
2017-11-09,885851.8239624989,45.0
2017-11-10,889353.015309499,46.0
2017-11-13,886094.0897834991,39.0
2017-11-14,873617.3705354992,33.0
2017-11-15,870252.7320904991,32.0
2017-11-16,862307.9137324991,27.0
2017-11-17,841415.359831499,7.0
2017-11-20,839468.230902499,4.0
2017-11-21,840573.2278214993,22.0
2017-11-22,838119.6939674991,31.0
2017-11-23,818342.7292854991,39.0
2017-11-24,819136.0411204991,35.0
2017-11-27,816610.8430394991,46.0
2017-11-28,832878.059290499,46.0
2017-11-29,834919.0299234992,46.0
2017-11-30,830644.9721409992,46.0
2017-12-01,837074.7323819991,46.0
