code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,density
sh.600051,2024-02-07,18.8149,2024-02-28,22.66,MA,10,0.204365,0.200496,986
sh.600052,2019-05-08,10.258,2019-06-13,10.1918,MA,26,-0.006452,-0.010025,200
sh.600052,2022-04-28,11.0743,2022-05-16,13.1638,MA,10,0.188679,0.184893,837
sh.600052,2024-02-07,10.5171,2024-02-08,9.6465,STOP,2,-0.082781,-0.086214,986
sh.600052,2024-02-20,10.9699,2024-02-27,13.0594,MA,6,0.190476,0.186678,226
sh.600052,2025-01-08,14.77,2025-02-05,15.5103,MA,15,0.050119,0.046416,298
sh.600053,2018-06-21,37.6897,2018-07-11,34.6745,STOP,15,-0.08,-0.083707,348
sh.600055,2018-10-22,65.8401,2018-11-01,79.7396,MA,9,0.211111,0.206776,282
sh.600055,2022-03-17,290.7335,2022-03-24,316.7566,MA,6,0.089508,0.086352,122
sh.600055,2022-04-28,203.5988,2022-05-23,224.1826,MA,15,0.1011,0.097923,837
sh.600055,2024-02-02,145.0498,2024-02-05,133.4458,STOP,2,-0.08,-0.083069,171
sh.600061,2018-06-21,39.1813,2018-07-23,38.2589,MA,23,-0.023542,-0.027283,348
sh.600061,2019-05-09,50.7853,2019-05-29,53.0783,MA,15,0.045151,0.040614,144
sh.600111,2020-02-05,133.2249,2020-02-19,151.6623,MA,11,0.138393,0.134935,525
sh.600113,2018-02-09,23.6807,2018-03-06,27.1658,MA,13,0.14717,0.143393,234
sh.600113,2022-04-28,23.4047,2022-05-17,25.3721,MA,11,0.084058,0.080364,837
sh.600113,2024-02-07,20.1239,2024-02-08,18.0973,STOP,2,-0.100707,-0.104298,986
sh.600113,2024-02-20,21.3683,2024-02-27,23.6793,MA,6,0.108153,0.104321,226
sh.600114,2022-04-28,31.1653,2022-05-19,33.4681,MA,13,0.073892,0.070211,837
sh.600114,2024-01-24,62.503,2024-01-29,57.5028,STOP,4,-0.08,-0.08398,148
sh.600114,2025-04-10,98.0383,2025-04-24,101.7988,MA,11,0.038358,0.03478,463
sh.600117,2025-01-07,4.5899,2025-02-10,4.738,MA,19,0.032258,0.028672,128
sh.600118,2018-02-13,290.8567,2018-03-02,314.9318,MA,9,0.082773,0.079628,103
sh.600119,2018-02-09,20.7678,2018-03-02,24.3273,MA,11,0.171399,0.167438,234
sh.600119,2018-06-21,18.2127,2018-06-22,16.3565,STOP,2,-0.101918,-0.105364,348
sh.600119,2018-10-22,14.2383,2018-11-02,17.2519,MA,10,0.211656,0.207836,282
sh.600120,2022-04-28,210.9029,2022-05-20,224.7227,MA,14,0.065527,0.062412,837
sh.600120,2025-04-09,339.1765,2025-04-30,372.1431,MA,16,0.097196,0.094026,136
sh.600125,2019-05-09,91.6541,2019-06-06,84.3218,STOP,21,-0.08,-0.083471,144
sh.600128,2018-06-21,14.1727,2018-07-10,14.8109,MA,14,0.045031,0.041456,348
sh.600128,2018-10-22,11.1357,2018-11-01,12.104,MA,9,0.086957,0.083204,282
sh.600128,2022-04-28,15.0881,2022-05-17,16.7471,MA,11,0.109955,0.106186,837
sh.600128,2024-02-20,14.8566,2024-02-28,17.8325,MA,7,0.200311,0.196388,226
sh.600129,2024-01-24,85.7664,2024-01-25,78.9051,STOP,2,-0.08,-0.083546,148
sh.600006,2019-05-09,14.0067,2019-05-23,12.8862,STOP,11,-0.08,-0.0834,144
sh.600006,2020-02-05,10.0342,2020-02-21,11.3631,MA,13,0.132432,0.128626,525
sh.600006,2022-04-28,12.1206,2022-05-13,13.486,MA,9,0.112644,0.108943,837
sh.600012,2018-06-21,10.1244,2018-06-27,9.3145,STOP,5,-0.08,-0.083477,348
sh.600018,2020-02-05,61.4829,2020-03-04,64.6184,MA,21,0.050998,0.046795,525
sh.600094,2022-04-28,6.2197,2022-05-19,6.7516,MA,13,0.085526,0.081893,837
sh.600095,2018-06-21,11.2126,2018-07-17,11.4347,MA,19,0.019802,0.016157,348
sh.600095,2020-02-05,22.4196,2020-02-18,26.0634,MA,10,0.162531,0.158672,525
sh.600095,2022-04-28,17.6413,2022-05-18,19.6575,MA,12,0.114286,0.110481,837
sh.600096,2018-06-21,9.646,2018-06-22,8.8743,STOP,2,-0.08,-0.083417,348
sh.600097,2018-06-25,11.1779,2018-07-06,10.2837,STOP,10,-0.08,-0.083498,110
sh.600097,2022-04-28,9.6699,2022-05-23,10.2262,MA,15,0.057522,0.053902,837
sh.600099,2018-02-09,14.6712,2018-03-06,16.9506,MA,13,0.155367,0.151498,234
sh.600099,2018-10-22,11.2521,2018-11-01,12.0602,MA,9,0.071823,0.068105,282
sh.600099,2019-05-09,14.6919,2019-05-30,16.101,MA,16,0.09591,0.092131,144
sh.600099,2022-04-28,14.3557,2022-05-19,15.5433,MA,13,0.082729,0.078944,837
sh.600100,2018-06-21,127.8396,2018-07-13,138.4562,MA,17,0.083046,0.079639,348
sh.600100,2022-04-28,64.5593,2022-05-24,68.4298,MA,16,0.059952,0.055813,837
sh.600100,2025-04-10,109.9211,2025-05-07,112.7078,MA,17,0.025352,0.021904,463
sh.600101,2020-02-05,33.4208,2020-02-18,37.8029,MA,10,0.131119,0.126926,525
sh.600101,2024-02-07,36.5654,2024-02-26,42.7906,MA,8,0.170248,0.166125,986
sh.600105,2018-02-09,30.9831,2018-03-06,34.7782,MA,13,0.12249,0.11873,234
sh.600105,2020-02-05,30.5214,2020-02-19,35.8775,MA,11,0.175487,0.171632,525
sh.600105,2022-04-28,26.2447,2022-05-23,28.3959,MA,15,0.081967,0.078074,837
sh.600105,2024-02-02,36.1403,2024-02-05,33.2491,STOP,2,-0.08,-0.083763,171
sh.600105,2024-02-07,32.5262,2024-02-22,38.2915,MA,6,0.177249,0.173458,986
sh.600106,2019-05-08,15.951,2019-06-12,16.5503,MA,25,0.037572,0.033971,200
sh.600106,2022-04-28,21.3172,2022-05-24,23.9819,MA,16,0.125,0.12114,837
sh.600106,2024-02-07,26.8492,2024-02-26,32.8022,MA,8,0.221719,0.217645,986
sh.600106,2025-01-08,32.3246,2025-01-21,33.9193,MA,10,0.049336,0.045731,298
sh.600107,2018-06-25,11.1321,2018-07-18,11.2986,MA,18,0.01495,0.011305,110
sh.600107,2018-10-22,8.081,2018-11-01,9.098,MA,9,0.125858,0.122138,282
sh.600107,2022-04-28,9.283,2022-05-23,10.0226,MA,15,0.079681,0.075985,837
sh.600107,2024-06-11,6.5831,2024-06-21,6.0565,STOP,9,-0.08,-0.083393,145
sh.600107,2025-01-08,8.007,2025-01-13,7.3664,STOP,4,-0.08,-0.083421,298
sh.600107,2025-04-10,8.2474,2025-04-22,7.0824,STOP,9,-0.141256,-0.144554,463
sh.600108,2022-04-28,23.1327,2022-05-17,25.703,MA,11,0.111111,0.107364,837
sh.600110,2018-06-25,59.4598,2018-07-11,61.9739,MA,13,0.042283,0.038038,110
sh.600110,2022-04-28,98.0585,2022-05-12,107.9102,MA,8,0.100467,0.096797,837
sh.600110,2024-02-07,46.7109,2024-02-26,53.484,MA,8,0.145,0.141212,986
sh.600110,2025-04-09,38.3029,2025-04-29,33.7486,STOP,15,-0.118902,-0.122529,136
sh.600067,2024-02-07,34.3865,2024-03-11,39.2988,MA,18,0.142857,0.138689,986
sh.600067,2024-06-11,37.866,2024-06-24,34.8368,STOP,10,-0.08,-0.0837,145
sh.600067,2025-01-08,51.375,2025-02-10,51.9891,MA,18,0.011952,0.007488,298
sh.600067,2025-04-09,42.5737,2025-04-22,47.6907,MA,10,0.120192,0.116338,136
sh.600071,2018-06-21,51.3412,2018-06-26,47.2339,STOP,4,-0.08,-0.084328,348
sh.600071,2018-10-22,34.7541,2018-10-23,31.9738,STOP,2,-0.08,-0.083819,282
sh.600071,2020-02-05,40.3709,2020-02-20,46.7337,MA,12,0.157609,0.153634,525
sh.600071,2022-04-28,114.0917,2022-05-12,133.4434,MA,8,0.169615,0.165984,837
sh.600072,2024-01-24,49.3439,2024-01-26,55.5887,MA,3,0.126557,0.122854,148
sh.600075,2019-05-09,46.4416,2019-06-06,42.7262,STOP,21,-0.08,-0.083457,144
sh.600075,2022-04-28,52.0726,2022-05-24,56.3439,MA,16,0.082024,0.077481,837
sh.600076,2018-06-25,11.6864,2018-07-18,11.7358,MA,18,0.004228,0.000652,110
sh.600076,2024-02-19,4.394,2024-02-28,5.6105,MA,8,0.276836,0.272886,103
sh.600076,2024-06-11,3.7982,2024-06-17,3.4944,STOP,5,-0.08,-0.083393,145
sh.600076,2025-01-08,4.8409,2025-02-07,4.8657,MA,17,0.005128,0.001588,298
sh.600078,2020-02-05,22.4988,2020-02-14,25.8402,MA,8,0.148515,0.144681,525
sh.600080,2017-12-07,32.9789,2018-01-05,34.1719,MA,21,0.036173,0.032608,156
sh.600080,2019-05-08,26.5598,2019-06-06,24.435,STOP,22,-0.08,-0.083635,200
sh.600080,2024-02-19,20.8127,2024-02-21,27.5788,MA,3,0.325095,0.320906,103
sh.600081,2024-02-07,56.0817,2024-02-26,67.2257,MA,8,0.19871,0.194129,986
sh.600082,2024-06-11,10.6759,2024-06-24,9.8218,STOP,10,-0.08,-0.083421,145
sh.600082,2025-01-08,12.9111,2025-01-16,13.8015,MA,7,0.068966,0.065256,298
sh.600084,2018-06-25,21.5592,2018-07-06,19.8344,STOP,10,-0.08,-0.08354,110
sh.600084,2018-10-22,15.7267,2018-11-02,18.3305,MA,10,0.165563,0.161755,282
sh.600084,2024-02-07,27.0791,2024-02-08,24.892,STOP,2,-0.080769,-0.084379,986
sh.600084,2025-01-08,26.0376,2025-02-07,26.4022,MA,17,0.014,0.010199,298
sh.600085,2022-04-28,322.8402,2022-05-09,373.6209,MA,5,0.157294,0.154018,837
sh.600155,2018-02-13,19.8229,2018-03-07,21.3361,MA,12,0.076336,0.072712,103
sh.600156,2018-02-09,5.4444,2018-03-05,6.0571,MA,12,0.112532,0.108843,234
sh.600156,2018-10-22,4.414,2018-10-29,5.6951,MA,6,0.290221,0.286256,282
sh.600158,2019-05-09,49.8561,2019-05-23,55.5596,MA,11,0.114399,0.110724,144
sh.600158,2022-04-28,35.8486,2022-05-23,38.2351,MA,15,0.066572,0.062578,837
sh.600158,2025-01-08,39.2992,2025-01-27,39.5034,MA,14,0.005195,0.001415,298
sh.600159,2024-06-11,10.1201,2024-06-24,9.3105,STOP,10,-0.08,-0.083478,145
sh.600159,2025-01-07,9.9898,2025-01-22,10.4676,MA,12,0.047826,0.044253,128
sh.600160,2019-05-09,55.6082,2019-05-30,56.2938,MA,16,0.012329,0.008012,144
sh.600162,2022-04-28,14.6828,2022-05-16,16.9933,MA,10,0.15736,0.153489,837
sh.600162,2024-02-07,11.7871,2024-02-28,13.5679,MA,10,0.151079,0.147292,986
sh.600162,2025-01-08,17.098,2025-01-13,15.7301,STOP,4,-0.08,-0.08355,298
sh.600163,2019-05-08,7.5653,2019-05-22,8.2369,MA,11,0.088785,0.085135,200
sh.600165,2022-04-28,31.9991,2022-05-23,36.0216,MA,15,0.125706,0.121976,837
sh.600169,2018-06-21,17.3904,2018-07-13,17.848,MA,17,0.026316,0.022626,348
sh.600169,2020-02-05,14.0343,2020-02-20,15.4073,MA,12,0.097826,0.094161,525
sh.600130,2019-05-08,15.3386,2019-05-21,17.305,MA,10,0.128205,0.124426,200
sh.600130,2022-04-28,13.7654,2022-05-20,15.0327,MA,14,0.092063,0.088388,837
