code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,density
sh.600004,2018-07-02,27.5666,2018-07-13,30.781,MA,10,0.116604,0.11272,74
sh.600004,2019-11-04,39.064,2019-11-22,35.9389,STOP,15,-0.08,-0.08366,21
sh.600006,2019-05-09,14.0067,2019-05-23,12.8862,STOP,11,-0.08,-0.0834,195
sh.600006,2020-02-05,10.0342,2020-02-21,11.3631,MA,13,0.132432,0.128626,673
sh.600006,2022-04-28,12.1206,2022-05-13,13.486,MA,9,0.112644,0.108943,1476
sh.600006,2024-04-15,20.3647,2024-04-30,21.8355,MA,12,0.072222,0.068386,23
sh.600007,2021-10-08,21.7557,2021-10-22,20.0152,STOP,11,-0.08,-0.083529,79
sh.600007,2022-04-27,19.2273,2022-05-10,22.3731,MA,7,0.163609,0.159823,107
sh.600011,2021-11-18,22.4483,2021-11-30,23.9064,MA,9,0.064957,0.061246,24
sh.600011,2026-06-24,31.6963,2026-06-29,29.1606,STOP,4,-0.08,-0.083432,43
sh.600012,2017-04-21,21.7003,2017-05-09,19.9642,STOP,12,-0.08,-0.083532,26
sh.600012,2018-06-21,10.1244,2018-06-27,9.3145,STOP,5,-0.08,-0.083477,488
sh.600012,2018-06-29,9.3209,2018-07-16,9.8834,MA,12,0.060345,0.056681,23
sh.600018,2020-02-05,61.4829,2020-03-04,64.6184,MA,21,0.050998,0.046795,673
sh.600019,2021-10-14,17.8227,2021-10-28,16.3969,STOP,11,-0.08,-0.083502,62
sh.600021,2025-12-08,35.5447,2025-12-29,39.355,MA,16,0.107197,0.103129,35
sh.600021,2026-06-23,29.9635,2026-06-26,27.5664,STOP,4,-0.08,-0.083492,32
sh.600026,2026-06-15,28.2903,2026-06-16,26.0271,STOP,2,-0.08,-0.083558,97
sh.600026,2026-07-15,22.4559,2026-07-24,24.3087,MA,8,0.082508,0.078771,157
sh.600027,2021-11-18,5.2603,2021-11-30,5.4839,MA,9,0.042493,0.038929,24
sh.600028,2026-03-26,20.9369,2026-04-23,19.2619,STOP,20,-0.08,-0.083574,31
sh.600029,2018-07-02,14.0682,2018-07-03,12.9427,STOP,2,-0.08,-0.083395,74
sh.600030,2018-02-22,70.1303,2018-03-12,74.2625,MA,13,0.058922,0.054907,33
sh.600032,2021-07-30,9.16,2021-08-12,11.15,MA,10,0.217249,0.213331,44
sh.600032,2026-04-17,10.0313,2026-04-22,11.3343,MA,4,0.129897,0.126094,23
sh.600032,2026-06-30,7.1805,2026-07-09,6.6061,STOP,8,-0.08,-0.083451,102
sh.600038,2022-01-27,144.9738,2022-02-24,145.4604,MA,16,0.003356,0.000161,45
sh.600048,2018-07-10,222.425,2018-07-20,204.631,STOP,9,-0.08,-0.08286,55
sh.600051,2018-06-28,20.1703,2018-07-17,20.4791,MA,14,0.015313,0.01155,23
sh.600051,2021-05-07,23.7262,2021-05-27,24.3589,MA,15,0.026667,0.023073,23
sh.600051,2022-05-10,22.8957,2022-05-24,25.3191,MA,11,0.105845,0.102095,45
sh.600051,2024-02-07,18.8149,2024-02-28,22.66,MA,10,0.204365,0.200496,1493
sh.600052,2019-05-08,10.258,2019-06-13,10.1918,MA,26,-0.006452,-0.010025,251
sh.600052,2022-04-28,11.0743,2022-05-16,13.1638,MA,10,0.188679,0.184893,1476
sh.600052,2024-02-07,10.5171,2024-02-08,9.6465,STOP,2,-0.082781,-0.086214,1493
sh.600052,2024-02-20,10.9699,2024-02-27,13.0594,MA,6,0.190476,0.186678,305
sh.600052,2025-01-08,14.77,2025-02-05,15.5103,MA,15,0.050119,0.046416,457
sh.600053,2018-06-21,37.6897,2018-07-11,34.6745,STOP,15,-0.08,-0.083707,488
sh.600053,2018-08-21,30.8828,2018-09-10,30.5763,MA,15,-0.009922,-0.013487,40
sh.600053,2020-02-06,54.4982,2020-02-17,64.2243,MA,8,0.178468,0.173865,72
sh.600053,2021-10-14,32.1347,2021-11-05,32.6086,MA,17,0.014747,0.011188,62
sh.600053,2022-04-25,30.2392,2022-05-09,32.4732,MA,8,0.073881,0.070167,76
sh.600053,2024-02-28,37.8765,2024-03-01,43.6334,MA,3,0.15199,0.147942,23
sh.600053,2026-03-05,39.7955,2026-03-20,36.6118,STOP,12,-0.08,-0.083636,25
sh.600055,2018-08-22,86.7417,2018-09-27,85.4876,TIME,26,-0.014458,-0.018089,37
sh.600055,2018-10-22,65.8401,2018-11-01,79.7396,MA,9,0.211111,0.206776,346
sh.600055,2022-03-17,290.7335,2022-03-24,316.7566,MA,6,0.089508,0.086352,199
sh.600055,2022-04-28,203.5988,2022-05-23,224.1826,MA,15,0.1011,0.097923,1476
sh.600055,2024-02-02,145.0498,2024-02-05,133.4458,STOP,2,-0.08,-0.083069,433
sh.600058,2026-07-23,30.2708,2026-07-30,35.267,MA,6,0.165049,0.1612,28
sh.600060,2020-03-26,47.2979,2020-03-30,43.5141,STOP,3,-0.08,-0.083437,31
sh.600060,2020-04-03,45.1607,2020-04-22,44.7426,MA,13,-0.009259,-0.012853,55
sh.600061,2018-06-21,39.1813,2018-07-23,38.2589,MA,23,-0.023542,-0.027283,488
sh.600061,2019-05-09,50.7853,2019-05-29,53.0783,MA,15,0.045151,0.040614,195
sh.600063,2021-10-15,62.844,2021-10-26,79.1522,MA,8,0.259504,0.255024,55
sh.600063,2021-11-18,64.7137,2021-11-25,69.0764,MA,6,0.067416,0.063269,24
sh.600063,2022-09-07,89.3402,2022-09-15,82.193,STOP,6,-0.08,-0.083499,56
sh.600063,2026-07-24,62.334,2026-08-04,65.8474,MA,8,0.056364,0.052175,132
sh.600066,2018-11-01,383.9826,2018-11-13,416.3105,MA,9,0.084191,0.081043,37
sh.600067,2022-04-27,62.2231,2022-05-16,72.2525,MA,11,0.161184,0.156835,107
sh.600067,2024-02-07,34.3865,2024-03-11,39.2988,MA,18,0.142857,0.138689,1493
sh.600067,2024-06-11,37.866,2024-06-24,34.8368,STOP,10,-0.08,-0.0837,194
sh.600067,2025-01-08,51.375,2025-02-10,51.9891,MA,18,0.011952,0.007488,457
sh.600067,2025-04-09,42.5737,2025-04-22,47.6907,MA,10,0.120192,0.116338,728
