date,nav,n_open
2021-01-04,49977.375700000004,10.0
2021-01-05,49917.6057,10.0
2021-01-06,50273.31569999999,10.0
2021-01-07,49235.0757,10.0
2021-01-08,49574.6857,10.0
2021-01-11,48601.57284,10.0
2021-01-12,48540.33284,10.0
2021-01-13,47804.592840000005,10.0
2021-01-14,47975.362839999994,10.0
2021-01-15,48169.37284,10.0
2021-01-18,48575.18075999999,10.0
2021-01-19,48844.88076,10.0
2021-01-20,48763.84076,10.0
2021-01-21,48916.51075999999,10.0
2021-01-22,48744.17075999999,10.0
2021-01-25,48250.162755,10.0
2021-01-26,47902.56275499999,10.0
2021-01-27,47802.11275499998,10.0
2021-01-28,47550.86275499998,10.0
2021-01-29,46935.41275499998,10.0
2021-02-01,46717.43675499999,10.0
2021-02-02,46575.43675499998,10.0
2021-02-03,46448.18675499999,10.0
2021-02-04,45677.68675499998,10.0
2021-02-05,45356.73675499998,10.0
2021-02-08,44684.659234999985,10.0
2021-02-09,45429.97923499998,10.0
2021-02-10,46023.039234999975,10.0
2021-02-18,46793.43923499998,10.0
2021-02-19,47601.29923499997,10.0
2021-02-22,48329.28285999999,10.0
2021-02-23,47875.49285999999,10.0
2021-02-24,47695.01286,10.0
2021-02-25,47536.85285999999,10.0
2021-02-26,48136.332859999995,10.0
2021-03-01,48292.18603499999,10.0
2021-03-02,48234.77603499999,10.0
2021-03-03,48681.736035,10.0
2021-03-04,48513.366034999985,10.0
2021-03-05,48651.046034999985,10.0
2021-03-08,48587.45304499999,10.0
2021-03-09,48154.793044999984,10.0
2021-03-10,48169.19304499999,10.0
2021-03-11,48682.67304499999,10.0
2021-03-12,49193.103044999996,10.0
2021-03-15,49406.107074999985,10.0
2021-03-16,49661.817074999984,10.0
2021-03-17,49810.99707499999,10.0
2021-03-18,50024.637074999984,10.0
2021-03-19,50170.22707499999,10.0
2021-03-22,50832.061284999996,10.0
2021-03-23,50334.521284999995,10.0
2021-03-24,50195.451284999996,10.0
2021-03-25,49845.241285,10.0
2021-03-26,50164.531285,10.0
2021-03-29,50264.16134999999,10.0
2021-03-30,49857.32134999999,10.0
2021-03-31,49630.46134999999,10.0
2021-04-01,50209.66134999999,10.0
2021-04-02,50018.76134999999,10.0
2021-04-06,50655.624544999984,10.0
2021-04-07,50941.46454499998,10.0
2021-04-08,51050.704544999986,10.0
2021-04-09,51382.78454499999,10.0
2021-04-12,51115.91454499998,10.0
2021-04-13,50682.620829999985,10.0
2021-04-14,50888.900829999984,10.0
2021-04-15,50655.20082999998,10.0
2021-04-16,51217.050829999986,10.0
2021-04-19,51591.400829999984,10.0
2021-04-20,51927.453055,10.0
2021-04-21,52157.653054999995,10.0
2021-04-22,52301.85305499999,10.0
2021-04-23,52528.903054999995,10.0
2021-04-26,52981.853054999985,10.0
2021-04-27,52461.08730499999,10.0
2021-04-28,52679.77730499999,10.0
2021-04-29,52710.577304999984,10.0
2021-04-30,52831.23730499999,10.0
2021-05-06,53173.68730499999,10.0
2021-05-07,53269.20939499999,10.0
2021-05-10,53551.25939499999,10.0
2021-05-11,53318.85939499999,10.0
2021-05-12,53945.45939499999,10.0
2021-05-13,53839.70939499999,10.0
2021-05-14,53739.05611999998,10.0
2021-05-17,53400.05611999997,10.0
2021-05-18,53602.35611999997,10.0
2021-05-19,53809.40611999998,10.0
2021-05-20,48809.356119999975,10.0
2021-05-21,53931.421989999966,10.0
2021-05-24,54098.83198999997,10.0
2021-05-25,54306.961989999974,10.0
2021-05-26,54793.76198999998,10.0
2021-05-27,55198.01198999998,10.0
2021-05-28,54858.53644499997,10.0
2021-05-31,54924.39644499998,10.0
2021-06-01,55122.40644499997,10.0
2021-06-02,55042.29644499997,10.0
2021-06-03,55080.46644499997,10.0
2021-06-04,55068.372584999976,10.0
2021-06-07,54927.84258499998,10.0
2021-06-08,54809.73258499997,10.0
2021-06-09,54792.05258499997,10.0
2021-06-10,54761.75258499997,10.0
2021-06-11,54655.21317999997,10.0
2021-06-15,54419.20317999997,10.0
2021-06-16,55034.34317999997,10.0
2021-06-17,54997.17317999997,10.0
2021-06-18,54323.82317999996,10.0
2021-06-21,55113.43175499997,10.0
2021-06-22,55472.431754999976,10.0
2021-06-23,55648.98175499997,10.0
2021-06-24,55993.181754999976,10.0
2021-06-25,56516.781754999975,10.0
2021-06-28,56427.62270499997,10.0
2021-06-29,56071.772704999974,10.0
2021-06-30,56120.37270499997,10.0
2021-07-01,55818.122704999965,10.0
2021-07-02,55708.72270499997,10.0
2021-07-05,55730.94125499997,10.0
2021-07-06,55782.04125499997,10.0
2021-07-07,55820.08125499997,10.0
2021-07-08,55760.44125499997,10.0
2021-07-09,56104.921254999965,10.0
2021-07-12,56308.101809999986,10.0
2021-07-13,56706.00180999999,10.0
2021-07-14,56430.351809999986,10.0
2021-07-15,56602.75180999999,10.0
2021-07-16,56725.65180999998,10.0
2021-07-19,56649.18430999999,10.0
2021-07-20,56701.23430999999,10.0
2021-07-21,56873.88430999999,10.0
2021-07-22,57275.83430999999,10.0
2021-07-23,58132.884309999994,10.0
2021-07-26,57361.96820999998,10.0
2021-07-27,56529.97820999998,10.0
2021-07-28,56257.968209999985,10.0
2021-07-29,56571.91820999998,10.0
2021-07-30,56953.76820999998,10.0
2021-08-02,57874.90143499998,10.0
2021-08-03,57832.711434999976,10.0
2021-08-04,58193.391434999976,10.0
2021-08-05,58287.80143499997,10.0
2021-08-06,58541.49143499998,10.0
2021-08-09,59010.31096999997,10.0
2021-08-10,59008.35096999997,10.0
2021-08-11,59260.74096999996,10.0
2021-08-12,59572.090969999976,10.0
2021-08-13,59724.33096999997,10.0
2021-08-16,59736.23911499996,10.0
2021-08-17,59399.329114999964,10.0
2021-08-18,59698.76911499997,10.0
2021-08-19,59573.519114999974,10.0
2021-08-20,59474.00911499997,10.0
2021-08-23,59721.11911499997,10.0
2021-08-24,59666.769114999974,10.0
2021-08-25,59918.81911499997,10.0
2021-08-26,60096.60911499997,10.0
2021-08-27,60212.56911499998,10.0
2021-08-30,60888.20971999998,10.0
2021-08-31,61129.729719999974,10.0
2021-09-01,61474.87971999998,10.0
2021-09-02,56062.07971999998,10.0
2021-09-03,56308.17971999998,10.0
2021-09-06,62320.01489499998,10.0
2021-09-07,62896.16489499997,10.0
2021-09-08,64144.91489499997,10.0
2021-09-09,63855.61489499998,10.0
2021-09-10,63418.68489499998,10.0
2021-09-13,63700.71838499997,10.0
2021-09-14,62765.628384999975,10.0
2021-09-15,62505.03838499998,10.0
2021-09-16,62088.52838499998,10.0
2021-09-17,61618.468384999986,10.0
2021-09-22,61566.317489999994,10.0
2021-09-23,61990.737489999985,10.0
2021-09-24,61333.14748999999,10.0
