code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret
sh.600022,2016-11-28,8.7758,2017-03-23,8.8087,EXIT,78,0.003745,0.000204
sh.600022,2017-07-10,9.2224,2017-10-19,9.991,EXIT,69,0.083333,0.079624
sh.600022,2019-02-26,7.6854,2019-04-29,7.6427,EXIT,44,-0.005556,-0.009048
sh.600022,2020-06-18,5.764,2020-12-15,5.9348,EXIT,121,0.02963,0.026065
sh.600022,2021-03-02,6.7033,2021-09-28,9.1785,EXIT,144,0.369238,0.365119
sh.600022,2022-06-15,7.8766,2022-07-18,7.4239,EXIT,24,-0.057471,-0.060943
sh.600022,2023-03-06,7.2881,2023-03-28,6.926,EXIT,17,-0.049689,-0.05317
sh.600022,2023-08-02,7.4421,2023-08-25,6.7488,EXIT,18,-0.093168,-0.096562
sh.600022,2024-08-01,6.1016,2024-08-28,5.6394,EXIT,20,-0.075758,-0.079168
sh.600022,2024-09-27,6.4252,2025-01-02,6.7025,EXIT,64,0.043165,0.039563
sh.600022,2025-07-03,6.2865,2025-11-20,7.1648,EXIT,95,0.139706,0.135936
sh.600022,2026-02-26,8.043,2026-03-23,6.9799,EXIT,18,-0.132184,-0.135522
sh.600023,2017-07-21,8.4126,2017-09-26,8.0515,EXIT,48,-0.042934,-0.04645
sh.600023,2017-12-06,8.2471,2018-03-26,8.1418,EXIT,73,-0.012774,-0.016265
sh.600023,2019-02-26,7.4825,2019-04-29,7.3736,EXIT,44,-0.014553,-0.018059
sh.600023,2020-01-03,6.4614,2020-01-22,6.2185,EXIT,14,-0.037594,-0.041069
sh.600023,2020-06-10,5.8136,2020-10-09,6.2526,EXIT,80,0.075515,0.07189
sh.600023,2021-03-23,6.6285,2021-04-30,6.1843,EXIT,28,-0.06701,-0.070416
sh.600023,2021-09-03,6.5616,2021-10-14,6.5616,EXIT,23,0.0,-0.003516
sh.600023,2022-06-09,6.598,2022-08-02,6.2345,EXIT,39,-0.055096,-0.058524
sh.600023,2023-02-08,6.7252,2023-03-28,6.6525,EXIT,35,-0.010811,-0.014357
sh.600023,2023-04-17,7.8158,2023-08-14,8.3792,EXIT,81,0.072093,0.068419
sh.600023,2023-12-11,8.7428,2023-12-25,8.0521,EXIT,11,-0.079002,-0.082423
sh.600023,2024-01-03,8.8882,2024-04-30,11.2329,EXIT,77,0.263804,0.259885
sh.600023,2024-05-28,12.5234,2024-07-24,12.2819,EXIT,41,-0.019284,-0.022896
sh.600023,2025-03-26,10.8171,2025-04-30,9.972,EXIT,25,-0.078125,-0.081535
sh.600023,2025-07-24,10.572,2025-09-01,10.077,EXIT,28,-0.046816,-0.050297
sh.600023,2025-10-28,10.6138,2025-11-19,10.1741,EXIT,17,-0.041431,-0.044916
sh.600023,2026-03-02,10.5938,2026-06-24,10.9936,EXIT,78,0.037736,0.03413
sh.600025,2018-11-06,3.131,2018-11-30,2.948,EXIT,19,-0.058442,-0.061884
sh.600025,2019-01-07,3.2631,2019-05-07,3.9951,EXIT,78,0.224299,0.220441
sh.600025,2019-07-08,4.3512,2019-09-19,4.6357,EXIT,53,0.065375,0.061733
sh.600025,2020-06-29,3.9989,2021-01-13,4.68,EXIT,136,0.17033,0.166574
sh.600025,2021-03-12,5.6468,2021-07-20,6.0109,EXIT,88,0.064487,0.060848
sh.600025,2021-09-09,7.7961,2021-11-09,7.1408,EXIT,37,-0.084058,-0.087501
