date,nav
2016-08-29,1000000.0
2016-08-30,1000000.0
2016-08-31,1000000.0
2016-09-01,1000000.0
2016-09-02,1000000.0
2016-09-05,1000000.0
2016-09-06,1000000.0
2016-09-07,1000000.0
2016-09-08,1000000.0
2016-09-09,1000000.0
2016-09-12,1000000.0
2016-09-13,1000000.0
2016-09-14,1000000.0
2016-09-19,1000000.0
2016-09-20,1000000.0
2016-09-21,1000000.0
2016-09-22,1000000.0
2016-09-23,1000000.0
2016-09-26,1000000.0
2016-09-27,1000000.0
2016-09-28,1000000.0
2016-09-29,1000000.0
2016-09-30,1000000.0
2016-10-10,1000000.0
2016-10-11,1000000.0
2016-10-12,1000000.0
2016-10-13,1000000.0
2016-10-14,1000000.0
2016-10-17,1000000.0
2016-10-18,1000000.0
2016-10-19,1000000.0
2016-10-20,1000000.0
2016-10-21,1000000.0
2016-10-24,1000000.0
2016-10-25,1000000.0
2016-10-26,1000000.0
2016-10-27,1000000.0
2016-10-28,1000000.0
2016-10-31,1000000.0
2016-11-01,1000000.0
2016-11-02,1000000.0
2016-11-03,1000000.0
2016-11-04,1000000.0
2016-11-07,1000000.0
2016-11-08,1000000.0
2016-11-09,1000000.0
2016-11-10,1000000.0
2016-11-11,1000000.0
2016-11-14,1000000.0
2016-11-15,1000000.0
2016-11-16,1000000.0
2016-11-17,1000000.0
2016-11-18,1000000.0
2016-11-21,1000000.0
2016-11-22,1000000.0
2016-11-23,1000000.0
2016-11-24,1000000.0
2016-11-25,1000000.0
2016-11-28,1000000.0
2016-11-29,1000000.0
2016-11-30,1000000.0
2016-12-01,1000000.0
2016-12-02,1000000.0
2016-12-05,1000000.0
2016-12-06,1000000.0
2016-12-07,1000000.0
2016-12-08,1000000.0
2016-12-09,1000000.0
2016-12-12,1000000.0
2016-12-13,998771.006395
2016-12-14,997521.863962
2016-12-15,996430.7173515
2016-12-16,999026.824979
2016-12-19,1000476.275299
2016-12-20,998281.992025
2016-12-21,1000141.1137310001
2016-12-22,1002942.651784
2016-12-23,998259.186054
2016-12-26,998749.923507
2016-12-27,997054.4548429999
2016-12-28,997065.035407
2016-12-29,997246.3530209999
2016-12-30,1002105.692127
2017-01-03,1004744.09414
2017-01-04,1006881.0711299999
2017-01-05,1004447.777437
2017-01-06,1002074.5988759999
2017-01-09,1003627.188262
2017-01-10,1004421.438765
2017-01-11,1002233.528013
2017-01-12,1000030.237194
2017-01-13,1002621.5131549999
2017-01-16,1008826.9347049999
2017-01-17,1009097.0249365
2017-01-18,1011963.0965965001
2017-01-19,1010684.1955955001
2017-01-20,1015397.8486815001
2017-01-23,1016730.4394925
2017-01-24,1022602.0100855001
2017-01-25,1023323.6186820001
2017-01-26,1023733.3501030001
2017-02-03,1023249.071221
2017-02-06,1023593.549869
2017-02-07,1023305.605705
2017-02-08,1023500.2402450001
2017-02-09,1023954.3875050001
2017-02-10,1024149.0220450001
2017-02-13,1024603.1693050001
2017-02-14,1024182.307015
2017-02-15,1024182.307015
2017-02-16,1024182.307015
2017-02-17,1024182.307015
2017-02-20,1024182.307015
2017-02-21,1024182.307015
2017-02-22,1024182.307015
2017-02-23,1024182.307015
2017-02-24,1024182.307015
2017-02-27,1024182.307015
2017-02-28,1024182.307015
2017-03-01,1024182.307015
2017-03-02,1024182.307015
2017-03-03,1024182.307015
2017-03-06,1024182.307015
2017-03-07,1023996.1473175001
2017-03-08,1023996.1473175001
2017-03-09,1023996.1473175001
2017-03-10,1023996.1473175001
2017-03-13,1023996.1473175001
2017-03-14,1023996.1473175001
2017-03-15,1023996.1473175001
2017-03-16,1023996.1473175001
2017-03-17,1023996.1473175001
2017-03-20,1023996.1473175001
2017-03-21,1023996.1473175001
2017-03-22,1023996.1473175001
2017-03-23,1023996.1473175001
2017-03-24,1023698.2148725002
2017-03-27,1022333.4983025001
2017-03-28,1022333.4983025001
2017-03-29,1021514.6683605001
2017-03-30,1022606.4416165001
2017-03-31,1022606.4416165001
2017-04-05,1024107.6298435001
2017-04-06,1024517.0448145001
2017-04-07,1025472.3464135001
2017-04-10,1026291.1763555001
2017-04-11,1027655.8929255002
2017-04-12,1026154.7046985001
2017-04-13,1028611.1945245002
2017-04-14,1028201.7795535001
2017-04-17,1026700.5913265002
2017-04-18,1028338.2512105001
2017-04-19,1028201.7795535001
2017-04-20,1025472.3464135001
2017-04-21,1031289.1194490001
2017-04-24,1031136.3202235
2017-04-25,1030668.7954875
2017-04-26,1030435.0331195001
2017-04-27,1030334.8492475001
2017-04-28,1029466.5890235001
2017-05-02,1028798.6965435001
2017-05-03,1033125.8641314999
2017-05-04,1033288.7420625
2017-05-05,1019508.0382284998
2017-05-08,996629.2594484999
2017-05-09,994971.7535704998
2017-05-10,982286.716773
2017-05-11,978158.0242794999
2017-05-12,975743.3437659999
2017-05-15,978477.0958049998
2017-05-16,995485.277729
2017-05-17,1001661.892858
2017-05-18,997761.3374950001
2017-05-19,1005589.0542629999
2017-05-22,993126.4146669998
2017-05-23,985597.9761639999
2017-05-24,981740.8947409999
2017-05-25,997615.104785
2017-05-26,1000349.8988069999
2017-05-31,996119.943192
2017-06-01,989840.543055
2017-06-02,992653.0209829999
2017-06-05,998053.7372709999
2017-06-06,1008964.543887
2017-06-07,1024127.7364129999
2017-06-08,1021039.1277284999
2017-06-09,1017470.9965555
2017-06-12,1014784.7372735
2017-06-13,1017521.2796155
2017-06-14,1017639.3514305
2017-06-15,1020308.9860385
2017-06-16,1018556.6437494999
2017-06-19,1019785.6717525
2017-06-20,1022896.1519995
2017-06-21,1024987.1269715
2017-06-22,1022457.8667565
2017-06-23,1023920.963321
2017-06-26,1028783.391826
2017-06-27,1027735.430718
2017-06-28,1027223.38954
2017-06-29,1028306.2958849999
2017-06-30,1031585.622644
2017-07-03,1037987.423555
2017-07-04,1035576.994206
2017-07-05,1036296.842219
2017-07-06,1036580.2710599999
2017-07-07,1034068.74631
2017-07-10,1031119.4693419999
2017-07-11,1029104.2452769999
2017-07-12,1023998.6302499999
2017-07-13,1030005.231435
2017-07-14,1028932.8511224999
2017-07-17,1027051.8034325
2017-07-18,1028994.7253604999
2017-07-19,1039508.7241795
2017-07-20,1041044.6621424999
2017-07-21,1042723.0996355
2017-07-24,1043026.0137044999
2017-07-25,1039159.4871944999
2017-07-26,1031802.1644105
2017-07-27,1037305.8543505
2017-07-28,1040725.4131504999
2017-07-31,1046047.5348174999
2017-08-01,1049230.1657695
2017-08-02,1043530.1556315001
2017-08-03,1045792.3679775
2017-08-04,1042975.5717724999
2017-08-07,1045845.2777384999
2017-08-08,1046330.527166
2017-08-09,1049841.848945
2017-08-10,1045960.545699
2017-08-11,1041585.4361129999
2017-08-14,1046402.347863
2017-08-15,1049370.086969
2017-08-16,1052607.307387
2017-08-17,1050948.207473
2017-08-18,1053447.838799
2017-08-21,1052291.287265
2017-08-22,1052564.881127
2017-08-23,1052385.256022
2017-08-24,1054439.98079
2017-08-25,1054340.785265
2017-08-28,1055103.523115
2017-08-29,1055051.99762
2017-08-30,1055051.99762
2017-08-31,1055051.99762
2017-09-01,1055051.99762
2017-09-04,1055051.99762
2017-09-05,1055051.99762
