code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret
sh.600011,2016-12-14,23.9325,2017-01-17,24.3319,HIGH,24,0.01669,0.013661
sh.600011,2017-03-24,24.1988,2017-04-24,25.5635,HIGH,20,0.056396,0.053297
sh.600016,2021-07-15,93.6209,2021-08-04,87.88,DESEL,15,-0.061321,-0.064213
sh.600028,2018-06-25,13.9545,2018-07-19,13.7782,DESEL,19,-0.012638,-0.015616
sh.600028,2018-10-12,14.3369,2018-10-19,14.2466,DESEL,6,-0.006299,-0.009288
sh.600028,2018-11-22,13.4564,2018-12-14,13.2984,DESEL,17,-0.011745,-0.014724
sh.600028,2019-03-27,12.892,2019-05-14,12.1017,TIME,31,-0.061296,-0.064189
sh.600028,2019-05-16,12.1695,2019-05-20,12.3275,DESEL,3,0.012987,0.009964
sh.600033,2018-06-25,16.5377,2018-07-19,15.9432,DESEL,19,-0.035948,-0.038885
sh.600039,2023-11-01,80.6445,2023-12-13,77.8204,TIME,31,-0.035019,-0.037958
sh.600039,2023-12-15,77.1928,2024-01-26,83.1549,HIGH,30,0.077236,0.074101
sh.600057,2024-07-01,62.0772,2024-07-16,57.111,SL,12,-0.08,-0.08286
sh.600057,2024-07-18,57.5908,2024-07-25,52.9835,SL,6,-0.08,-0.08286
sh.600066,2016-12-15,649.1915,2017-01-25,676.909,HIGH,29,0.042695,0.039621
sh.600066,2017-04-21,671.5659,2017-05-31,680.9164,HIGH,26,0.013923,0.010899
sh.600104,2016-12-16,134.7225,2017-01-17,145.1904,HIGH,22,0.0777,0.074564
sh.600123,2024-03-19,110.6656,2024-04-02,101.8124,SL,11,-0.08,-0.08286
sh.600123,2024-04-09,104.3812,2024-04-16,112.8259,HIGH,6,0.080903,0.077762
sh.600123,2024-04-23,95.0526,2024-04-26,87.4484,SL,4,-0.08,-0.08286
sh.600123,2024-04-30,88.7682,2024-05-23,97.2129,HIGH,15,0.095133,0.091966
sh.600123,2024-06-18,93.2851,2024-06-27,87.3934,DESEL,8,-0.063158,-0.066047
sh.600153,2024-06-04,179.4426,2024-06-25,165.0872,SL,15,-0.08,-0.08286
sh.600153,2024-06-27,168.4175,2024-07-09,154.9441,SL,9,-0.08,-0.08286
sh.600153,2024-07-11,158.9131,2024-07-25,149.7889,DESEL,11,-0.057416,-0.060316
sh.600153,2025-01-23,184.2919,2025-02-14,198.7423,HIGH,11,0.07841,0.075273
sh.600177,2016-12-16,227.7224,2017-02-06,228.8578,TIME,31,0.004986,0.001977
sh.600188,2020-01-22,25.3607,2020-02-03,22.2001,SL,3,-0.124623,-0.127405
sh.600188,2020-02-05,22.4295,2020-03-06,24.545,HIGH,23,0.094318,0.091153
sh.600188,2020-03-16,23.2197,2020-03-19,21.3621,SL,4,-0.08,-0.08286
sh.600188,2020-03-23,21.4355,2020-05-08,21.359,TIME,31,-0.003567,-0.006561
sh.600188,2020-07-27,24.4963,2020-09-07,24.8201,TIME,31,0.013216,0.010193
sh.600188,2020-11-02,24.3614,2020-11-17,26.4927,HIGH,12,0.087486,0.084333
sh.600188,2023-08-01,92.2639,2023-09-04,97.3579,HIGH,25,0.055211,0.052115
sh.600188,2023-10-20,102.5039,2023-11-27,104.843,HIGH,27,0.022819,0.01978
sh.600188,2024-03-13,126.8824,2024-04-11,128.3898,HIGH,20,0.01188,0.00886
sh.600188,2024-04-24,122.8799,2024-05-21,128.9096,HIGH,17,0.049069,0.045984
sh.600188,2024-07-01,118.6176,2024-07-10,109.1282,SL,8,-0.08,-0.08286
sh.600188,2024-07-12,108.9615,2024-07-25,106.362,DESEL,10,-0.023857,-0.026815
sh.600188,2024-11-27,106.876,2025-01-09,98.3259,SL,31,-0.08,-0.08286
sh.600188,2025-01-13,96.1078,2025-03-04,96.0346,TIME,31,-0.000762,-0.003761
sh.600188,2025-04-08,88.9291,2025-05-15,94.8625,HIGH,25,0.066722,0.063605
sh.600210,2018-08-20,17.3659,2018-09-13,18.2769,DESEL,19,0.052459,0.049367
sh.600256,2024-07-30,257.2072,2024-08-19,269.9576,HIGH,15,0.049573,0.046486
sh.600256,2024-08-23,254.1295,2024-09-03,272.5957,HIGH,8,0.072664,0.069537
sh.600256,2024-09-12,252.3708,2024-09-25,278.751,HIGH,8,0.10453,0.101347
sh.600256,2024-12-25,295.0188,2025-01-08,271.4173,SL,10,-0.08,-0.08286
sh.600256,2025-01-10,269.9576,2025-03-03,268.199,TIME,31,-0.006515,-0.009503
sh.600256,2025-04-07,255.4485,2025-05-07,258.9659,HIGH,20,0.013769,0.010745
sh.600256,2025-09-02,249.2376,2025-10-10,254.1246,HIGH,23,0.019608,0.016574
sh.600256,2025-11-21,252.1698,2026-01-06,244.3506,TIME,31,-0.031008,-0.033953
sh.600256,2026-04-27,294.6868,2026-04-30,327.9185,HIGH,4,0.112769,0.109572
sh.600256,2026-05-08,306.9044,2026-05-19,315.701,HIGH,8,0.028662,0.025612
sh.600256,2026-05-25,293.2207,2026-06-02,329.8733,HIGH,7,0.125,0.121781
sh.600256,2026-06-10,299.5739,2026-06-15,312.2801,HIGH,4,0.042414,0.03934
sh.600256,2026-06-17,271.2292,2026-06-22,249.5308,SL,3,-0.08,-0.08286
sh.600256,2026-06-24,250.215,2026-06-26,230.1978,SL,3,-0.08,-0.08286
sh.600256,2026-06-30,249.2376,2026-07-15,263.8987,HIGH,12,0.058824,0.055721
sh.600273,2023-09-27,12.2678,2023-10-30,12.2238,DESEL,18,-0.003584,-0.006578
sh.600282,2020-08-12,17.011,2020-09-23,16.3731,TIME,31,-0.0375,-0.040434
sh.600282,2020-12-16,16.8516,2021-01-28,16.2668,TIME,31,-0.0347,-0.03764
sh.600282,2022-05-11,19.8232,2022-06-07,19.9459,DESEL,19,0.006192,0.003181
sh.600295,2022-11-04,60.161,2022-11-25,65.248,HIGH,16,0.084556,0.081408
sh.600295,2022-12-20,65.6264,2023-01-18,67.3921,HIGH,21,0.026906,0.023859
sh.600295,2023-02-17,66.7615,2023-03-31,64.5333,TIME,31,-0.033375,-0.036317
sh.600295,2023-04-20,62.2631,2023-06-01,57.282,SL,28,-0.08,-0.08286
sh.600295,2023-06-06,58.4794,2023-06-30,56.9606,DESEL,17,-0.025971,-0.028925
sh.600295,2024-07-01,68.4279,2024-07-17,62.9537,SL,13,-0.08,-0.08286
sh.600295,2024-07-19,61.9893,2024-07-25,58.1535,DESEL,5,-0.061878,-0.06477
sh.600312,2018-02-02,43.9046,2018-02-06,40.3923,SL,3,-0.08,-0.08286
sh.600312,2018-02-08,40.9809,2018-03-12,43.4174,HIGH,18,0.059453,0.056349
sh.600312,2018-04-10,42.2479,2018-04-26,38.4957,SL,13,-0.088812,-0.091657
sh.600312,2018-05-02,35.572,2018-05-23,35.8644,DESEL,16,0.008219,0.005205
sh.600325,2017-07-18,46.9144,2017-08-29,48.6094,TIME,31,0.036129,0.033066
sh.600325,2017-10-19,45.6432,2017-11-20,41.9917,SL,23,-0.08,-0.08286
sh.600325,2018-02-08,50.486,2018-02-09,46.4471,SL,2,-0.08,-0.08286
sh.600325,2018-02-13,45.7037,2018-03-12,51.1519,HIGH,15,0.119205,0.115997
sh.600325,2018-03-21,47.6408,2018-03-23,43.8296,SL,3,-0.08,-0.08286
sh.600325,2018-03-27,44.9168,2018-05-04,47.883,HIGH,25,0.066038,0.062922
sh.600325,2018-05-31,49.0937,2018-06-19,45.1662,SL,13,-0.08,-0.08286
sh.600325,2018-06-21,45.8248,2018-06-21,45.4011,DESEL,1,-0.009247,-0.012231
sh.600325,2022-06-09,54.0497,2022-06-22,56.597,HIGH,10,0.047128,0.044046
sh.600327,2020-10-15,45.8427,2020-11-23,46.6805,HIGH,28,0.018277,0.015245
sh.600327,2020-12-30,49.3138,2021-01-12,45.3687,SL,9,-0.08,-0.08286
sh.600327,2021-01-14,44.8851,2021-02-22,48.1169,HIGH,23,0.072,0.068874
sh.600327,2021-03-31,47.8775,2021-04-16,50.7501,HIGH,12,0.06,0.056895
sh.600327,2021-06-17,86.6908,2021-06-22,99.0752,HIGH,4,0.142857,0.139607
sh.600327,2021-07-07,93.9976,2021-07-07,94.9883,DESEL,1,0.01054,0.007522
sh.600327,2021-08-06,75.5448,2021-08-30,69.5012,SL,17,-0.08,-0.08286
