date,nav
2016-08-29,1000000.0
2016-08-30,1000000.0
2016-08-31,1000000.0
2016-09-01,1000000.0
2016-09-02,1000000.0
2016-09-05,1000000.0
2016-09-06,1000000.0
2016-09-07,1000000.0
2016-09-08,1000000.0
2016-09-09,1000000.0
2016-09-12,1000000.0
2016-09-13,1000000.0
2016-09-14,1000000.0
2016-09-19,1000000.0
2016-09-20,1000000.0
2016-09-21,1000000.0
2016-09-22,1000000.0
2016-09-23,1000000.0
2016-09-26,1000000.0
2016-09-27,1000000.0
2016-09-28,1000000.0
2016-09-29,1000000.0
2016-09-30,1000000.0
2016-10-10,1000000.0
2016-10-11,1000000.0
2016-10-12,1000000.0
2016-10-13,1000000.0
2016-10-14,1000000.0
2016-10-17,1000000.0
2016-10-18,1000000.0
2016-10-19,1000000.0
2016-10-20,1000000.0
2016-10-21,1000000.0
2016-10-24,1000000.0
2016-10-25,1000000.0
2016-10-26,1000000.0
2016-10-27,1000000.0
2016-10-28,1000000.0
2016-10-31,1000000.0
2016-11-01,1000000.0
2016-11-02,1000000.0
2016-11-03,1000000.0
2016-11-04,1000000.0
2016-11-07,1000000.0
2016-11-08,1000000.0
2016-11-09,1000000.0
2016-11-10,1000000.0
2016-11-11,1000000.0
2016-11-14,1000000.0
2016-11-15,1000000.0
2016-11-16,1000000.0
2016-11-17,1000000.0
2016-11-18,1000000.0
2016-11-21,1000000.0
2016-11-22,1000000.0
2016-11-23,1000000.0
2016-11-24,1000000.0
2016-11-25,1000000.0
2016-11-28,1000000.0
2016-11-29,1000000.0
2016-11-30,1000000.0
2016-12-01,1000000.0
2016-12-02,1000000.0
2016-12-05,1000000.0
2016-12-06,1000000.0
2016-12-07,1000000.0
2016-12-08,1000000.0
2016-12-09,1000000.0
2016-12-12,1000000.0
2016-12-13,998771.006395
2016-12-14,997087.7895615
2016-12-15,995587.22798
2016-12-16,997446.096376
2016-12-19,1000667.035191
2016-12-20,996609.3830229999
2016-12-21,1001344.1403089999
2016-12-22,1003770.7523039998
2016-12-23,997812.508656
2016-12-26,998097.1138519999
2016-12-27,996288.0173559999
2016-12-28,996301.926497
2016-12-29,995908.904011
2016-12-30,1001773.3382919999
2017-01-03,1006268.359899
2017-01-04,1009547.3599349998
2017-01-05,1010142.6660749998
2017-01-06,1007001.2210424999
2017-01-09,1008540.4961204999
2017-01-10,1009331.4180464998
2017-01-11,1007140.1787174998
2017-01-12,1004950.2022064999
2017-01-13,1007498.2066664998
2017-01-16,1011014.0999154999
2017-01-17,1011910.63945
2017-01-18,1015059.634272
2017-01-19,1014085.183527
2017-01-20,1018951.4131430001
2017-01-23,1020791.684874
2017-01-24,1026938.930085
2017-01-25,1027690.4589925
2017-01-26,1028079.7280725
2017-02-03,1027760.0992125
2017-02-06,1028531.9196325
2017-02-07,1028644.6292125001
2017-02-08,1030035.7086925001
2017-02-09,1030447.1662325001
2017-02-10,1030603.8730925
2017-02-13,1031128.0402125001
2017-02-14,1031299.4128325002
2017-02-15,1030133.7525125
2017-02-16,1030515.8785325001
2017-02-17,1028914.0456525001
2017-02-20,1031691.5881125
2017-02-21,1031975.6703125001
2017-02-22,1031182.0867525002
2017-02-23,1030104.4209925001
2017-02-24,1030231.7963325002
2017-02-27,1028487.9223525
2017-02-28,1029124.7990525002
2017-03-01,1028870.0483725001
2017-03-02,1027792.3826125001
2017-03-03,1027934.4237125001
2017-03-06,1028119.5234525001
2017-03-07,1028745.4069025001
2017-03-08,1028603.3658025002
2017-03-09,1028603.3658025002
2017-03-10,1028035.2014025
2017-03-13,1028603.3658025002
2017-03-14,1028461.3247025001
2017-03-15,1028319.2836025001
2017-03-16,1028461.3247025001
2017-03-17,1027324.9959025001
2017-03-20,1030132.2707925001
2017-03-21,1030132.2707925001
2017-03-22,1030132.2707925001
2017-03-23,1030132.2707925001
2017-03-24,1029834.3383475002
2017-03-27,1028469.6217775001
2017-03-28,1028469.6217775001
2017-03-29,1027650.7918355002
2017-03-30,1028742.5650915002
2017-03-31,1029150.5178625002
2017-04-05,1032380.4939135001
2017-04-06,1032429.7447545002
2017-04-07,1033240.9807015002
2017-04-10,1034636.0732515001
2017-04-11,1038161.7746015002
2017-04-12,1038605.4726765002
2017-04-13,1040881.9768995002
2017-04-14,1040472.5619285002
2017-04-17,1038971.3737015002
2017-04-18,1040609.0335855002
2017-04-19,1040472.5619285002
2017-04-20,1037743.1287885002
2017-04-21,1043559.9018240002
2017-04-24,1043407.1025985002
2017-04-25,1041978.9814250001
2017-04-26,1043329.9412290001
2017-04-27,1043373.8230090002
2017-04-28,1040249.6501510001
2017-05-02,1039581.7576710001
2017-05-03,1043908.925259
2017-05-04,1044071.80319
2017-05-05,1030291.099356
2017-05-08,1007412.320576
2017-05-09,1006062.413685
2017-05-10,989949.4718145002
2017-05-11,985340.3148040001
2017-05-12,982954.4806165001
2017-05-15,985649.7708874999
2017-05-16,1002614.6833225002
2017-05-17,1008791.2984515
2017-05-18,1004885.9353675002
2017-05-19,1012689.6135305001
2017-05-22,1000154.8581195001
2017-05-23,992607.1887325
2017-05-24,988802.9922405002
2017-05-25,1004682.0100054999
2017-05-26,1007421.6117485
2017-05-31,1002837.4134540001
2017-06-01,998215.0523760002
2017-06-02,1002193.5948270002
2017-06-05,1007041.9647620001
2017-06-06,1015866.1296000002
2017-06-07,1025567.2304130002
2017-06-08,1022665.5204535001
2017-06-09,1019097.3892805001
2017-06-12,1016411.1299985001
2017-06-13,1019147.6723405002
2017-06-14,1019265.7441555001
2017-06-15,1021935.3787635001
2017-06-16,1020183.0364745001
2017-06-19,1021412.0644775002
2017-06-20,1024522.5447245002
2017-06-21,1026613.5196965002
2017-06-22,1024084.2594815001
2017-06-23,1025547.3560460001
2017-06-26,1030409.7845510001
2017-06-27,1029900.4769650002
2017-06-28,1030256.7351050002
2017-06-29,1030616.0586850002
2017-06-30,1033461.2357850001
2017-07-03,1038850.0208250001
2017-07-04,1036873.7411350001
2017-07-05,1037448.8725950001
2017-07-06,1038166.4510950001
2017-07-07,1035654.9263450002
2017-07-10,1033573.9486950001
2017-07-11,1032282.3073950001
2017-07-12,1028479.1413450001
2017-07-13,1033762.1597650002
2017-07-14,1029334.0066750001
2017-07-17,1027933.8103400001
2017-07-18,1029694.3363600001
2017-07-19,1040025.9392710001
2017-07-20,1041774.67246
2017-07-21,1043635.505861
2017-07-24,1043482.4301600001
2017-07-25,1040102.2927380002
2017-07-26,1033672.149153
2017-07-27,1039023.842503
2017-07-28,1042093.8091460001
2017-07-31,1047400.731154
2017-08-01,1050172.9713130002
2017-08-02,1044898.5516270001
2017-08-03,1047251.9619270001
2017-08-04,1044845.5565150001
2017-08-07,1047137.6754390001
2017-08-08,1047470.9282765002
2017-08-09,1050191.8677875001
2017-08-10,1047733.8079985002
2017-08-11,1044265.5467495001
2017-08-14,1047832.8604485003
2017-08-15,1050087.1322825002
2017-08-16,1048599.3146245002
2017-08-17,1049674.1845775002
2017-08-18,1052031.4342725002
2017-08-21,1053510.4785505002
2017-08-22,1053149.5347955003
2017-08-23,1052166.4646705003
2017-08-24,1053324.4095575004
2017-08-25,1055572.2428655003
