code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret
sh.600011,2016-12-19,23.6995,2017-02-07,24.232,TIME,31,0.022472,0.019433
sh.600011,2017-03-24,24.1988,2017-04-24,25.5635,HIGH,20,0.056396,0.053297
sh.600011,2017-07-04,24.7974,2017-07-26,24.9703,DESEL,17,0.006974,0.003961
sh.600016,2021-07-21,92.2961,2021-08-04,87.88,DESEL,11,-0.047847,-0.050763
sh.600016,2025-09-19,113.827,2025-11-10,114.1095,TIME,31,0.002481,-0.000523
sh.600019,2019-11-15,10.7322,2019-12-18,11.6567,HIGH,24,0.086142,0.082992
sh.600019,2020-02-03,9.8278,2020-03-16,9.9685,TIME,31,0.014315,0.01129
sh.600019,2020-03-18,9.8881,2020-04-30,9.7876,TIME,31,-0.010163,-0.013145
sh.600019,2021-11-09,14.9202,2021-12-03,16.2196,HIGH,19,0.087092,0.083939
sh.600019,2022-02-07,16.3589,2022-03-15,15.0501,SL,27,-0.08,-0.08286
sh.600019,2022-03-17,14.9202,2022-04-07,16.7069,HIGH,14,0.119751,0.116542
sh.600019,2022-04-26,15.0362,2022-05-10,13.8333,SL,8,-0.08,-0.08286
sh.600019,2022-05-12,13.9224,2022-06-07,15.129,HIGH,18,0.086667,0.083515
sh.600019,2022-08-04,12.5705,2022-09-16,13.5859,HIGH,31,0.080769,0.077628
sh.600019,2022-09-27,12.5222,2022-11-02,12.2408,DESEL,22,-0.022469,-0.02543
sh.600023,2017-04-28,7.8739,2017-04-28,7.9028,DESEL,1,0.00367,0.000663
sh.600027,2017-05-04,6.022,2017-06-06,6.3748,HIGH,22,0.058577,0.055475
sh.600028,2018-06-27,13.5577,2018-08-01,14.7702,HIGH,26,0.089431,0.086274
sh.600028,2018-10-12,14.3369,2018-11-23,13.19,SL,31,-0.08,-0.08286
sh.600028,2018-11-27,13.1403,2018-12-27,12.0891,SL,23,-0.08,-0.08286
sh.600028,2019-01-02,11.5147,2019-01-29,12.5081,HIGH,20,0.086275,0.083124
sh.600028,2019-03-27,12.892,2019-05-14,12.1017,TIME,31,-0.061296,-0.064189
sh.600028,2019-05-16,12.1695,2019-06-18,12.4608,DESEL,23,0.023936,0.020894
sh.600028,2021-10-14,11.9065,2021-11-05,11.2466,DESEL,17,-0.055427,-0.05833
sh.600033,2018-06-25,16.5377,2018-07-19,15.9432,DESEL,19,-0.035948,-0.038885
sh.600036,2026-01-22,213.9038,2026-03-13,222.2319,TIME,31,0.038934,0.035866
