date,nav
2016-08-29,1000000.0
2016-08-30,1000000.0
2016-08-31,1000000.0
2016-09-01,1000000.0
2016-09-02,1000000.0
2016-09-05,1000000.0
2016-09-06,1000000.0
2016-09-07,1000000.0
2016-09-08,1000000.0
2016-09-09,1000000.0
2016-09-12,1000000.0
2016-09-13,1000000.0
2016-09-14,1000000.0
2016-09-19,1000000.0
2016-09-20,1000000.0
2016-09-21,1000000.0
2016-09-22,1000000.0
2016-09-23,1000000.0
2016-09-26,1000000.0
2016-09-27,1000000.0
2016-09-28,1000000.0
2016-09-29,1000000.0
2016-09-30,1000000.0
2016-10-10,1000000.0
2016-10-11,1000000.0
2016-10-12,1000000.0
2016-10-13,1000000.0
2016-10-14,1000000.0
2016-10-17,1000000.0
2016-10-18,1000000.0
2016-10-19,1000000.0
2016-10-20,1000000.0
2016-10-21,1000000.0
2016-10-24,1000000.0
2016-10-25,1000000.0
2016-10-26,1000000.0
2016-10-27,1000000.0
2016-10-28,1000000.0
2016-10-31,1000000.0
2016-11-01,1000000.0
2016-11-02,1000000.0
2016-11-03,1000000.0
2016-11-04,1000000.0
2016-11-07,1000000.0
2016-11-08,1000000.0
2016-11-09,1000000.0
2016-11-10,1000000.0
2016-11-11,1000000.0
2016-11-14,1000000.0
2016-11-15,1000000.0
2016-11-16,1000000.0
2016-11-17,1000000.0
2016-11-18,1000000.0
2016-11-21,1000000.0
2016-11-22,1000000.0
2016-11-23,1000000.0
2016-11-24,1000000.0
2016-11-25,1000000.0
2016-11-28,1000000.0
2016-11-29,1000000.0
2016-11-30,1000000.0
2016-12-01,1000000.0
2016-12-02,1000000.0
2016-12-05,1000000.0
2016-12-06,1000000.0
2016-12-07,1000000.0
2016-12-08,1000000.0
2016-12-09,1000000.0
2016-12-12,1000000.0
2016-12-13,997665.9206455001
2016-12-14,996272.7125605
2016-12-15,995397.664428
2016-12-16,997993.3522745001
2016-12-19,999021.3797465
2016-12-20,995323.0703265001
2016-12-21,998275.5694385001
2016-12-22,1002882.1499575002
2016-12-23,995915.1820115001
2016-12-26,998799.789906
2016-12-27,995797.8914660001
2016-12-28,995979.5330790002
2016-12-29,995861.3649510001
2016-12-30,1002243.2323110001
2017-01-03,1007859.7999740001
2017-01-04,1011783.777398
2017-01-05,1008392.6786620002
2017-01-06,1007041.779881
2017-01-09,1010758.045285
2017-01-10,1009781.5166430001
2017-01-11,1003299.7518870002
2017-01-12,999826.5754320002
2017-01-13,1001162.6715160001
2017-01-16,1003932.0806820001
2017-01-17,1003023.3526305002
2017-01-18,1005879.6797175002
2017-01-19,1004159.0179065003
2017-01-20,1015045.9329245002
2017-01-23,1020159.5970395
2017-01-24,1030134.7752295001
2017-01-25,1033369.7840095002
2017-01-26,1034725.7810765001
2017-02-03,1032392.1875885001
2017-02-06,1033681.6403265
2017-02-07,1033057.9564455
2017-02-08,1033476.4174635
2017-02-09,1034490.1309185
2017-02-10,1034796.6786975001
2017-02-13,1036146.1318695
2017-02-14,1035545.5274775
2017-02-15,1035545.5274775
2017-02-16,1035545.5274775
2017-02-17,1035545.5274775
2017-02-20,1035545.5274775
2017-02-21,1035545.5274775
2017-02-22,1035545.5274775
2017-02-23,1035545.5274775
2017-02-24,1035545.5274775
2017-02-27,1035545.5274775
2017-02-28,1035545.5274775
2017-03-01,1035545.5274775
2017-03-02,1035545.5274775
2017-03-03,1035545.5274775
2017-03-06,1035545.5274775
2017-03-07,1035359.36778
2017-03-08,1035359.36778
2017-03-09,1035359.36778
2017-03-10,1035359.36778
2017-03-13,1035359.36778
2017-03-14,1035359.36778
2017-03-15,1035359.36778
2017-03-16,1035359.36778
2017-03-17,1035359.36778
2017-03-20,1035359.36778
2017-03-21,1036615.251468
2017-03-22,1035799.109946
2017-03-23,1037679.783888
2017-03-24,1038339.930621
2017-03-27,1036371.979013
2017-03-28,1034988.086867
2017-03-29,1034062.803683
2017-03-30,1036085.0973775
2017-03-31,1039389.9424134999
2017-04-05,1052015.8805385
2017-04-06,1063062.838929
2017-04-07,1064634.388258
2017-04-10,1064225.752744
2017-04-11,1064963.723894
2017-04-12,1063349.576079
2017-04-13,1064851.978071
2017-04-14,1064336.109858
2017-04-17,1062350.113867
2017-04-18,1063993.241437
2017-04-19,1062223.448076
2017-04-20,1063301.344924
2017-04-21,1070292.7912005
2017-04-24,1068970.482655
2017-04-25,1066514.792075
2017-04-26,1066281.029707
2017-04-27,1062817.63693
2017-04-28,1062115.7673435
2017-05-02,1061290.3687835
2017-05-03,1066440.5009885
2017-05-04,1065495.1787734998
2017-05-05,1051241.9183854999
2017-05-08,1019127.5388415001
2017-05-09,1025280.2899675
2017-05-10,1001218.87657
2017-05-11,995043.9180704998
2017-05-12,992211.1650154998
2017-05-15,994530.5016484999
2017-05-16,1011706.5848154998
2017-05-17,1014247.9260894998
2017-05-18,1011234.6050764997
2017-05-19,1017122.7196765
2017-05-22,1004810.5786595
2017-05-23,989568.3105515
2017-05-24,985259.320076
2017-05-25,1000858.416909
2017-05-26,997495.6058130001
2017-05-31,1001830.9960729999
2017-06-01,995530.6087419998
2017-06-02,999333.409522
2017-06-05,1005730.035106
2017-06-06,1009598.9455629999
2017-06-07,1024707.2013659999
2017-06-08,1024112.3300399999
2017-06-09,1024511.6206029999
2017-06-12,1019239.4589379999
2017-06-13,1022859.075076
2017-06-14,1023585.9131669999
2017-06-15,1028803.9429189998
2017-06-16,1026704.3731059999
2017-06-19,1029080.1308799998
2017-06-20,1031596.9533309999
2017-06-21,1033876.9079869998
2017-06-22,1030895.8269519998
2017-06-23,1030053.6711964998
2017-06-26,1039440.0170454999
2017-06-27,1037209.4955014999
2017-06-28,1034552.7870354998
2017-06-29,1036959.9545084999
2017-06-30,1039833.0635314998
2017-07-03,1046689.9007944998
2017-07-04,1043406.8482934998
2017-07-05,1044472.9000904998
2017-07-06,1045270.5017554997
2017-07-07,1043295.7000974998
2017-07-10,1041533.8841214998
2017-07-11,1036300.7061804999
2017-07-12,1027136.8796374998
2017-07-13,1033601.0239384999
2017-07-14,1038114.0099199999
2017-07-17,1029706.1157979998
2017-07-18,1033671.1915269999
2017-07-19,1049762.3243899997
2017-07-20,1050311.3842234998
2017-07-21,1053887.5096894999
2017-07-24,1060763.0212825
2017-07-25,1056518.3028024998
2017-07-26,1052368.5092765
2017-07-27,1058834.2913829999
2017-07-28,1062535.2642049997
2017-07-31,1066336.4972259998
2017-08-01,1066460.0771065
2017-08-02,1057207.2311824998
2017-08-03,1063558.5559369999
2017-08-04,1058383.172167
2017-08-07,1064137.330143
2017-08-08,1060697.7253834999
2017-08-09,1065419.1306645
2017-08-10,1056792.4465414998
2017-08-11,1046756.0204674997
2017-08-14,1056913.2737325
2017-08-15,1058926.5738605
2017-08-16,1061754.5598614998
2017-08-17,1064415.5706994997
2017-08-18,1068691.7188914998
2017-08-21,1070058.3413864998
2017-08-22,1071297.6131394997
2017-08-23,1068698.3291914999
2017-08-24,1066939.4072544998
2017-08-25,1073455.1365514998
2017-08-28,1077117.0669124997
2017-08-29,1077911.5862959998
2017-08-30,1076381.67642
2017-08-31,1073126.4247019999
2017-09-01,1071613.6209175
