code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret
sh.600011,2017-03-28,23.6662,2017-04-28,25.9629,DESEL,22,0.097046,0.093877
sh.600028,2018-10-19,13.8402,2018-10-19,14.2466,DESEL,1,0.029364,0.026312
sh.600028,2019-05-07,12.3727,2019-05-20,12.3275,DESEL,10,-0.00365,-0.006643
sh.600033,2018-06-25,16.5377,2018-07-19,15.9432,DESEL,19,-0.035948,-0.038885
sh.600057,2024-07-09,58.8726,2024-07-24,54.1628,SL,12,-0.08,-0.08286
sh.600066,2016-12-16,639.507,2017-02-06,683.254,TIME,31,0.068407,0.065288
sh.600066,2017-05-10,642.1786,2017-05-31,680.9164,DESEL,14,0.060322,0.057217
sh.600104,2016-12-16,134.7225,2017-01-25,150.0399,DESEL,28,0.113696,0.110497
sh.600123,2024-03-27,106.0505,2024-04-23,95.0526,SL,18,-0.103704,-0.106522
sh.600123,2024-04-25,88.9646,2024-06-12,98.3913,TIME,31,0.10596,0.102775
sh.600123,2024-06-25,87.4916,2024-06-27,87.3934,DESEL,3,-0.001122,-0.00412
sh.600153,2024-06-12,175.6408,2024-07-04,161.5896,SL,17,-0.08,-0.08286
sh.600153,2024-07-09,156.442,2024-07-25,149.7889,DESEL,13,-0.042527,-0.045453
sh.600188,2020-02-04,21.461,2020-03-17,22.3786,TIME,31,0.042755,0.039681
sh.600188,2020-03-19,21.8433,2020-05-06,21.2316,TIME,31,-0.028005,-0.030956
sh.600188,2023-08-03,89.1451,2023-09-04,97.3579,HIGH,23,0.092128,0.088967
sh.600188,2024-03-18,123.1918,2024-05-06,122.4121,TIME,31,-0.006329,-0.009318
sh.600188,2024-07-11,109.1781,2024-07-25,106.362,DESEL,11,-0.025794,-0.028749
sh.600188,2025-01-13,96.1078,2025-03-04,96.0346,TIME,31,-0.000762,-0.003761
sh.600188,2025-04-08,88.9291,2025-05-23,94.4963,TIME,31,0.062603,0.059493
sh.600256,2025-01-08,279.6304,2025-02-27,270.3973,TIME,31,-0.033019,-0.035961
sh.600256,2025-04-08,240.9394,2025-05-23,258.5262,TIME,31,0.072993,0.069865
sh.600256,2025-09-04,246.3054,2025-10-24,259.0117,TIME,31,0.051587,0.048497
sh.600256,2026-04-27,294.6868,2026-06-02,329.8733,HIGH,24,0.119403,0.116194
sh.600256,2026-06-17,271.2292,2026-06-22,249.5308,SL,3,-0.08,-0.08286
sh.600256,2026-06-24,250.215,2026-06-26,230.1978,SL,3,-0.08,-0.08286
sh.600256,2026-06-30,249.2376,2026-07-16,269.7631,HIGH,13,0.082353,0.079209
sh.600295,2022-12-23,64.3231,2023-01-30,71.4701,HIGH,21,0.111111,0.107917
sh.600295,2023-03-20,64.5333,2023-05-05,62.0529,TIME,31,-0.038436,-0.041369
sh.600295,2023-06-02,57.0079,2023-06-30,56.9606,DESEL,19,-0.00083,-0.003828
sh.600295,2024-07-18,62.4002,2024-07-24,57.4082,SL,5,-0.08,-0.08286
sh.600312,2018-02-02,43.9046,2018-02-06,40.3923,SL,3,-0.08,-0.08286
sh.600312,2018-02-08,40.9809,2018-03-23,44.0996,HIGH,27,0.0761,0.072967
sh.600312,2018-04-27,36.5953,2018-05-23,35.8644,DESEL,17,-0.019973,-0.022938
sh.600325,2017-07-18,46.9144,2017-08-29,48.6094,TIME,31,0.036129,0.033066
sh.600325,2018-02-09,47.2171,2018-03-23,43.4397,SL,26,-0.08,-0.08286
sh.600325,2018-03-27,44.9168,2018-05-07,49.578,HIGH,26,0.103774,0.100592
sh.600325,2018-06-11,47.096,2018-06-21,45.4011,DESEL,8,-0.03599,-0.038927
sh.600325,2022-06-14,50.786,2022-06-30,59.781,HIGH,13,0.177116,0.173806
sh.600327,2021-01-07,48.3563,2021-01-13,44.4878,SL,5,-0.08,-0.08286
sh.600327,2021-01-15,45.3639,2021-03-08,50.8698,HIGH,32,0.121372,0.11816
sh.600327,2021-06-17,86.6908,2021-06-23,110.8403,HIGH,5,0.278571,0.275084
sh.600327,2021-07-07,93.9976,2021-07-07,94.9883,DESEL,1,0.01054,0.007522
sh.600327,2021-08-06,75.5448,2021-08-30,69.5012,SL,17,-0.08,-0.08286
sh.600337,2017-05-03,55.1383,2017-05-10,50.7272,SL,6,-0.08,-0.08286
sh.600337,2017-05-12,51.3646,2017-06-08,54.5093,HIGH,18,0.061224,0.058117
sh.600340,2020-09-10,303.9308,2020-10-20,279.6164,SL,23,-0.08,-0.08286
sh.600340,2020-11-02,262.9809,2020-12-14,261.8539,TIME,31,-0.004286,-0.007278
sh.600340,2020-12-25,244.3844,2021-01-07,224.8337,SL,9,-0.08,-0.08286
sh.600340,2021-01-11,225.4122,2021-01-12,207.3792,SL,2,-0.08,-0.08286
sh.600340,2021-01-14,210.1969,2021-01-25,193.3811,SL,8,-0.08,-0.08286
sh.600340,2021-01-27,188.9706,2021-01-28,173.8529,SL,2,-0.08,-0.08286
sh.600340,2021-02-01,177.5121,2021-02-19,159.8548,SL,10,-0.099471,-0.102297
sh.600340,2021-02-23,129.4242,2021-03-24,119.0703,SL,22,-0.08,-0.08286
