date,nav
2016-08-29,1000000.0
2016-08-30,1000000.0
2016-08-31,1000000.0
2016-09-01,1000000.0
2016-09-02,1000000.0
2016-09-05,1000000.0
2016-09-06,1000000.0
2016-09-07,1000000.0
2016-09-08,1000000.0
2016-09-09,1000000.0
2016-09-12,1000000.0
2016-09-13,1000000.0
2016-09-14,1000000.0
2016-09-19,1000000.0
2016-09-20,1000000.0
2016-09-21,1000000.0
2016-09-22,1000000.0
2016-09-23,1000000.0
2016-09-26,1000000.0
2016-09-27,1000000.0
2016-09-28,1000000.0
2016-09-29,1000000.0
2016-09-30,1000000.0
2016-10-10,1000000.0
2016-10-11,1000000.0
2016-10-12,1000000.0
2016-10-13,1000000.0
2016-10-14,1000000.0
2016-10-17,1000000.0
2016-10-18,1000000.0
2016-10-19,1000000.0
2016-10-20,1000000.0
2016-10-21,1000000.0
2016-10-24,1000000.0
2016-10-25,1000000.0
2016-10-26,1000000.0
2016-10-27,1000000.0
2016-10-28,1000000.0
2016-10-31,1000000.0
2016-11-01,1000000.0
2016-11-02,1000000.0
2016-11-03,1000000.0
2016-11-04,1000000.0
2016-11-07,1000000.0
2016-11-08,1000000.0
2016-11-09,1000000.0
2016-11-10,1000000.0
2016-11-11,1000000.0
2016-11-14,1000000.0
2016-11-15,1000000.0
2016-11-16,1000000.0
2016-11-17,1000000.0
2016-11-18,1000000.0
2016-11-21,1000000.0
2016-11-22,1000000.0
2016-11-23,1000000.0
2016-11-24,1000000.0
2016-11-25,1000000.0
2016-11-28,1000000.0
2016-11-29,1000000.0
2016-11-30,1000000.0
2016-12-01,1000000.0
2016-12-02,1000000.0
2016-12-05,1000000.0
2016-12-06,1000000.0
2016-12-07,1000000.0
2016-12-08,1000000.0
2016-12-09,1000000.0
2016-12-12,1000000.0
2016-12-13,1000000.0
2016-12-14,1000000.0
2016-12-15,999503.8951224999
2016-12-16,1002451.3608990001
2016-12-19,1003646.228618
2016-12-20,1002570.3472160001
2016-12-21,1003031.466582
2016-12-22,1005273.803699
2016-12-23,1002128.1405430001
2016-12-26,1001542.8662820001
2016-12-27,1001040.7215440001
2016-12-28,1001061.3459820001
2016-12-29,1001307.541776
2016-12-30,1005128.8300020001
2017-01-03,1007023.4404130001
2017-01-04,1008621.304215
2017-01-05,1007201.3587180001
2017-01-06,1005391.996029
2017-01-09,1006255.628119
2017-01-10,1006520.8093080001
2017-01-11,1005360.9055620001
2017-01-12,1004235.8411190001
2017-01-13,1004166.2976980001
2017-01-16,1007062.118066
2017-01-17,1008057.097197
2017-01-18,1012037.8004970001
2017-01-19,1012169.5497890001
2017-01-20,1013832.4983050001
2017-01-23,1013952.5676040001
2017-01-24,1016741.0960700001
2017-01-25,1018637.3697945001
2017-01-26,1017155.4305165
2017-02-03,1015890.7972625
2017-02-06,1016639.4873325
2017-02-07,1016639.4873325
2017-02-08,1016639.4873325
2017-02-09,1016639.4873325
2017-02-10,1016639.4873325
2017-02-13,1016639.4873325
2017-02-14,1016639.4873325
2017-02-15,1016639.4873325
2017-02-16,1016639.4873325
2017-02-17,1016639.4873325
2017-02-20,1016639.4873325
2017-02-21,1016639.4873325
2017-02-22,1016639.4873325
2017-02-23,1016639.4873325
2017-02-24,1016639.4873325
2017-02-27,1016639.4873325
2017-02-28,1016639.4873325
2017-03-01,1016639.4873325
2017-03-02,1016639.4873325
2017-03-03,1016639.4873325
2017-03-06,1016639.4873325
2017-03-07,1016639.4873325
2017-03-08,1016639.4873325
2017-03-09,1016639.4873325
2017-03-10,1016639.4873325
2017-03-13,1016639.4873325
2017-03-14,1016639.4873325
2017-03-15,1016639.4873325
2017-03-16,1016639.4873325
2017-03-17,1016639.4873325
2017-03-20,1016639.4873325
2017-03-21,1016639.4873325
2017-03-22,1016639.4873325
2017-03-23,1016639.4873325
2017-03-24,1016639.4873325
2017-03-27,1016639.4873325
2017-03-28,1017173.7651325001
2017-03-29,1016334.9637285001
2017-03-30,1017453.3656005
2017-03-31,1017453.3656005
2017-04-05,1018991.1681745001
2017-04-06,1019410.5688765
2017-04-07,1020389.1705145
2017-04-10,1021227.9719185
2017-04-11,1022625.9742585
2017-04-12,1021088.1716845001
2017-04-13,1023604.5758965
2017-04-14,1023185.1751945
2017-04-17,1021647.3726205
2017-04-18,1023324.9754285
2017-04-19,1023185.1751945
2017-04-20,1020389.1705145
2017-04-21,1024722.9777685001
2017-04-24,1022625.9742585
2017-04-25,1025841.3796405001
2017-04-26,1026260.7803425001
2017-04-27,1026540.3808105
2017-04-28,1026069.9505075001
2017-05-02,1026069.9505075001
2017-05-03,1029506.2669065001
2017-05-04,1029103.9046325
2017-05-05,1018617.5606085
2017-05-08,997261.2805415001
2017-05-09,997368.1605445
2017-05-10,987260.644509
2017-05-11,987645.033205
2017-05-12,984217.8431140002
2017-05-15,987592.65006
2017-05-16,1003031.9009990001
2017-05-17,1008630.488923
2017-05-18,1005390.5360800001
2017-05-19,1012722.8009580001
2017-05-22,1003398.023332
2017-05-23,998677.145539
2017-05-24,995126.9311835002
2017-05-25,1011001.1412275
2017-05-26,1013042.8471245002
2017-05-31,1008637.8962595002
2017-06-01,998508.6006225001
2017-06-02,1003071.0310505002
2017-06-05,1010221.6998385001
2017-06-06,1019907.5397045001
2017-06-07,1039255.1470525002
2017-06-08,1034072.9186810002
2017-06-09,1030146.3659240003
2017-06-12,1025218.8927280002
2017-06-13,1030040.6236730001
2017-06-14,1030156.5877170002
2017-06-15,1034913.5186990002
2017-06-16,1031590.4347020001
2017-06-19,1032127.9127890002
2017-06-20,1035240.5008070003
2017-06-21,1035980.3811370002
2017-06-22,1028116.9049330002
2017-06-23,1028351.5303570003
2017-06-26,1034572.1514350004
2017-06-27,1039274.1956785003
2017-06-28,1038986.1433325004
2017-06-29,1039709.7260975004
2017-06-30,1040143.8757565004
2017-07-03,1041156.8916275003
2017-07-04,1040722.7419685004
2017-07-05,1040867.4585215003
2017-07-06,1040433.3088625004
2017-07-07,1040433.3088625004
2017-07-10,1039565.0095445004
2017-07-11,1038841.4267795003
2017-07-12,1037538.9778025004
2017-07-13,1038542.2344875004
2017-07-14,1038993.7132850004
2017-07-17,1032545.3760050004
2017-07-18,1033858.6261490004
2017-07-19,1043508.1875730003
2017-07-20,1044352.5756200004
2017-07-21,1046376.7880710004
2017-07-24,1047371.2520560004
2017-07-25,1043331.8380670004
2017-07-26,1036493.1777200004
2017-07-27,1041132.4302650003
2017-07-28,1044379.1015860003
2017-07-31,1047972.3484630004
2017-08-01,1049080.3296670003
2017-08-02,1044763.4193610004
2017-08-03,1046679.8567490004
2017-08-04,1042825.7356700003
2017-08-07,1043966.5668460004
2017-08-08,1044802.9425910003
2017-08-09,1048314.2643700005
2017-08-10,1044432.9611240004
2017-08-11,1040057.8515380004
2017-08-14,1044874.7632880004
2017-08-15,1047842.5023940004
2017-08-16,1051079.7228120004
2017-08-17,1050548.9859980005
2017-08-18,1051951.1443240005
2017-08-21,1051301.1187900002
2017-08-22,1049801.8716520004
2017-08-23,1048946.8785470005
2017-08-24,1058683.9143150004
2017-08-25,1060292.7058900003
2017-08-28,1060964.2457860003
2017-08-29,1060868.3086975005
