code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret
sh.600006,2019-06-25,5.48,2019-07-02,5.44,TRAIL,6,-0.007299,-0.010802
sh.600007,2021-05-19,23.28,2021-05-20,22.15,TRAIL,2,-0.04854,-0.052041
sh.600007,2022-03-28,16.38,2022-03-29,16.425,TRAIL,2,0.002747,-0.000774
sh.600032,2021-08-26,12.91,2021-08-30,11.745,TRAIL,3,-0.09024,-0.093711
sh.600032,2021-09-03,12.87,2021-09-06,12.861,TRAIL,2,-0.000699,-0.004308
sh.600032,2022-03-30,14.56,2022-04-07,13.581,TRAIL,5,-0.067239,-0.070783
sh.600032,2026-03-25,11.65,2026-03-26,12.69,TRAIL,2,0.08927,0.085564
sh.600032,2026-04-22,10.96,2026-04-23,11.16,TRAIL,2,0.018248,0.014707
sh.600032,2026-05-19,11.03,2026-05-22,10.431,TRAIL,4,-0.054306,-0.057732
sh.600035,2020-03-17,3.3,2020-03-31,3.249,TRAIL,11,-0.015455,-0.018941
sh.600037,2020-06-16,14.06,2020-06-19,14.643,TRAIL,4,0.041465,0.037887
sh.600055,2022-02-16,29.69,2022-02-22,31.239,TRAIL,5,0.052172,0.048471
sh.600056,2022-03-30,35.98,2022-03-31,39.834,TRAIL,2,0.107115,0.103065
sh.600056,2022-12-16,20.3,2022-12-21,18.66,TRAIL,4,-0.080788,-0.084399
sh.600116,2021-09-08,11.85,2021-09-09,11.016,TRAIL,2,-0.07038,-0.073829
sh.600117,2018-06-21,5.24,2018-06-22,5.4,TRAIL,2,0.030534,0.026984
sh.600117,2020-12-11,4.6,2020-12-14,4.01,TRAIL,2,-0.128261,-0.131604
sh.600117,2021-04-13,4.26,2021-04-14,4.09,TRAIL,2,-0.039906,-0.043367
sh.600117,2024-10-18,2.99,2024-10-21,2.691,TRAIL,2,-0.1,-0.103363
sh.600117,2025-07-30,4.06,2025-07-31,4.068,TRAIL,2,0.00197,-0.001559
sh.600120,2024-10-15,4.5,2024-10-16,4.2,TRAIL,2,-0.066667,-0.070077
sh.600120,2025-02-11,7.5,2025-02-13,8.937,TRAIL,3,0.1916,0.187787
sh.600123,2021-05-26,7.25,2021-06-04,6.984,TRAIL,8,-0.03669,-0.040196
sh.600123,2021-10-19,13.11,2021-10-20,12.48,TRAIL,2,-0.048055,-0.051573
sh.600123,2021-10-26,13.25,2021-10-27,12.402,TRAIL,2,-0.064,-0.067482
sh.600129,2020-02-04,12.34,2020-02-10,12.843,TRAIL,5,0.040762,0.037188
sh.600129,2020-06-24,14.53,2020-07-16,16.506,TRAIL,15,0.135994,0.132143
sh.600129,2021-06-23,19.69,2021-06-28,18.225,TRAIL,4,-0.074403,-0.077807
sh.600129,2021-06-30,20.84,2021-07-01,20.538,TRAIL,2,-0.014491,-0.018169
sh.600129,2022-03-30,22.01,2022-03-31,21.24,TRAIL,2,-0.034984,-0.038567
sh.600131,2017-07-14,8.3,2017-07-27,8.451,TRAIL,10,0.018193,0.014661
sh.600131,2019-04-03,20.45,2019-04-10,19.755,TRAIL,5,-0.033985,-0.037657
sh.600131,2021-09-08,16.38,2021-09-15,14.796,TRAIL,6,-0.096703,-0.100076
sh.600131,2026-03-20,21.78,2026-03-24,19.611,TRAIL,3,-0.099587,-0.103085
sh.600133,2026-01-15,10.8,2026-01-19,10.404,TRAIL,3,-0.036667,-0.04014
sh.600151,2020-08-19,8.53,2020-08-20,8.24,TRAIL,2,-0.033998,-0.037512
sh.600151,2020-09-01,8.81,2020-09-02,8.208,TRAIL,2,-0.068331,-0.071761
sh.600151,2022-08-29,11.08,2022-09-15,10.512,TRAIL,13,-0.051264,-0.054689
sh.600151,2025-12-15,16.0,2025-12-16,16.434,TRAIL,2,0.027125,0.023543
sh.600151,2026-01-06,19.09,2026-01-08,18.66,TRAIL,3,-0.022525,-0.026039
sh.600158,2016-12-09,21.1,2016-12-30,25.146,TRAIL,16,0.191754,0.187781
sh.600158,2020-08-20,12.7,2020-08-21,14.04,TRAIL,2,0.105512,0.101729
sh.600158,2020-08-25,16.09,2020-08-26,15.93,TRAIL,2,-0.009944,-0.013465
sh.600158,2023-06-01,11.55,2023-06-02,11.241,TRAIL,2,-0.026753,-0.030295
sh.600158,2026-04-08,11.8,2026-04-17,10.98,TRAIL,8,-0.069492,-0.072947
sh.600158,2026-05-06,11.85,2026-05-18,13.401,TRAIL,9,0.130886,0.127135
sh.600158,2026-05-29,11.47,2026-06-02,10.62,TRAIL,3,-0.074106,-0.077585
sh.600162,2019-08-30,2.24,2019-09-04,2.37,TRAIL,4,0.058036,0.054434
sh.600162,2024-11-06,2.1,2024-11-07,2.12,TRAIL,2,0.009524,0.005996
sh.600162,2026-06-22,3.7,2026-06-24,3.735,TRAIL,3,0.009459,0.005944
sh.600162,2026-08-03,3.2,2026-08-04,3.05,TRAIL,2,-0.046875,-0.050313
sh.600163,2019-05-22,4.66,2019-05-23,4.437,TRAIL,2,-0.047854,-0.051304
sh.600163,2021-03-09,4.87,2021-03-25,4.851,TRAIL,13,-0.003901,-0.007422
sh.600163,2021-09-22,9.08,2021-09-24,9.774,TRAIL,3,0.076432,0.072816
sh.600163,2021-11-18,8.58,2021-11-24,8.217,TRAIL,5,-0.042308,-0.045804
sh.600169,2022-07-14,3.03,2022-07-15,2.79,TRAIL,2,-0.079208,-0.082589
sh.600169,2025-09-29,2.68,2025-10-31,2.71,TRAIL,19,0.011194,0.007669
sh.600171,2021-06-18,26.95,2021-06-24,27.61,TRAIL,5,0.02449,0.020716
sh.600171,2021-06-29,30.23,2021-07-01,29.016,TRAIL,3,-0.040159,-0.043701
sh.600171,2021-07-15,35.7,2021-07-19,36.27,TRAIL,3,0.015966,0.012042
sh.600171,2024-07-31,24.0,2024-08-01,23.68,TRAIL,2,-0.013333,-0.016855
sh.600171,2024-10-15,29.2,2024-10-16,27.2,TRAIL,2,-0.068493,-0.072032
