code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,score,ret5,shrink,gap,density,priority
sz.000957,2017-10-17,49.966,2017-10-19,48.467,SL,3,-0.03,-0.032948,0.2154,-0.1404,0.6722,-0.0046,9,0.2154
sz.000818,2017-10-17,17.4023,2017-10-18,16.8803,SL,2,-0.03,-0.032947,0.2008,-0.0421,0.5611,0.0078,9,0.2008
sh.600776,2017-10-17,27.7537,2017-10-19,26.9211,SL,3,-0.03,-0.032948,0.1873,-0.1145,0.7034,0.009,9,0.1873
sz.002446,2017-10-17,65.0499,2017-10-18,63.0984,SL,2,-0.03,-0.032948,0.1799,-0.1021,0.7033,0.01,9,0.1799
sh.600638,2017-10-17,159.9943,2017-10-24,157.6294,TIME,6,-0.014781,-0.017755,0.1687,-0.0316,0.6258,-0.0096,9,0.1687
sz.000899,2017-10-17,19.1331,2017-10-19,18.5591,SL,3,-0.03,-0.032948,0.166,-0.0156,0.6085,-0.0053,9,0.166
sz.000823,2017-10-17,29.6167,2017-10-18,31.0975,TP,2,0.05,0.046913,0.1517,-0.0617,0.7132,-0.0035,9,0.1517
sz.000550,2017-10-17,38.5802,2017-10-24,37.6217,TIME,6,-0.024845,-0.027801,0.15,-0.046,0.6939,-0.0014,9,0.15
sz.002199,2017-11-20,40.7732,2017-11-20,39.55,SL,1,-0.03,-0.032947,0.206,-0.0964,0.6297,0.0013,2,0.206
sz.002301,2017-11-20,53.8861,2017-11-24,52.2695,SL,5,-0.03,-0.032947,0.1235,-0.0267,0.7313,0.0,2,0.1235
sh.603306,2018-02-07,40.5297,2018-02-07,39.3138,SL,1,-0.03,-0.032947,0.1979,-0.1021,0.6585,0.0015,4,0.1979
sh.603085,2018-02-07,52.2565,2018-02-09,50.6888,SL,3,-0.03,-0.032948,0.1932,-0.032,0.5651,0.0008,4,0.1932
sz.002173,2018-02-07,32.897,2018-02-07,31.9101,SL,1,-0.03,-0.032948,0.1848,-0.1392,0.7467,0.0074,4,0.1848
sz.002723,2018-02-07,34.5597,2018-02-14,35.2734,TIME,6,0.020649,0.017613,0.1305,-0.0059,0.6826,0.0012,4,0.1305
sz.002054,2018-02-27,22.3713,2018-03-01,23.4899,TP,3,0.05,0.046913,0.1792,-0.1108,0.7182,0.0089,6,0.1792
sz.002478,2018-02-27,11.4564,2018-03-06,11.853,TIME,6,0.034623,0.031563,0.1359,-0.0373,0.7162,0.0,6,0.1359
sz.002086,2018-02-27,42.4265,2018-03-06,42.7567,TIME,6,0.007782,0.004768,0.1084,0.0363,0.6745,0.001,6,0.1084
sh.603889,2018-02-27,47.8105,2018-03-05,50.201,TP,5,0.05,0.046913,0.1034,0.0013,0.7395,0.0013,6,0.1034
sh.600319,2018-02-27,9.0716,2018-03-06,8.7994,SL,6,-0.03,-0.032948,0.0993,0.0049,0.7443,0.0,6,0.0993
sz.002262,2018-02-27,114.8919,2018-02-28,110.2896,SL,2,-0.040058,-0.042988,0.0809,0.0515,0.7204,0.0044,6,0.0809
sh.600868,2018-03-13,156.4879,2018-03-13,164.3123,TP,1,0.05,0.046913,0.1598,-0.0354,0.6535,-0.0061,4,0.1598
sz.002124,2018-03-13,69.89,2018-03-20,67.7933,SL,6,-0.03,-0.032947,0.1337,-0.0217,0.6983,0.0021,4,0.1337
sz.002522,2018-03-13,80.9275,2018-03-14,78.4997,SL,2,-0.03,-0.032947,0.1111,0.0176,0.6959,0.0092,4,0.1111
sh.600318,2018-03-13,30.4306,2018-03-15,29.5177,SL,3,-0.03,-0.032947,0.1015,-0.0008,0.7475,-0.0017,4,0.1015
sh.603678,2018-03-26,56.7806,2018-03-26,59.6196,TP,1,0.05,0.046913,0.203,-0.1466,0.7125,-0.011,3,0.203
sh.600192,2018-03-26,7.6639,2018-03-26,7.434,SL,1,-0.03,-0.032948,0.1991,-0.138,0.7093,-0.0341,3,0.1991
sh.600876,2018-03-26,17.3851,2018-03-26,16.8636,SL,1,-0.03,-0.032948,0.1905,-0.1347,0.7257,-0.0351,3,0.1905
sh.603090,2018-06-20,14.7076,2018-06-21,14.2664,SL,2,-0.03,-0.032948,0.2675,-0.2567,0.7163,-0.0081,6,0.2675
sh.601858,2018-06-20,9.3654,2018-06-21,9.0845,SL,2,-0.03,-0.032948,0.2482,-0.1917,0.6671,-0.0171,6,0.2482
sz.002871,2018-06-20,31.8274,2018-06-21,33.4188,TP,2,0.05,0.046912,0.2276,-0.2049,0.7383,-0.0032,6,0.2276
sh.603218,2018-06-20,17.9405,2018-06-20,18.8376,TP,1,0.05,0.046912,0.2254,-0.1553,0.6694,-0.0275,6,0.2254
sz.002290,2018-06-20,30.4638,2018-06-20,31.987,TP,1,0.05,0.046913,0.2204,-0.1342,0.6504,-0.0342,6,0.2204
sz.002805,2018-06-20,20.7637,2018-06-20,21.8019,TP,1,0.05,0.046913,0.2183,-0.1729,0.7136,-0.0081,6,0.2183
sh.600746,2018-10-12,29.41,2018-10-12,30.8805,TP,1,0.05,0.046912,0.2395,-0.1294,0.5955,-0.0186,7,0.2395
sh.603838,2018-10-12,18.6172,2018-10-12,18.0587,SL,1,-0.03,-0.032947,0.2345,-0.2025,0.7174,-0.0487,7,0.2345
sz.002667,2018-10-12,23.1802,2018-10-12,24.3392,TP,1,0.05,0.046913,0.2272,-0.1641,0.6782,-0.0332,7,0.2272
