date,nav
2016-10-10,49990.0
2016-10-11,50503.298679680214
2016-10-12,50109.24013723002
2016-10-13,50630.38953478815
2016-10-14,50763.73715250448
2016-10-17,50462.16141310636
2016-10-18,50465.58507010636
2016-10-19,50443.46678510636
2016-10-20,50333.49612710636
2016-10-21,50161.545885671054
2016-10-24,50237.31979475106
2016-10-25,50256.401295791075
2016-10-26,50115.51413236028
2016-10-27,50205.63201598028
2016-10-28,50005.5087732831
2016-10-31,50056.84841334899
2016-11-01,50028.51327220193
2016-11-02,49874.57029621135
2016-11-03,49686.81013509932
2016-11-04,49890.39149506319
2016-11-07,49747.71041163977
2016-11-08,49945.853358719716
2016-11-09,49293.88108215275
2016-11-10,49283.88108215275
2016-11-11,49500.44084545275
2016-11-14,49397.90887145275
2016-11-15,49007.84491266092
2016-11-16,48665.45657338931
2016-11-17,48301.41511976297
2016-11-18,47913.14097978402
2016-11-21,47663.621437164686
2016-11-22,47658.62143716468
2016-11-23,47451.63506316468
2016-11-24,47474.63354916468
2016-11-25,47274.971831175295
2016-11-28,46870.50013911171
2016-11-29,46928.53393001503
2016-11-30,46584.165776177986
2016-12-01,46835.802709881245
2016-12-02,47083.221140848604
2016-12-05,46968.18502666957
2016-12-06,47048.98607066957
2016-12-07,47130.21353066957
2016-12-08,47193.08558666957
2016-12-09,47373.95733171687
2016-12-12,46670.481123175756
2016-12-13,46670.481123175756
2016-12-14,46660.481123175756
2016-12-15,47057.07130130622
2016-12-16,46904.69194730622
2016-12-19,46880.62518930622
2016-12-20,46457.82557109159
2016-12-21,47126.96382597345
2016-12-22,47153.05851700346
2016-12-23,46941.03008324619
2016-12-26,46856.90761144654
2016-12-27,46765.44985544654
2016-12-28,46809.20070344654
2016-12-29,46466.2135956853
2016-12-30,46169.66854010676
2017-01-03,45838.16066997773
2017-01-04,45801.72148597774
2017-01-05,45540.472082977736
2017-01-06,45218.440328228804
2017-01-09,45932.07871150919
2017-01-10,45798.87478529784
2017-01-11,45703.60336129785
2017-01-12,45870.60477184154
2017-01-13,45791.081112058724
2017-01-16,45760.78491913506
2017-01-17,45695.80229713506
2017-01-18,45630.68065113506
2017-01-19,45655.59376113506
2017-01-20,45805.45473713506
2017-01-23,45827.94604813506
2017-01-24,45777.94604813506
2017-01-25,45907.66800013506
2017-01-26,46006.404423119224
2017-02-03,45950.1237398613
2017-02-06,45998.35547372749
2017-02-07,45895.100827655595
2017-02-08,45970.34575542464
2017-02-09,45949.30156672401
2017-02-10,45965.0836430937
2017-02-13,46013.743835623696
2017-02-14,46652.05311611756
2017-02-15,46285.48966670903
2017-02-16,46401.63914536903
2017-02-17,46120.91666517903
2017-02-20,46670.59300715903
2017-02-21,46510.70696015903
2017-02-22,46461.94006622902
2017-02-23,46453.96942337902
2017-02-24,46448.53696872622
2017-02-27,46440.40131322622
2017-02-28,46444.897953269814
2017-03-01,46436.03294783662
2017-03-02,46430.904102747816
2017-03-03,46424.319158863414
2017-03-06,46425.291117713416
2017-03-07,46425.65094393341
2017-03-08,46425.48094393341
2017-03-09,46425.21077015341
2017-03-10,46424.00915886342
2017-03-13,46426.69590431341
2017-03-14,46426.70520919342
2017-03-15,46427.18786316342
2017-03-16,46426.95573053342
2017-03-17,46426.709948523414
2017-03-20,46427.13925340342
2017-03-21,46422.50076282153
2017-03-22,46416.85076282153
2017-03-23,46581.74319634154
2017-03-24,46516.0725600505
2017-03-27,46484.20532458348
2017-03-28,46479.67971258348
2017-03-29,46899.73867361766
2017-03-30,46507.626851703055
2017-03-31,45790.9725460006
2017-04-05,45790.9725460006
2017-04-06,45780.9725460006
2017-04-07,45237.943462352014
2017-04-10,45227.94346235202
2017-04-11,45219.39298745593
2017-04-12,44847.274999556816
2017-04-13,44677.534097089694
2017-04-14,43988.98239706984
2017-04-17,43978.98239706984
2017-04-18,43330.449647887
2017-04-19,43330.449647887
2017-04-20,43320.449647887
2017-04-21,42943.081969887
2017-04-24,42729.20328287204
2017-04-25,42809.20328287204
2017-04-26,42796.20328287204
2017-04-27,42433.773134094496
2017-04-28,43089.41594476158
2017-05-02,42948.41594476158
2017-05-03,42662.263174830354
2017-05-04,42744.57511989497
2017-05-05,42574.70026982179
2017-05-08,42558.70026982179
2017-05-09,42769.70026982179
2017-05-10,42995.87464762179
2017-05-11,42818.111907621795
2017-05-12,43005.111907621795
2017-05-15,42943.111907621795
2017-05-16,42907.111907621795
2017-05-17,42941.111907621795
2017-05-18,42587.77303162179
2017-05-19,42272.9675655219
2017-05-22,41852.47843325674
2017-05-23,41547.585254920705
2017-05-24,41086.48967335882
2017-05-25,41476.93876895882
2017-05-26,41532.372873030574
2017-05-31,41555.872557066454
2017-06-01,41572.02336853439
2017-06-02,41555.246636568365
2017-06-05,41545.722985404675
2017-06-06,41543.21549006145
2017-06-07,41538.21549006145
2017-06-08,41682.19488206145
2017-06-09,41584.031746061446
2017-06-12,40811.59853978158
2017-06-13,40801.59853978158
2017-06-14,40992.171315409774
2017-06-15,40911.69591534007
2017-06-16,41058.826432396454
2017-06-19,41215.24160605087
2017-06-20,41138.09422711398
2017-06-21,41129.82894611398
2017-06-22,41237.755191145974
2017-06-23,41223.99805760112
2017-06-26,41222.09904209869
2017-06-27,41310.94399759248
2017-06-28,41229.481709635
2017-06-29,41214.08128880678
2017-06-30,40773.7015123328
2017-07-03,40799.202482332796
2017-07-04,40663.0278833328
2017-07-05,40853.2247513328
2017-07-06,40549.26155333279
2017-07-07,40989.56567598249
2017-07-10,41063.2433759016
2017-07-11,40900.615442070695
2017-07-12,40815.21272607069
2017-07-13,41004.318740070696
2017-07-14,41028.71951607069
2017-07-17,41166.621305495595
2017-07-18,41014.78159547123
2017-07-19,41193.625851471224
2017-07-20,41233.369019471225
2017-07-21,41260.016858459974
2017-07-24,41255.93708995434
2017-07-25,41209.170089701525
2017-07-26,41206.88409557512
2017-07-27,41192.684319511915
2017-07-28,41193.30530651192
2017-07-31,41189.60479498032
2017-08-01,41183.763020125145
2017-08-02,41177.33613375756
2017-08-03,41172.51691185377
2017-08-04,41163.35808056303
2017-08-07,41472.76467102236
2017-08-08,41307.19080025203
2017-08-09,41247.73376287306
2017-08-10,41247.73376287306
2017-08-11,41017.891402029665
2017-08-14,41260.25535636677
2017-08-15,41173.38946836677
2017-08-16,41066.73249180085
2017-08-17,40835.920301172955
2017-08-18,40802.29256617295
2017-08-21,41004.05897617295
2017-08-22,40634.15389117296
2017-08-23,40637.89030617295
2017-08-24,40738.773511172956
2017-08-25,40813.50181117295
2017-08-28,41063.15401523815
2017-08-29,40879.661580641245
2017-08-30,41507.58645257926
2017-08-31,41132.27340239342
2017-09-01,41757.16593118031
2017-09-04,41813.88061002634
2017-09-05,41799.79459678947
2017-09-06,41652.18967678947
2017-09-07,41486.56904756596
2017-09-08,41481.56904756596
2017-09-11,41238.13057839027
2017-09-12,40911.14926400494
2017-09-13,41078.61649607026
2017-09-14,40947.55517625504
2017-09-15,40591.965341913216
2017-09-18,40441.144241913215
2017-09-19,40292.151888356355
2017-09-20,40322.41926335636
2017-09-21,40183.18933835636
2017-09-22,40201.34976335635
2017-09-25,40095.776266837216
2017-09-26,40095.776266837216
2017-09-27,40090.776266837216
2017-09-28,39895.72994283721
2017-09-29,40090.776266837216
2017-10-09,40145.886007881476
2017-10-10,40138.5543479827
2017-10-11,39990.4814879827
2017-10-12,39779.020870206354
2017-10-13,39872.82950430898
2017-10-16,39803.65255258824
2017-10-17,39486.37177832823
2017-10-18,39486.37177832823
2017-10-19,39481.37177832823
2017-10-20,40056.31661005723
2017-10-23,40007.74014205723
2017-10-24,39713.611478549996
2017-10-25,39405.46383612418
2017-10-26,39020.32070438325
2017-10-27,39063.32676038325
2017-10-30,38727.41299820381
2017-10-31,38670.37871120381
2017-11-01,38860.49300120381
2017-11-02,38765.43585620381
2017-11-03,38651.367282203806
2017-11-06,38997.75088955116
2017-11-07,38964.06983147483
2017-11-08,38931.654756810516
2017-11-09,38926.61323178451
2017-11-10,38919.84738266618
2017-11-13,38914.84738266618
2017-11-14,39138.45521852806
2017-11-15,38951.645499219216
2017-11-16,39155.41433752026
2017-11-17,38982.95984226885
2017-11-20,39365.07771781777
2017-11-21,39403.46593592732
2017-11-22,39415.666323927326
2017-11-23,39214.359921927324
2017-11-24,39043.67282071318
2017-11-27,39377.42961497535
2017-11-28,39227.14886047483
