date,nav
2016-08-29,100000.0
2016-08-30,100000.0
2016-08-31,100000.0
2016-09-01,100000.0
2016-09-02,100000.0
2016-09-05,100000.0
2016-09-06,100000.0
2016-09-07,100000.0
2016-09-08,100000.0
2016-09-09,100000.0
2016-09-12,100000.0
2016-09-13,100000.0
2016-09-14,100000.0
2016-09-19,100000.0
2016-09-20,100000.0
2016-09-21,100000.0
2016-09-22,100000.0
2016-09-23,100000.0
2016-09-26,100000.0
2016-09-27,100000.0
2016-09-28,100000.0
2016-09-29,100000.0
2016-09-30,100000.0
2016-10-10,100000.0
2016-10-11,100000.0
2016-10-12,100000.0
2016-10-13,100000.0
2016-10-14,100000.0
2016-10-17,100000.0
2016-10-18,100000.0
2016-10-19,100000.0
2016-10-20,100000.0
2016-10-21,100000.0
2016-10-24,100000.0
2016-10-25,100000.0
2016-10-26,100000.0
2016-10-27,100000.0
2016-10-28,100000.0
2016-10-31,100000.0
2016-11-01,100000.0
2016-11-02,100000.0
2016-11-03,100000.0
2016-11-04,100000.0
2016-11-07,100000.0
2016-11-08,100000.0
2016-11-09,100000.0
2016-11-10,100000.0
2016-11-11,100000.0
2016-11-14,100000.0
2016-11-15,100000.0
2016-11-16,100000.0
2016-11-17,100000.0
2016-11-18,100000.0
2016-11-21,100000.0
2016-11-22,100000.0
2016-11-23,100000.0
2016-11-24,100000.0
2016-11-25,100000.0
2016-11-28,100000.0
2016-11-29,100000.0
2016-11-30,100000.0
2016-12-01,100000.0
2016-12-02,100000.0
2016-12-05,100000.0
2016-12-06,100000.0
2016-12-07,100000.0
2016-12-08,100000.0
2016-12-09,100000.0
2016-12-12,100000.0
2016-12-13,100000.0
2016-12-14,99202.621376
2016-12-15,100389.35955600001
2016-12-16,101840.72998599999
2016-12-19,101305.02883
2016-12-20,101498.104384
2016-12-21,103510.724996
2016-12-22,103677.73359000002
2016-12-23,101903.78583000001
2016-12-26,101544.3326
2016-12-27,101484.61215
2016-12-28,100886.5588
2016-12-29,100489.3334
2016-12-30,100431.61185
2017-01-03,101333.61185
2017-01-04,101733.44940000001
2017-01-05,101427.7875
2017-01-06,100109.419905
2017-01-09,100010.138905
2017-01-10,99930.138905
2017-01-11,99497.773705
2017-01-12,99423.259305
2017-01-13,99423.259305
2017-01-16,99423.259305
2017-01-17,99423.259305
2017-01-18,99423.259305
2017-01-19,99423.259305
2017-01-20,99423.259305
2017-01-23,99423.259305
2017-01-24,99423.259305
2017-01-25,99423.259305
2017-01-26,99423.259305
2017-02-03,99423.259305
2017-02-06,99423.259305
2017-02-07,99423.259305
2017-02-08,99423.259305
2017-02-09,99423.259305
2017-02-10,99423.259305
2017-02-13,99423.259305
2017-02-14,99423.259305
2017-02-15,99423.259305
2017-02-16,99423.259305
2017-02-17,99423.259305
2017-02-20,99423.259305
2017-02-21,99423.259305
2017-02-22,99423.259305
2017-02-23,99423.259305
2017-02-24,99423.259305
2017-02-27,99423.259305
2017-02-28,99423.259305
2017-03-01,99423.259305
2017-03-02,99423.259305
2017-03-03,99423.259305
2017-03-06,99423.259305
2017-03-07,99423.259305
2017-03-08,99423.259305
2017-03-09,99423.259305
2017-03-10,99423.259305
2017-03-13,99423.259305
2017-03-14,99423.259305
2017-03-15,99423.259305
2017-03-16,99423.259305
2017-03-17,99423.259305
2017-03-20,99423.259305
2017-03-21,99423.259305
2017-03-22,99423.259305
2017-03-23,99423.259305
2017-03-24,99423.259305
2017-03-27,99423.259305
2017-03-28,99423.259305
2017-03-29,99423.259305
2017-03-30,99423.259305
2017-03-31,99423.259305
2017-04-05,99423.259305
2017-04-06,99423.259305
2017-04-07,99423.259305
2017-04-10,99423.259305
2017-04-11,99423.259305
2017-04-12,99423.259305
2017-04-13,99423.259305
2017-04-14,99423.259305
2017-04-17,99423.259305
2017-04-18,99423.259305
2017-04-19,99423.259305
2017-04-20,98990.59468
2017-04-21,97932.93639
2017-04-24,96691.03828000001
2017-04-25,97055.12612500001
2017-04-26,97582.85135499999
2017-04-27,100796.38965999999
2017-04-28,101541.07512
2017-05-02,100776.70209499999
2017-05-03,101349.06845499999
2017-05-04,100413.61424999998
2017-05-05,98673.617995
2017-05-08,95779.816675
2017-05-09,96186.94349499998
2017-05-10,95570.76405999999
2017-05-11,94651.4859
2017-05-12,94955.4859
2017-05-15,94905.9519
2017-05-16,94905.9519
2017-05-17,94905.9519
2017-05-18,94905.9519
2017-05-19,94905.9519
2017-05-22,94905.9519
2017-05-23,94905.9519
2017-05-24,94905.9519
2017-05-25,97009.876388
2017-05-26,96769.38762200001
2017-05-31,96559.67751300002
2017-06-01,92347.595562
2017-06-02,95039.07858999999
2017-06-05,96339.562413
2017-06-06,97104.453202
2017-06-07,98185.254032
2017-06-08,97876.87059199999
2017-06-09,97860.095153
2017-06-12,97003.177257
2017-06-13,97657.892139
2017-06-14,97825.730081
2017-06-15,98026.92191
2017-06-16,97958.16046500001
2017-06-19,97958.16046500001
2017-06-20,97958.16046500001
2017-06-21,97958.16046500001
2017-06-22,97958.16046500001
2017-06-23,97958.16046500001
2017-06-26,97958.16046500001
2017-06-27,97958.16046500001
2017-06-28,97958.16046500001
2017-06-29,97958.16046500001
2017-06-30,97958.16046500001
2017-07-03,97958.16046500001
2017-07-04,97958.16046500001
2017-07-05,97958.16046500001
2017-07-06,97958.16046500001
2017-07-07,97958.16046500001
2017-07-10,97958.16046500001
2017-07-11,97958.16046500001
2017-07-12,97958.16046500001
2017-07-13,97958.16046500001
2017-07-14,97958.16046500001
2017-07-17,97958.16046500001
2017-07-18,97958.16046500001
2017-07-19,97958.16046500001
2017-07-20,97958.16046500001
2017-07-21,97958.16046500001
2017-07-24,97958.16046500001
2017-07-25,97958.16046500001
2017-07-26,97958.16046500001
2017-07-27,97958.16046500001
2017-07-28,97958.16046500001
2017-07-31,97958.16046500001
2017-08-01,97958.16046500001
2017-08-02,97958.16046500001
2017-08-03,97958.16046500001
2017-08-04,97958.16046500001
2017-08-07,97958.16046500001
2017-08-08,97958.16046500001
2017-08-09,97958.16046500001
2017-08-10,97958.16046500001
2017-08-11,97958.16046500001
2017-08-14,97958.16046500001
2017-08-15,97958.16046500001
2017-08-16,97958.16046500001
2017-08-17,97958.16046500001
2017-08-18,97958.16046500001
2017-08-21,97958.16046500001
2017-08-22,97958.16046500001
2017-08-23,97958.16046500001
2017-08-24,97958.16046500001
2017-08-25,97958.16046500001
2017-08-28,97958.16046500001
2017-08-29,97958.16046500001
2017-08-30,97958.16046500001
2017-08-31,97958.16046500001
2017-09-01,97958.16046500001
2017-09-04,97958.16046500001
2017-09-05,97958.16046500001
2017-09-06,97958.16046500001
2017-09-07,97958.16046500001
2017-09-08,97958.16046500001
2017-09-11,97958.16046500001
2017-09-12,97958.16046500001
2017-09-13,97958.16046500001
2017-09-14,97958.16046500001
2017-09-15,97958.16046500001
2017-09-18,97958.16046500001
2017-09-19,97958.16046500001
2017-09-20,97958.16046500001
2017-09-21,97958.16046500001
2017-09-22,97958.16046500001
2017-09-25,97958.16046500001
2017-09-26,97958.16046500001
2017-09-27,97958.16046500001
2017-09-28,97958.16046500001
2017-09-29,97958.16046500001
2017-10-09,97958.16046500001
2017-10-10,97958.16046500001
2017-10-11,97958.16046500001
2017-10-12,97958.16046500001
2017-10-13,97958.16046500001
2017-10-16,97958.16046500001
2017-10-17,97958.16046500001
2017-10-18,97958.16046500001
2017-10-19,97958.16046500001
