code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,vol_ratio,density,mc
sh.600004,2018-07-02,27.5666,2018-07-13,30.781,MA,10,0.116604,0.1134,,62,179.31587730634268
sh.600006,2019-05-09,14.0067,2019-05-23,12.8862,STOP,11,-0.08,-0.08286,,144,108.0167992676153
sh.600006,2020-02-05,10.0342,2020-02-21,11.3631,MA,13,0.132432,0.129201,,525,108.0167992676153
sh.600006,2022-04-28,12.1206,2022-05-13,13.486,MA,9,0.112644,0.109447,,837,108.0167992676153
sh.600012,2018-06-21,10.1244,2018-06-27,9.3145,STOP,5,-0.08,-0.08286,,348,188.35714435121423
sh.600032,2026-06-30,7.1805,2026-07-09,6.6061,STOP,8,-0.08,-0.08286,,83,175.31594652438343
sh.600061,2018-06-21,39.1813,2018-07-23,38.2589,MA,23,-0.023542,-0.026501,,348,409.918998882144
sh.600061,2019-05-09,50.7853,2019-05-29,53.0783,MA,15,0.045151,0.042071,,144,409.918998882144
sh.600063,2026-07-24,62.334,2026-08-04,65.8474,MA,8,0.056364,0.053265,,72,122.3515698329469
sh.600085,2022-04-28,322.8402,2022-05-09,373.6209,MA,5,0.157294,0.154018,,837,340.51358251874876
sh.600095,2017-05-25,20.156,2017-06-12,23.6398,MA,11,0.17284,0.169537,,82,232.70033901727098
sh.600095,2018-06-21,11.2126,2018-07-17,11.4347,MA,19,0.019802,0.016767,,348,232.70033901727098
sh.600095,2020-02-05,22.4196,2020-02-18,26.0634,MA,10,0.162531,0.159247,,525,232.70033901727098
sh.600095,2022-04-28,17.6413,2022-05-18,19.6575,MA,12,0.114286,0.111086,,837,232.70033901727098
sh.600100,2018-06-21,127.8396,2018-07-13,138.4562,MA,17,0.083046,0.079901,,348,234.3442614534583
sh.600100,2022-04-28,64.5593,2022-05-24,68.4298,MA,16,0.059952,0.056847,,837,234.3442614534583
sh.600100,2025-04-10,109.9211,2025-05-07,112.7078,MA,17,0.025352,0.022308,,463,234.3442614534583
sh.600110,2018-06-25,59.4598,2018-07-11,61.9739,MA,13,0.042283,0.039209,,110,177.31260240383065
sh.600110,2022-04-28,98.0585,2022-05-12,107.9102,MA,8,0.100467,0.097291,,837,177.31260240383065
sh.600110,2024-02-07,46.7109,2024-02-26,53.484,MA,8,0.145,0.141746,,986,177.31260240383065
sh.600110,2025-04-09,38.3029,2025-04-29,33.7486,STOP,15,-0.118902,-0.121694,,136,177.31260240383065
sh.600113,2018-02-09,23.6807,2018-03-06,27.1658,MA,13,0.14717,0.143912,,234,127.30920424287454
sh.600113,2018-10-18,18.4726,2018-10-19,16.9948,STOP,2,-0.08,-0.08286,,78,127.30920424287454
sh.600113,2022-04-28,23.4047,2022-05-17,25.3721,MA,11,0.084058,0.080911,,837,127.30920424287454
sh.600113,2024-02-07,20.1239,2024-02-08,18.0973,STOP,2,-0.100707,-0.10353,,986,127.30920424287454
sh.600113,2024-02-20,21.3683,2024-02-27,23.6793,MA,6,0.108153,0.104964,,226,127.30920424287454
sh.600114,2022-04-28,31.1653,2022-05-19,33.4681,MA,13,0.073892,0.070762,,837,180.91931584984619
sh.600114,2024-01-24,62.503,2024-01-29,57.5028,STOP,4,-0.08,-0.08286,,148,180.91931584984619
sh.600114,2025-04-10,98.0383,2025-04-24,101.7988,MA,11,0.038358,0.035291,,463,180.91931584984619
sh.600114,2026-07-15,173.2886,2026-07-16,159.4255,STOP,2,-0.08,-0.08286,,84,180.91931584984619
sh.600120,2022-04-28,210.9029,2022-05-20,224.7227,MA,14,0.065527,0.062412,,837,174.03203842095002
sh.600120,2025-04-09,339.1765,2025-04-30,372.1431,MA,16,0.097196,0.094026,,136,174.03203842095002
sh.600131,2019-05-22,60.752,2019-06-05,55.8919,STOP,11,-0.08,-0.08286,,61,187.51487826590264
sh.600131,2020-02-05,57.6389,2020-02-18,69.9092,MA,10,0.212881,0.209509,,525,187.51487826590264
sh.600141,2018-06-21,25.6332,2018-07-10,28.5614,MA,14,0.114232,0.111032,,348,373.9618031507005
sh.600141,2019-05-15,24.7452,2019-05-29,24.9852,MA,11,0.009699,0.006682,,86,373.9618031507005
sh.600141,2026-07-28,84.8369,2026-08-06,91.1137,MA,8,0.073986,0.070856,,79,373.9618031507005
sh.600143,2025-04-09,150.1226,2025-04-22,174.0316,MA,10,0.159263,0.155985,,136,409.1221739313861
sh.600151,2017-05-25,25.9541,2017-06-15,26.9606,MA,14,0.038781,0.035713,,82,148.29122353091628
