code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,vol_ratio,density,mc
sh.600006,2020-02-05,10.0342,2020-02-21,11.3631,MA,13,0.132432,0.129201,3.1824,525,108.0167992676153
sh.600012,2018-06-21,10.1244,2018-06-27,9.3145,STOP,5,-0.08,-0.08286,1.9425,348,188.35714435121423
sh.600085,2022-04-28,322.8402,2022-05-09,373.6209,MA,5,0.157294,0.154018,1.629,837,340.51358251874876
sh.600095,2020-02-05,22.4196,2020-02-18,26.0634,MA,10,0.162531,0.159247,1.7705,525,232.70033901727098
sh.600100,2018-06-21,127.8396,2018-07-13,138.4562,MA,17,0.083046,0.079901,3.4137,348,234.3442614534583
sh.600100,2022-04-28,64.5593,2022-05-24,68.4298,MA,16,0.059952,0.056847,4.2258,837,234.3442614534583
sh.600100,2025-04-10,109.9211,2025-05-07,112.7078,MA,17,0.025352,0.022308,2.013,463,234.3442614534583
sh.600110,2022-04-28,98.0585,2022-05-12,107.9102,MA,8,0.100467,0.097291,1.7634,837,177.31260240383065
sh.600110,2024-02-07,46.7109,2024-02-26,53.484,MA,8,0.145,0.141746,1.7218,986,177.31260240383065
sh.600110,2025-04-09,38.3029,2025-04-29,33.7486,STOP,15,-0.118902,-0.121694,2.0717,136,177.31260240383065
sh.600113,2024-02-07,20.1239,2024-02-08,18.0973,STOP,2,-0.100707,-0.10353,2.5529,986,127.30920424287454
sh.600120,2025-04-09,339.1765,2025-04-30,372.1431,MA,16,0.097196,0.094026,2.3025,136,174.03203842095002
sh.600131,2020-02-05,57.6389,2020-02-18,69.9092,MA,10,0.212881,0.209509,1.5315,525,187.51487826590264
sh.600143,2025-04-09,150.1226,2025-04-22,174.0316,MA,10,0.159263,0.155985,2.6315,136,409.1221739313861
sh.600151,2022-04-28,27.4219,2022-05-16,32.1549,MA,10,0.172596,0.169293,2.3193,837,148.29122353091628
sh.600151,2024-02-07,15.4994,2024-02-26,19.2929,MA,8,0.244755,0.241327,1.7971,986,148.29122353091628
sh.600172,2024-02-07,15.8534,2024-02-22,19.9833,MA,6,0.260504,0.257048,1.7598,986,157.10302567340872
sh.600179,2018-06-21,14.8185,2018-07-04,17.2576,MA,10,0.1646,0.161312,1.6497,348,167.43666648013402
sh.600184,2020-02-05,28.9027,2020-02-19,32.6539,MA,11,0.129787,0.12656,2.1002,525,102.77115636875641
sh.600184,2022-04-28,31.1765,2022-05-11,37.4614,MA,7,0.201589,0.198236,1.9261,837,102.77115636875641
sh.600184,2024-02-07,24.6927,2024-02-26,29.0631,MA,8,0.176991,0.173681,1.5384,986,102.77115636875641
sh.600196,2022-04-28,538.6476,2022-05-12,570.0921,MA,8,0.058377,0.055275,1.5722,837,498.9460303537946
sh.600201,2024-02-07,96.7987,2024-02-26,106.1014,MA,8,0.096104,0.092936,1.518,986,145.64016401833518
sh.600206,2024-02-07,28.0877,2024-02-22,31.7991,MA,6,0.132139,0.128908,1.587,986,435.4232965255951
sh.600206,2025-04-09,45.7612,2025-04-16,61.313,MA,6,0.339846,0.336252,1.7998,136,435.4232965255951
sh.600216,2022-04-28,58.4933,2022-05-24,60.5807,MA,16,0.035686,0.032624,1.7129,837,120.13956880637653
sh.600226,2020-02-05,55.0241,2020-02-18,65.8089,MA,10,0.196,0.192657,1.9747,525,179.60622004818748
sh.600259,2020-02-05,28.5188,2020-02-18,32.9629,MA,10,0.15583,0.152558,1.8345,525,288.6143847745194
sh.600268,2022-04-28,39.5587,2022-05-13,40.9322,MA,9,0.034722,0.031661,1.5517,837,112.89786273293505
sh.600316,2022-04-28,90.5866,2022-05-19,100.9044,MA,13,0.1139,0.1107,1.5828,837,202.7647587864914
sh.600330,2022-04-28,29.7952,2022-05-12,33.8061,MA,8,0.134615,0.13138,1.5452,837,292.44543425690307
sh.600331,2020-02-05,15.6442,2020-02-18,17.5907,MA,10,0.124424,0.121206,2.0258,525,260.82605497966017
sh.600338,2020-02-05,13.6835,2020-02-18,16.3789,MA,10,0.196986,0.193641,2.4146,525,124.6821422408205
sh.600338,2022-04-28,28.2183,2022-05-18,32.4965,MA,12,0.151613,0.148348,1.6266,837,124.6821422408205
sh.600338,2024-02-07,12.1217,2024-02-23,14.6553,MA,7,0.209011,0.205645,1.7412,986,124.6821422408205
sh.600338,2026-07-22,18.488,2026-08-03,19.3728,MA,9,0.047855,0.044771,1.779,84,124.6821422408205
sh.600339,2020-02-05,10.9412,2020-02-21,12.0675,MA,13,0.102941,0.099761,2.8277,525,187.48646433617824
sh.600343,2020-02-05,17.5061,2020-02-18,21.3779,MA,10,0.221167,0.21778,1.6017,525,121.33363591506736
sh.600360,2024-02-07,32.7023,2024-02-23,38.4252,MA,7,0.175,0.171694,1.5698,986,100.64301462230989
sh.600366,2020-02-05,46.8386,2020-02-19,56.2418,MA,11,0.200758,0.197406,2.0596,525,130.66911383846835
sh.600366,2024-02-07,46.9291,2024-02-26,55.7225,MA,8,0.187377,0.184049,1.675,986,130.66911383846835
sh.600367,2024-02-07,26.3273,2024-02-27,32.0051,MA,9,0.215663,0.212285,1.8123,986,107.32709420562233
sh.600392,2020-02-05,50.2112,2020-02-18,61.3936,MA,10,0.222707,0.219318,2.3382,525,399.4081720387353
sh.600397,2020-02-05,6.4664,2020-02-19,7.4333,MA,11,0.149533,0.146271,2.0556,525,173.72318103571968
sh.600410,2025-04-10,73.2282,2025-04-25,78.6708,MA,12,0.074324,0.071194,1.9186,463,166.15479536291076
sh.600416,2018-10-22,13.4236,2018-11-07,14.7582,MA,13,0.099415,0.096241,1.5344,282,132.9862704348062
sh.600416,2024-02-07,28.208,2024-02-26,31.662,MA,8,0.122449,0.119235,1.6687,986,132.9862704348062
sh.600446,2025-04-09,181.3905,2025-05-07,199.9979,MA,18,0.102582,0.099402,1.7032,136,103.86087539836633
sh.600458,2020-02-05,35.5596,2020-02-19,40.507,MA,11,0.13913,0.135887,2.4413,525,100.42257720583459
sh.600490,2020-02-05,44.712,2020-02-19,49.2178,MA,11,0.100775,0.097599,1.6676,525,141.8564432697809
sh.600490,2026-03-25,88.8489,2026-04-09,93.8627,MA,11,0.05643,0.053332,1.699,73,141.8564432697809
sh.600499,2022-04-28,303.2817,2022-05-11,332.1837,MA,7,0.095297,0.092131,1.7469,837,274.3795491040377
sh.600509,2020-02-05,13.6253,2020-02-21,16.8672,MA,13,0.237931,0.234515,1.8834,525,104.7458377935051
sh.600516,2019-05-08,98.0613,2019-06-04,90.2164,STOP,20,-0.08,-0.08286,2.3754,200,208.76276652623517
sh.600516,2020-02-05,77.8263,2020-02-20,90.2428,MA,12,0.159541,0.156262,2.2905,525,208.76276652623517
sh.600517,2020-02-05,105.0019,2020-02-18,120.3393,MA,10,0.146067,0.142812,2.4732,525,285.7510769936895
sh.600531,2025-04-10,52.1339,2025-04-22,57.5732,MA,9,0.104334,0.101151,1.5426,463,161.36626849162968
sh.600552,2020-02-05,30.9249,2020-02-18,36.5025,MA,10,0.180361,0.177045,2.0702,525,168.44258543670165
sh.600595,2018-06-21,18.9758,2018-07-16,19.5574,MA,18,0.030651,0.027598,2.5389,348,260.87120577921553
sh.600595,2025-04-10,24.2831,2025-04-22,27.264,MA,9,0.122754,0.11954,2.1082,463,260.87120577921553
sh.600596,2020-02-05,51.883,2020-02-17,62.9783,MA,9,0.213852,0.210478,1.7074,525,145.47310546963618
sh.600635,2020-02-05,504.4885,2020-02-21,561.9,MA,13,0.113801,0.110602,2.4008,525,113.85166824221098
sh.600641,2022-04-28,266.7313,2022-05-12,299.8925,MA,8,0.124324,0.121107,1.7728,837,301.45155825261804
sh.600664,2024-02-07,25.9193,2024-02-23,28.9216,MA,7,0.11583,0.112627,1.7988,986,204.4594937649632
sh.600667,2025-04-10,26.6793,2025-04-28,27.4061,MA,13,0.027244,0.024196,1.6532,463,418.1891109983441
sh.600688,2020-02-05,8.8147,2020-02-21,9.4828,MA,13,0.075802,0.072669,1.7819,525,207.43735195951584
sh.600707,2020-02-05,5.4735,2020-02-19,6.8659,MA,11,0.254386,0.250941,1.7719,525,333.06581208461427
sh.600707,2025-04-10,10.2908,2025-05-06,10.803,MA,16,0.049767,0.04668,1.7705,463,333.06581208461427
sh.600710,2025-04-10,47.8994,2025-04-24,50.9406,MA,11,0.063492,0.060381,1.5346,463,138.43926070771707
sh.600711,2026-03-25,92.929,2026-04-02,105.1953,MA,7,0.131997,0.128766,1.5345,73,360.41857106319594
sh.600737,2026-06-30,160.1868,2026-07-02,182.165,MA,3,0.137203,0.133963,2.0536,83,283.35099174173104
sh.600739,2018-10-18,235.7592,2018-11-05,265.7564,MA,13,0.127237,0.124014,2.9128,78,164.16044056193832
sh.600744,2020-02-05,6.2694,2020-02-20,6.9626,MA,12,0.110577,0.107383,2.3695,525,144.36127945066016
sh.600759,2018-10-22,9.861,2018-11-13,10.6424,MA,17,0.079245,0.076107,9.1377,282,102.52087339277215
sh.600759,2020-02-05,8.3353,2020-02-21,9.4145,MA,13,0.129464,0.126238,2.7924,525,102.52087339277215
sh.600761,2025-04-10,171.9583,2025-05-07,181.9444,MA,17,0.058073,0.054971,1.5207,463,152.798145260086
sh.600763,2022-03-17,307.0692,2022-03-31,340.9194,MA,11,0.110236,0.107043,3.5096,122,163.47193114958236
sh.600773,2022-04-28,62.1243,2022-05-10,70.0412,MA,6,0.127436,0.124213,1.6669,837,104.42779006209496
sh.600776,2020-02-05,59.1489,2020-02-19,67.7264,MA,11,0.145015,0.141761,2.3824,525,122.62350280354103
sh.600783,2020-02-05,56.9918,2020-02-18,65.1004,MA,10,0.142276,0.139027,1.9855,525,131.37298915030576
sh.600801,2020-02-05,142.2495,2020-02-14,164.1559,MA,8,0.154,0.150731,2.1771,525,307.05935823562197
sh.600835,2025-04-10,101.7329,2025-04-22,113.2468,MA,9,0.113177,0.109979,1.935,463,152.80689177853534
sh.600839,2020-02-05,47.8738,2020-02-19,56.1997,MA,11,0.173913,0.170609,2.1852,525,319.7645334727156
sh.600839,2025-04-09,190.9656,2025-04-28,215.2665,MA,14,0.127252,0.12403,1.6826,136,319.7645334727156
sh.600864,2020-02-05,50.1623,2020-02-18,57.2026,MA,10,0.140351,0.137105,1.8606,525,113.17659761432343
sh.600864,2022-04-28,33.9672,2022-05-24,38.0917,MA,16,0.121429,0.118216,2.8451,837,113.17659761432343
sh.600869,2020-02-05,36.0895,2020-02-28,37.3339,MA,18,0.034483,0.031422,3.092,525,350.58724128969095
sh.600869,2024-02-07,29.8527,2024-02-19,34.3974,MA,3,0.152239,0.148972,1.8415,986,350.58724128969095
sh.600884,2018-10-22,216.5429,2018-11-05,232.371,MA,11,0.073095,0.069967,2.3495,282,223.7737519248623
sh.600884,2025-04-10,164.6375,2025-04-25,173.5795,MA,12,0.054313,0.051218,1.7103,463,223.7737519248623
sh.600909,2017-12-07,7.4743,2018-01-04,7.6051,MA,20,0.017497,0.014466,1.5445,156,409.1380126543655
