entry_date,code,shares,cost,entry_price,exit_date,exit_price,reason,ret,bars,mc
2017-04-20,sh.601882,900,18387.0,20.43,2017-05-09,18.7956,STOP,-0.08286,13,103.71148777419064
2017-04-20,sz.000949,1100,19276.4,17.524,2017-05-11,16.1221,STOP,-0.08286,15,107.3614571143042
2017-04-27,sz.002645,400,18681.6,46.704,2017-05-11,42.9677,STOP,-0.08286,10,130.50522288440865
2017-05-25,sh.603345,600,17400.0,29.0,2017-06-01,26.68,STOP,-0.08286,4,248.40710938534065
2017-05-25,sz.002797,1400,19293.54,13.7811,2017-06-08,15.4835,MA,0.120315,9,274.4917033555568
2017-12-07,sh.603031,800,19276.4,24.0955,2017-12-18,24.7486,MA,0.024058,8,122.91457200909292
2017-12-07,sh.603826,1400,19844.16,14.1744,2017-12-22,14.9368,MA,0.050692,12,144.85555910974983
2017-12-07,sh.600909,2600,19433.18,7.4743,2018-01-04,7.6051,MA,0.014466,20,409.1380126543655
2017-12-07,sz.002812,200,18510.94,92.5547,2017-12-18,102.547,MA,0.104772,8,455.4769340574774
2018-02-08,sh.603218,1100,19398.39,17.6349,2018-03-06,19.112,MA,0.080614,14,103.04291369970842
2018-02-08,sh.603991,900,19305.0,21.45,2018-03-06,23.12,MA,0.074719,14,118.02057114592569
2018-02-08,sh.603618,900,18733.59,20.8151,2018-02-28,22.3785,MA,0.071979,10,188.8781537951123
2018-02-13,sh.603011,1300,19623.239999999998,15.0948,2018-03-13,18.4988,MA,0.222109,16,113.80238438913996
2018-02-13,sh.603226,800,19061.600000000002,23.827,2018-03-07,25.7078,MA,0.075798,12,164.57248562909183
2018-06-21,sz.000901,400,16245.64,40.6141,2018-07-04,47.1661,MA,0.158041,10,117.20402145138593
2018-06-21,sz.000815,800,18066.88,22.5836,2018-06-26,20.7769,STOP,-0.08286,4,124.94493617103836
2018-06-21,sz.000973,2000,19842.8,9.9214,2018-07-02,10.8968,MA,0.095143,8,134.61001454441657
2018-06-21,sh.603009,900,18859.41,20.9549,2018-07-11,19.2785,STOP,-0.08286,15,149.76151156486844
2018-06-21,sh.600179,1300,19264.05,14.8185,2018-07-04,17.2576,MA,0.161312,10,167.43666648013402
2018-06-21,sz.002925,300,15779.97,52.5999,2018-07-03,57.1518,MA,0.083387,9,168.53028743180587
2018-07-09,sh.603989,400,16775.72,41.9393,2018-07-16,46.0,MA,0.093654,6,112.98196549191854
2018-07-09,sz.000155,3300,19439.309999999998,5.8907,2018-07-26,6.4845,MA,0.09763,14,225.30858352975267
2018-08-08,sh.603605,400,16899.96,42.2499,2018-08-09,38.3971,STOP,-0.094032,2,232.93697269449447
2018-10-18,sz.002217,800,19488.96,24.3612,2018-11-05,28.0352,MA,0.147548,13,109.01450349085478
2018-10-18,sz.002011,900,18885.600000000002,20.984,2018-10-19,17.7887,STOP,-0.155006,2,109.16856688782951
2018-10-18,sz.002065,100,19802.879999999997,198.0288,2018-11-05,228.0056,MA,0.148111,13,211.6367993550741
2018-10-18,sh.603678,500,19162.949999999997,38.3259,2018-11-02,42.4658,MA,0.10483,12,228.97443098342697
2018-10-22,sz.000727,3800,19951.899999999998,5.2505,2018-11-05,6.1042,MA,0.159317,11,101.7533508859533
2018-10-22,sh.600759,2000,19722.0,9.861,2018-11-13,10.6424,MA,0.076107,17,102.52087339277216
2019-05-08,sh.600516,200,19612.260000000002,98.0613,2019-06-04,90.2164,STOP,-0.08286,20,208.7627665262352
2019-05-08,sh.603268,900,19779.93,21.9777,2019-05-16,26.1605,MA,0.18699,7,415.67429581535066
2020-02-05,sh.600458,500,17779.800000000003,35.5596,2020-02-19,40.507,MA,0.135887,11,100.4225772058346
2020-02-05,sz.002891,500,18024.0,36.048,2020-02-19,42.7343,MA,0.182159,11,100.50017812394906
2020-02-05,sz.002931,800,18975.6,23.7195,2020-02-20,26.2073,MA,0.1017,12,100.60472812598616
2020-02-05,sz.000837,1900,19973.75,10.5125,2020-02-20,12.2131,MA,0.158482,12,101.0604316364312
2020-02-05,sh.603220,1100,18948.05,17.2255,2020-02-19,20.3007,MA,0.175217,11,101.56692046360256
2020-02-05,sh.603992,1300,19682.0,15.14,2020-02-24,17.11,MA,0.126891,14,101.62665309829418
2020-02-05,sh.600864,300,15048.69,50.1623,2020-02-18,57.2026,MA,0.137105,10,113.17659761432344
2020-04-02,sz.002176,700,19409.670000000002,27.7281,2020-04-16,28.7646,MA,0.034318,10,157.47005946635238
2022-02-15,sz.002048,100,14353.4,143.534,2022-02-24,132.0513,STOP,-0.08286,8,135.57306591479372
2022-03-17,sz.002043,300,17212.98,57.3766,2022-03-29,52.7865,STOP,-0.08286,9,104.0031379165332
2022-03-17,sz.002867,500,17726.649999999998,35.4533,2022-04-11,32.6171,STOP,-0.08286,16,135.1719455712506
2022-03-17,sz.002508,100,18285.04,182.8504,2022-03-31,196.7903,MA,0.073103,11,148.59779602881608
2022-03-17,sh.601567,400,19358.08,48.3952,2022-03-31,56.9476,MA,0.17341,11,222.53211442428108
2022-03-17,sh.603198,200,14097.34,70.4867,2022-03-28,64.8478,STOP,-0.08286,8,315.10106255003706
2022-03-17,sh.603486,100,15449.189999999999,154.4919,2022-04-11,142.1326,STOP,-0.08286,16,341.323084690497
2022-03-17,sh.603129,100,11755.92,117.5592,2022-03-24,124.2694,MA,0.05398,6,461.4243852833366
2022-03-17,sh.601117,1900,19231.989999999998,10.1221,2022-03-24,11.4487,MA,0.127821,6,463.90020970998887
2022-04-28,sz.002967,800,18871.36,23.5892,2022-05-19,25.6104,MA,0.082532,13,100.2073488930746
2022-04-28,sh.603859,800,18149.760000000002,22.6872,2022-05-13,25.8573,MA,0.136488,9,101.05475632292573
2022-04-28,sh.600184,600,18705.9,31.1765,2022-05-11,37.4614,MA,0.198236,7,102.7711563687564
2022-04-28,sh.603218,600,18043.26,30.0721,2022-05-18,34.1598,MA,0.132691,12,103.04291369970842
2022-04-28,sh.600773,300,18637.29,62.1243,2022-05-10,70.0412,MA,0.124213,6,104.42779006209496
2022-04-28,sz.002254,200,14788.26,73.9413,2022-05-12,84.2421,MA,0.136068,8,104.48161004013656
2022-04-28,sh.603093,1900,19234.27,10.1233,2022-05-27,10.0441,MA,-0.010805,19,106.93182684227249
2022-04-28,sz.002792,800,19394.16,24.2427,2022-05-20,27.0756,MA,0.113654,14,108.9715398471281
2024-01-24,sh.603308,1200,18715.44,15.5962,2024-02-01,14.3485,STOP,-0.08286,7,321.67643565337266
2024-01-24,sz.003031,100,13130.4,131.304,2024-01-31,120.7997,STOP,-0.08286,6,403.2645031780429
2024-02-02,sz.002413,1000,18862.9,18.8629,2024-02-05,17.3539,STOP,-0.08286,2,108.33108324393643
2024-02-02,sz.002389,200,16653.76,83.2688,2024-02-05,76.6073,STOP,-0.08286,2,182.2104954908121
2024-02-02,sh.603678,300,15406.68,51.3556,2024-02-05,47.2471,STOP,-0.08286,2,228.97443098342697
2024-02-02,sh.601615,2100,19898.55,9.4755,2024-02-05,8.7174,STOP,-0.08286,2,260.2114782929519
2024-02-07,sh.600360,600,19621.38,32.7023,2024-02-23,38.4252,MA,0.171694,7,100.64301462230988
2024-02-07,sh.603992,1400,19839.96,14.1714,2024-02-21,18.2265,MA,0.282639,5,101.62665309829418
2024-02-07,sz.002338,200,13561.019999999999,67.8051,2024-02-23,82.3464,MA,0.211083,7,102.43756606656078
2024-02-07,sh.600184,800,19754.16,24.6927,2024-02-26,29.0631,MA,0.173681,8,102.7711563687564
2024-02-07,sz.002297,1300,19713.72,15.1644,2024-02-26,18.3903,MA,0.209351,8,102.796081995141
