code,entry_date,entry_price,exit_date,exit_price,reason,unit,n_units,bars,gross_ret,ret,atr
sh.600004,2016-10-25,20.7255,2016-12-01,21.1114,EXIT,1,4,28,0.018621,0.014887,0.3395
sh.600004,2016-10-25,20.8952,2016-12-01,21.1114,EXIT,2,4,28,0.010346,0.006634,0.3395
sh.600004,2016-10-25,21.065,2016-12-01,21.1114,EXIT,3,4,28,0.002204,-0.001486,0.3395
sh.600004,2016-10-25,21.2347,2016-12-01,21.1114,EXIT,4,4,28,-0.005808,-0.009476,0.3395
sh.600004,2017-02-13,20.8255,2017-08-08,27.9468,EXIT,1,4,122,0.34195,0.337737,0.2752
sh.600004,2017-02-13,20.9631,2017-08-08,27.9468,EXIT,2,4,122,0.33314,0.328948,0.2752
sh.600004,2017-02-13,21.1008,2017-08-08,27.9468,EXIT,3,4,122,0.324446,0.320274,0.2752
sh.600004,2017-02-13,21.2384,2017-08-08,27.9468,EXIT,4,4,122,0.315863,0.311713,0.2752
sh.600004,2017-08-31,28.9819,2017-09-04,27.7142,STOP,1,1,3,-0.043738,-0.047323,0.6338
sh.600004,2017-10-27,28.7284,2017-11-24,30.5873,EXIT,1,4,21,0.064706,0.060949,0.5789
sh.600004,2017-10-27,29.2565,2017-11-24,30.5873,EXIT,2,4,21,0.045487,0.04178,0.5789
sh.600004,2017-10-27,29.5459,2017-11-24,30.5873,EXIT,3,4,21,0.035245,0.031564,0.5789
sh.600004,2017-10-27,29.8354,2017-11-24,30.5873,EXIT,4,4,21,0.025201,0.021546,0.5789
sh.600004,2018-01-10,31.728,2018-02-08,32.7419,EXIT,1,4,22,0.031957,0.028359,0.76
sh.600004,2018-01-10,32.108,2018-02-08,32.7419,EXIT,2,4,22,0.019744,0.016176,0.76
sh.600004,2018-01-10,32.488,2018-02-08,32.7419,EXIT,3,4,22,0.007816,0.004279,0.76
sh.600004,2018-01-10,33.3756,2018-02-08,32.7419,EXIT,4,4,22,-0.018987,-0.022957,0.76
sh.600004,2018-06-01,34.8965,2018-06-20,31.6223,STOP,1,4,13,-0.093826,-0.097618,0.8784
sh.600004,2018-06-01,35.3357,2018-06-20,31.6223,STOP,2,4,13,-0.105089,-0.108846,0.8784
sh.600004,2018-06-01,36.2273,2018-06-20,31.6223,STOP,3,4,13,-0.127114,-0.130803,0.8784
sh.600004,2018-06-01,36.6709,2018-06-20,31.6223,STOP,4,4,13,-0.137673,-0.14133,0.8784
sh.600004,2018-07-25,31.3609,2018-07-31,29.4277,EXIT,1,1,5,-0.061644,-0.065114,1.138
sh.600004,2018-10-08,26.4849,2018-10-11,24.5732,STOP,1,1,4,-0.072182,-0.075832,0.8526
sh.600004,2018-12-04,22.6615,2018-12-20,21.9481,STOP,1,3,13,-0.031478,-0.035034,0.7133
sh.600004,2018-12-04,23.0182,2018-12-20,21.9481,STOP,2,3,13,-0.046486,-0.050002,0.7133
sh.600004,2018-12-04,23.3748,2018-12-20,21.9481,STOP,3,3,13,-0.061035,-0.064513,0.7133
sh.600004,2019-01-22,23.5207,2019-06-10,32.2201,EXIT,1,4,90,0.369863,0.365745,0.7058
sh.600004,2019-01-22,23.8736,2019-06-10,32.2201,EXIT,2,4,90,0.349614,0.345543,0.7058
sh.600004,2019-01-22,24.2265,2019-06-10,32.2201,EXIT,3,4,90,0.329956,0.325929,0.7058
sh.600004,2019-01-22,24.5794,2019-06-10,32.2201,EXIT,4,4,90,0.310861,0.306878,0.7058
sh.600004,2019-06-21,36.8169,2019-07-04,36.1469,STOP,1,4,10,-0.018198,-0.022029,1.34
